Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-08-26,2.0,40.0,10150.0,255.0,250.0,250.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-08-27,2.0,40.0,10150.0,255.0,250.0,250.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-08-28,2.0,40.0,10150.0,255.0,250.0,250.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-08-29,2.0,20.0,4860.0,250.0,241.0,241.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-08-30,6.0,60.0,13620.0,241.0,217.0,217.0,241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-08-31,6.0,60.0,12210.0,217.0,196.0,196.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-09-01,6.0,60.0,12210.0,213.0,196.0,196.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-09-02,6.0,60.0,11130.0,196.0,178.0,178.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-09-03,6.0,60.0,11130.0,193.0,178.0,178.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-09-04,6.0,60.0,11130.0,193.0,178.0,178.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-09-05,3.0,30.0,5160.0,178.0,169.0,169.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-09-06,8.0,100.0,15690.0,169.0,153.0,153.0,169.0,0.0,0.0,204.66667,0.0,0.0,0.0,0.0,0.0
2010-09-07,74.0,3739.0,521762.0,153.0,138.0,138.0,153.0,0.0,0.0,194.41026,0.0,0.0,0.0,0.0,0.0
2010-09-08,51.0,2637.0,331095.0,138.0,125.0,125.0,138.0,194.21429,194.21429,183.73176,0.0,0.0,0.0,0.0,0.0
2010-09-09,228.0,16348.0,1895632.0,125.0,113.0,122.0,125.0,185.07143,184.58571,174.23456,0.0,0.0,0.0,0.0,0.0
2010-09-10,228.0,16348.0,1895632.0,123.0,113.0,122.0,122.0,175.92857,176.24095,166.19848,0.0,0.0,0.0,0.0,0.0
2010-09-11,228.0,16348.0,1895632.0,123.0,113.0,122.0,122.0,166.78571,169.00883,159.39871,0.0,0.0,0.0,0.0,0.0
2010-09-12,92.0,4914.0,575759.0,122.0,115.0,118.0,122.0,158.0,162.20765,153.02968,0.0,0.0,0.0,0.0,0.0
2010-09-13,87.0,7300.0,855484.0,119.0,116.0,116.0,118.0,150.78571,156.04663,147.3328,0.0,0.0,0.0,0.0,0.0
2010-09-14,59.0,2870.0,332967.0,118.0,114.0,116.0,116.0,145.07143,150.70708,142.51237,0.0,0.0,0.0,0.0,0.0
2010-09-15,61.0,6887.0,798944.0,122.0,115.0,117.0,116.0,139.42857,146.2128,138.58739,0.0,0.0,0.0,0.0,1.27703
2010-09-16,69.0,5280.0,623010.0,122.0,116.0,120.0,117.0,135.28571,142.71776,135.72779,0.0,0.0,0.0,0.0,5.09472
2010-09-17,69.0,5280.0,623010.0,122.0,116.0,120.0,120.0,131.14286,139.68873,133.30813,0.0,0.0,0.0,0.0,5.09472
