Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-04-15,2.0,30.0,12900.0,430.0,430.0,430.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-16,2.0,30.0,12900.0,430.0,430.0,430.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-17,2.0,30.0,12900.0,430.0,430.0,430.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-18,2.0,30.0,12900.0,430.0,430.0,430.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-19,4.0,310.0,129590.0,430.0,417.0,417.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-20,16.0,390.0,155760.0,417.0,391.0,396.0,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-21,24.0,620.0,238920.0,403.0,374.0,380.0,396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-22,4.0,240.0,92410.0,390.0,375.0,390.0,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.01295
2010-04-23,4.0,240.0,92410.0,390.0,375.0,390.0,390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.01295
2010-04-24,4.0,240.0,92410.0,390.0,375.0,390.0,390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.01295
2010-04-25,8.0,570.0,219100.0,390.0,380.0,385.0,390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.31222
2010-04-26,5.0,80.0,30840.0,386.0,385.0,386.0,385.0,0.0,0.0,404.5,0.0,0.0,0.0,0.0,17.93929
2010-04-27,5.0,80.0,30840.0,386.0,385.0,386.0,386.0,0.0,0.0,401.65385,0.0,0.0,0.0,0.0,17.93929
2010-04-28,4.0,90.0,35130.0,394.0,386.0,394.0,386.0,402.42857,402.42857,400.47633,0.0,0.0,0.0,0.0,29.95122
2010-04-29,6.0,280.0,113690.0,413.0,394.0,413.0,394.0,401.21429,403.8381,402.40305,0.0,0.0,0.0,0.0,48.6834
2010-04-30,6.0,280.0,113690.0,413.0,400.0,413.0,413.0,400.0,405.05968,404.03335,0.0,0.0,0.0,0.0,48.6834
2010-05-01,6.0,280.0,113690.0,413.0,400.0,413.0,413.0,398.78571,406.11839,405.41283,0.0,0.0,0.0,0.0,48.6834
2010-05-02,6.0,280.0,113690.0,413.0,400.0,413.0,413.0,397.57143,407.03594,406.58009,0.0,0.0,0.0,0.0,48.6834
2010-05-03,6.0,280.0,113690.0,413.0,400.0,413.0,413.0,397.28571,407.83115,407.56777,0.0,0.0,0.0,0.0,48.6834
2010-05-04,6.0,280.0,113690.0,413.0,400.0,413.0,413.0,398.5,408.52033,408.4035,0.0,0.0,0.0,0.0,48.6834
2010-05-05,6.0,280.0,113690.0,413.0,400.0,413.0,413.0,400.85714,409.11762,409.11065,0.0,0.0,0.0,0.0,48.6834
2010-05-06,6.0,280.0,113690.0,413.0,400.0,413.0,413.0,402.5,409.63527,409.70901,0.0,0.0,0.0,0.0,48.6834
2010-05-07,6.0,280.0,113690.0,413.0,400.0,413.0,413.0,404.14286,410.0839,410.21532,0.0,0.0,0.0,0.0,48.6834
2010-05-08,6.0,280.0,113690.0,413.0,400.0,413.0,413.0,405.78571,410.47271,410.64373,0.0,0.0,0.0,0.0,48.6834
2010-05-09,1.0,40.0,16840.0,421.0,413.0,421.0,413.0,408.35714,411.87635,412.237,0.0,0.0,0.0,0.0,56.63657
2010-05-10,14.0,360.0,153570.0,428.0,421.0,428.0,421.0,411.35714,414.02617,414.66208,408.19231,6.46977,1.29395,5.17582,62.04149
2010-05-11,21.0,580.0,260760.0,465.0,428.0,465.0,428.0,417.0,420.82268,422.40637,412.40028,10.00609,3.03638,6.96971,77.56278
2010-05-12,46.0,2130.0,1037930.0,506.0,465.0,485.0,465.0,423.5,429.37966,432.03616,417.77804,14.25812,5.28073,8.97739,81.78914
2010-05-13,32.0,1280.0,632550.0,503.0,485.0,494.0,485.0,429.28571,437.9957,441.56906,423.42411,18.14495,7.85357,10.29138,83.27748
2010-05-14,32.0,1280.0,632550.0,503.0,490.0,494.0,494.0,435.07143,445.46294,449.63536,428.65196,20.9834,10.47954,10.50386,83.27748
2010-05-15,32.0,1280.0,632550.0,503.0,490.0,494.0,494.0,440.85714,451.93455,456.46069,433.49255,22.96814,12.97726,9.99088,83.27748
2010-05-16,24.0,690.0,333870.0,500.0,454.0,472.0,494.0,445.07143,454.60994,458.85135,436.34496,22.5064,14.88309,7.62331,67.63545
2010-05-17,20.0,630.0,291550.0,472.0,460.0,465.0,472.0,448.78571,455.99528,459.7973,438.46755,21.32975,16.17242,5.15733,63.64177
2010-05-18,25.0,510.0,241290.0,488.0,465.0,479.0,465.0,453.5,459.06258,462.75156,441.46995,21.2816,17.19426,4.08735,67.65279
2010-05-19,20.0,380.0,179540.0,479.0,469.0,475.0,479.0,457.92857,461.18757,464.63594,443.95366,20.68227,17.89186,2.79041,65.48549
2010-05-20,23.0,590.0,287070.0,492.0,475.0,490.0,475.0,463.42857,465.02923,468.5381,447.3645,21.1736,18.54821,2.62539,69.3515
2010-05-21,23.0,590.0,287070.0,492.0,480.0,490.0,490.0,468.92857,468.35866,471.83993,450.52269,21.31724,19.10201,2.21523,69.3515
2010-05-22,23.0,590.0,287070.0,492.0,480.0,490.0,490.0,474.42857,471.24417,474.63379,453.44693,21.18685,19.51898,1.66787,69.3515
2010-05-23,29.0,1160.0,575080.0,499.0,490.0,492.0,490.0,479.5,474.01162,477.30551,456.30272,21.0028,19.81575,1.18705,69.87237
2010-05-24,12.0,340.0,167790.0,501.0,486.0,486.0,492.0,483.64286,475.61007,478.64313,458.50251,20.14061,19.88072,0.25989,66.32186
2010-05-25,31.0,1840.0,953680.0,530.0,486.0,510.0,486.0,486.85714,480.19539,483.46726,462.31714,21.15012,20.1346,1.01552,72.24526
2010-05-26,39.0,1596.0,829510.0,530.0,495.0,495.0,510.0,487.57143,482.16934,485.24153,464.73809,20.50343,20.20837,0.29507,64.76939
2010-05-27,39.0,1596.0,829510.0,530.0,495.0,495.0,495.0,487.64286,483.8801,486.74283,466.97972,19.76311,20.11931,-0.3562,64.76939
2010-05-28,39.0,1596.0,829510.0,530.0,495.0,495.0,495.0,487.71429,485.36275,488.01316,469.05529,18.95787,19.88703,-0.92916,64.76939
2010-05-29,39.0,1596.0,829510.0,530.0,495.0,495.0,495.0,487.78571,486.64772,489.08806,470.97712,18.11094,19.53181,-1.42087,64.76939
2010-05-30,3.0,320.0,163160.0,514.0,495.0,510.0,495.0,490.5,489.76135,492.30528,473.86771,18.43758,19.31296,-0.87539,68.70558
2010-05-31,30.0,888.0,453280.0,520.0,500.0,510.0,510.0,493.71429,492.45984,495.02755,476.54417,18.48337,19.14704,-0.66367,68.70558
2010-06-01,53.0,1290.0,623790.0,510.0,477.0,482.0,510.0,493.92857,491.06519,493.02331,476.94831,16.075,18.53264,-2.45763,55.86123
2010-06-02,25.0,630.0,301330.0,485.0,476.0,481.0,482.0,494.35714,489.72317,491.17357,477.24843,13.92514,17.61114,-3.686,55.47234
2010-06-03,25.0,630.0,301330.0,485.0,476.0,481.0,481.0,493.71429,488.56008,489.60841,477.52633,12.08208,16.50532,-4.42325,55.47234
2010-06-04,25.0,630.0,301330.0,485.0,476.0,481.0,481.0,493.07143,487.55207,488.28404,477.78364,10.5004,15.30434,-4.80394,55.47234
2010-06-05,25.0,630.0,301330.0,485.0,476.0,481.0,481.0,492.42857,486.67846,487.16341,478.02189,9.14153,14.07178,-4.93025,55.47234
2010-06-06,24.0,420.0,201220.0,485.0,475.0,485.0,481.0,491.92857,486.45467,486.83058,478.53878,8.2918,12.91578,-4.62398,56.93017
2010-06-07,7.0,240.0,115700.0,485.0,480.0,480.0,485.0,491.5,485.59404,485.77972,478.64702,7.1327,11.75916,-4.62646,54.5846
2010-06-08,4.0,90.0,43650.0,485.0,480.0,485.0,480.0,489.71429,485.51484,485.65977,479.11761,6.54215,10.71576,-4.17361,56.46784
2010-06-09,52.0,1294.0,630312.0,490.0,483.0,485.0,485.0,489.0,485.44619,485.55826,479.55335,6.00492,9.77359,-3.76868,56.46784
2010-06-10,74.0,2298.0,1103812.0,485.0,480.0,480.0,485.0,487.92857,484.72003,484.70315,479.58643,5.11671,8.84222,-3.7255,53.99915
2010-06-11,74.0,2298.0,1103812.0,485.0,480.0,480.0,480.0,486.85714,484.0907,483.97958,479.61707,4.36252,7.94628,-3.58376,53.99915
2010-06-12,74.0,2298.0,1103812.0,485.0,480.0,480.0,480.0,485.78571,483.54527,483.36734,479.64543,3.72191,7.1014,-3.37949,53.99915
2010-06-13,85.0,1902.0,900262.0,480.0,468.0,470.0,480.0,482.92857,481.73923,481.31083,478.93095,2.37987,6.1571,-3.77723,49.03578
2010-06-14,51.0,1212.0,568448.0,475.0,460.0,468.0,470.0,479.92857,479.90734,479.26301,478.12125,1.14175,5.15403,-4.01228,48.1072
2010-06-15,62.0,1224.0,575616.0,475.0,467.0,470.0,468.0,479.07143,478.58636,477.83793,477.51968,0.31825,4.18687,-3.86862,49.1189
2010-06-16,35.0,612.0,285016.0,470.0,460.0,465.0,470.0,477.92857,476.77484,475.86286,476.5923,-0.72943,3.20361,-3.93304,46.72753
2010-06-17,30.0,650.0,299096.0,476.0,453.0,466.0,465.0,476.85714,475.3382,474.3455,475.80768,-1.46218,2.27045,-3.73264,47.26667
2010-06-18,30.0,650.0,299096.0,476.0,453.0,466.0,466.0,475.78571,474.0931,473.06158,475.08119,-2.01961,1.41244,-3.43205,47.26667
2010-06-19,30.0,650.0,299096.0,476.0,453.0,466.0,466.0,474.71429,473.01402,471.97518,474.40851,-2.43333,0.64329,-3.07661,47.26667
2010-06-20,60.0,1674.0,779370.0,471.0,462.0,471.0,466.0,473.71429,472.74549,471.82515,474.15602,-2.33087,0.04846,-2.37933,50.18477
2010-06-21,24.0,610.0,284438.0,471.0,462.0,470.0,471.0,473.0,472.37942,471.54436,473.84817,-2.30381,-0.422,-1.88181,49.60828
2010-06-22,72.0,1410.0,650928.0,470.0,442.0,464.0,470.0,471.5,471.26217,470.38369,473.11868,-2.73499,-0.8846,-1.85039,46.26043
2010-06-23,53.0,922.0,431810.0,470.0,462.0,470.0,464.0,470.42857,471.09388,470.32466,472.88766,-2.563,-1.22028,-1.34273,49.81644
2010-06-24,54.0,938.0,436322.0,470.0,463.0,470.0,470.0,469.71429,470.94803,470.27471,472.67376,-2.39905,-1.45603,-0.94302,49.81644
2010-06-25,54.0,938.0,436322.0,470.0,463.0,470.0,470.0,469.0,470.82162,470.23245,472.47571,-2.24326,-1.61348,-0.62978,49.81644
2010-06-26,54.0,938.0,436322.0,470.0,463.0,470.0,470.0,468.28571,470.71207,470.19669,472.29232,-2.09563,-1.70991,-0.38572,49.81644
2010-06-27,54.0,938.0,436322.0,470.0,463.0,470.0,470.0,468.28571,470.61713,470.16643,472.12252,-1.95609,-1.75914,-0.19695,49.81644
2010-06-28,41.0,1240.0,573368.0,470.0,460.0,464.0,470.0,468.0,469.73485,469.21775,471.52085,-2.3031,-1.86794,-0.43517,45.93692
2010-06-29,34.0,776.0,356510.0,464.0,456.0,464.0,464.0,467.57143,468.9702,468.41502,470.96375,-2.54873,-2.0041,-0.54464,45.93692
2010-06-30,24.0,546.0,251524.0,465.0,452.0,452.0,464.0,466.64286,466.70751,465.88963,469.55903,-3.6694,-2.33716,-1.33224,39.2048
2010-07-01,29.0,834.0,385282.0,465.0,452.0,452.0,452.0,465.64286,464.74651,463.75276,468.25836,-4.5056,-2.77084,-1.73475,39.2048
2010-07-02,29.0,834.0,385282.0,465.0,452.0,452.0,452.0,464.64286,463.04697,461.94465,467.05404,-5.10939,-3.23855,-1.87084,39.2048
2010-07-03,29.0,834.0,385282.0,465.0,452.0,452.0,452.0,463.64286,461.57404,460.4147,465.93892,-5.52422,-3.69569,-1.82853,39.2048
2010-07-04,82.0,1942.0,894164.0,466.0,452.0,460.0,452.0,462.85714,461.36417,460.3509,465.499,-5.1481,-3.98617,-1.16193,45.65822
2010-07-05,14.0,492.0,225618.0,462.0,450.0,462.0,460.0,462.28571,461.44895,460.60461,465.23982,-4.63521,-4.11598,-0.51923,47.13138
2010-07-06,13.0,382.0,174908.0,470.0,455.0,457.0,462.0,461.78571,460.85575,460.05005,464.62946,-4.57941,-4.20866,-0.37074,44.00026
