Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-05-12,6.0,60.0,21010.0,364.0,337.0,337.0,337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-13,6.0,60.0,21010.0,364.0,337.0,337.0,337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-14,6.0,60.0,21010.0,364.0,337.0,337.0,337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-15,6.0,60.0,21010.0,364.0,337.0,337.0,337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-16,6.0,60.0,21010.0,364.0,337.0,337.0,337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-17,6.0,60.0,21010.0,364.0,337.0,337.0,337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-18,6.0,60.0,21010.0,364.0,337.0,337.0,337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-19,6.0,60.0,21010.0,364.0,337.0,337.0,337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-20,4.0,100.0,32020.0,337.0,313.0,313.0,337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-21,4.0,100.0,32020.0,331.0,313.0,313.0,313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-22,4.0,100.0,32020.0,331.0,313.0,313.0,313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-23,5.0,120.0,35210.0,313.0,285.0,285.0,313.0,0.0,0.0,326.66667,0.0,0.0,0.0,0.0,0.0
2010-05-24,6.0,140.0,37150.0,285.0,257.0,257.0,285.0,0.0,0.0,315.94872,0.0,0.0,0.0,0.0,0.0
2010-05-25,60.0,1840.0,427440.0,257.0,232.0,232.0,257.0,314.92857,314.92857,303.03353,0.0,0.0,0.0,0.0,0.0
2010-05-26,30.0,710.0,148940.0,232.0,209.0,209.0,232.0,305.78571,300.80476,288.56683,0.0,0.0,0.0,0.0,0.0
2010-05-27,30.0,710.0,148940.0,228.0,209.0,209.0,209.0,296.64286,288.56413,276.32578,0.0,0.0,0.0,0.0,0.0
2010-05-28,30.0,710.0,148940.0,228.0,209.0,209.0,209.0,287.5,277.95558,265.96797,0.0,0.0,0.0,0.0,0.0
2010-05-29,30.0,710.0,148940.0,228.0,209.0,209.0,209.0,278.35714,268.7615,257.20367,0.0,0.0,0.0,0.0,0.0
2010-05-30,40.0,1400.0,269520.0,209.0,190.0,198.0,209.0,268.42857,259.32663,248.09541,0.0,0.0,0.0,0.0,0.0
2010-05-31,135.0,5040.0,987120.0,209.0,188.0,188.0,198.0,257.78571,249.81642,238.84996,0.0,0.0,0.0,0.0,0.0
2010-06-01,190.0,5040.0,976760.0,204.0,185.0,197.0,188.0,247.78571,242.77423,232.41151,0.0,0.0,0.0,0.0,7.90891
2010-06-02,114.0,2770.0,535800.0,198.0,188.0,198.0,197.0,237.85714,236.80433,227.11743,0.0,0.0,0.0,0.0,8.75087
