Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2015-11-18,2.0,52.0,15808.0,307.0,301.0,307.0,307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-19,4.0,104.0,33488.0,331.0,307.0,331.0,307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-11-20,4.0,104.0,33488.0,331.0,313.0,331.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-11-21,4.0,104.0,33488.0,331.0,313.0,331.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-11-22,40.0,768.0,277628.0,364.0,331.0,364.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-11-23,585.0,12360.0,4942162.0,400.0,364.0,400.0,364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-11-24,2146.0,46262.0,19670392.0,437.0,400.0,430.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-11-25,1333.0,25625.0,10629219.0,434.0,403.0,406.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.10028
2015-11-26,779.0,14443.0,5695725.0,406.0,390.0,395.0,406.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.90948
2015-11-27,779.0,14443.0,5695725.0,400.0,390.0,395.0,395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.90948
2015-11-28,779.0,14443.0,5695725.0,400.0,390.0,395.0,395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.90948
2015-11-29,737.0,15706.0,5983040.0,395.0,376.0,381.0,395.0,0.0,0.0,372.16667,0.0,0.0,0.0,0.0,89.85956
2015-11-30,407.0,9790.0,3776698.0,397.0,380.0,384.0,381.0,0.0,0.0,373.98718,0.0,0.0,0.0,0.0,89.93391
2015-12-01,534.0,11114.0,4362679.0,400.0,381.0,400.0,384.0,375.0,375.0,377.98915,0.0,0.0,0.0,0.0,90.33091
2015-12-02,497.0,11339.0,4506235.0,405.0,390.0,398.0,400.0,381.5,378.06667,381.06774,0.0,0.0,0.0,0.0,89.86573
2015-12-03,306.0,11281.0,4443848.0,401.0,387.0,392.0,398.0,385.85714,379.92444,382.74963,0.0,0.0,0.0,0.0,88.43123
2015-12-04,306.0,11281.0,4443848.0,401.0,387.0,392.0,392.0,390.21429,381.53452,384.17276,0.0,0.0,0.0,0.0,88.43123
