Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2015-10-14,1.0,10.0,2840.0,284.0,284.0,284.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-10-15,4.0,40.0,11860.0,304.0,284.0,304.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-10-16,4.0,40.0,11860.0,304.0,289.0,304.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-10-17,4.0,40.0,11860.0,304.0,289.0,304.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-10-18,4.0,40.0,11860.0,304.0,289.0,304.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-10-19,3.0,30.0,9480.0,322.0,304.0,322.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-10-20,3.0,30.0,9480.0,322.0,310.0,322.0,322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-10-21,3.0,30.0,9480.0,322.0,310.0,322.0,322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-10-22,3.0,30.0,9480.0,322.0,310.0,322.0,322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-10-23,3.0,30.0,9480.0,322.0,310.0,322.0,322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-10-24,3.0,30.0,9480.0,322.0,310.0,322.0,322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-10-25,6.0,60.0,20330.0,353.0,322.0,353.0,322.0,0.0,0.0,315.41667,0.0,0.0,0.0,0.0,100.0
2015-10-26,6.0,60.0,20330.0,353.0,328.0,353.0,353.0,0.0,0.0,321.19872,0.0,0.0,0.0,0.0,100.0
2015-10-27,92.0,920.0,356120.0,388.0,353.0,388.0,353.0,323.28571,323.28571,331.47584,0.0,0.0,0.0,0.0,100.0
2015-10-28,477.0,5200.0,2161590.0,426.0,388.0,419.0,388.0,332.92857,336.04762,344.94109,0.0,0.0,0.0,0.0,100.0
2015-10-29,455.0,4740.0,1908510.0,422.0,400.0,412.0,419.0,340.64286,346.1746,355.25785,0.0,0.0,0.0,0.0,97.79147
2015-10-30,455.0,4740.0,1908510.0,422.0,400.0,412.0,412.0,348.35714,354.95132,363.98741,0.0,0.0,0.0,0.0,97.79147
2015-10-31,455.0,4740.0,1908510.0,422.0,400.0,412.0,412.0,356.07143,362.55781,371.37396,0.0,0.0,0.0,0.0,97.79147
2015-11-01,267.0,2670.0,1059460.0,412.0,391.0,400.0,412.0,362.92857,367.5501,375.77797,0.0,0.0,0.0,0.0,93.68539
2015-11-02,180.0,1800.0,703800.0,400.0,385.0,385.0,400.0,367.42857,369.87676,377.19674,0.0,0.0,0.0,0.0,88.79212
2015-11-03,62.0,620.0,226400.0,385.0,357.0,368.0,385.0,370.71429,369.62652,375.78186,0.0,0.0,0.0,0.0,83.59622
2015-11-04,77.0,860.0,325380.0,387.0,365.0,380.0,368.0,374.85714,371.00965,376.4308,0.0,0.0,0.0,0.0,84.2781
2015-11-05,89.0,890.0,335830.0,389.0,370.0,382.0,380.0,379.14286,372.47503,377.2876,0.0,0.0,0.0,0.0,84.39165
