Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-04-15,7.0,800.0,2496000.0,3120.0,3120.0,3120.0,3120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-16,7.0,800.0,2496000.0,3120.0,3120.0,3120.0,3120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-17,7.0,800.0,2496000.0,3120.0,3120.0,3120.0,3120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-18,7.0,800.0,2496000.0,3120.0,3120.0,3120.0,3120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-19,1.0,16.0,49600.0,3120.0,3100.0,3100.0,3120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-20,1.0,16.0,49600.0,3100.0,3100.0,3100.0,3100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-21,2.0,987.0,3059700.0,3100.0,3100.0,3100.0,3100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-22,2.0,987.0,3059700.0,3100.0,3100.0,3100.0,3100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-23,2.0,987.0,3059700.0,3100.0,3100.0,3100.0,3100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-24,2.0,987.0,3059700.0,3100.0,3100.0,3100.0,3100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-25,2.0,987.0,3059700.0,3100.0,3100.0,3100.0,3100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-26,2.0,987.0,3059700.0,3100.0,3100.0,3100.0,3100.0,0.0,0.0,3106.66667,0.0,0.0,0.0,0.0,0.0
2010-04-27,1.0,130.0,403000.0,3100.0,3100.0,3100.0,3100.0,0.0,0.0,3105.64103,0.0,0.0,0.0,0.0,0.0
2010-04-28,1.0,130.0,403000.0,3100.0,3100.0,3100.0,3100.0,3105.71429,3105.71429,3104.77318,0.0,0.0,0.0,0.0,0.0
2010-04-29,1.0,13.0,41106.0,3162.0,3100.0,3162.0,3100.0,3108.71429,3113.21905,3113.5773,0.0,0.0,0.0,0.0,83.46991
2010-04-30,1.0,13.0,41106.0,3162.0,3162.0,3162.0,3162.0,3111.71429,3119.72317,3121.02695,0.0,0.0,0.0,0.0,83.46991
