Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-07-04,1.0,25.0,8475.0,339.0,339.0,339.0,339.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-05,1.0,25.0,8475.0,339.0,339.0,339.0,339.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-06,1.0,25.0,8475.0,339.0,339.0,339.0,339.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-07,1.0,25.0,8475.0,339.0,339.0,339.0,339.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-08,1.0,25.0,8475.0,339.0,339.0,339.0,339.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-09,1.0,25.0,8475.0,339.0,339.0,339.0,339.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-10,1.0,25.0,8475.0,339.0,339.0,339.0,339.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-11,1.0,50.0,16950.0,339.0,339.0,339.0,339.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-12,1.0,50.0,16950.0,339.0,339.0,339.0,339.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-13,1.0,50.0,16950.0,339.0,339.0,339.0,339.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-14,1.0,50.0,16950.0,339.0,339.0,339.0,339.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-15,1.0,50.0,16950.0,339.0,339.0,339.0,339.0,0.0,0.0,339.0,0.0,0.0,0.0,0.0,0.0
2010-07-16,1.0,50.0,16950.0,339.0,339.0,339.0,339.0,0.0,0.0,339.0,0.0,0.0,0.0,0.0,0.0
2010-07-17,1.0,50.0,16950.0,339.0,339.0,339.0,339.0,339.0,339.0,339.0,0.0,0.0,0.0,0.0,0.0
2010-07-18,1.0,50.0,16950.0,339.0,339.0,339.0,339.0,339.0,339.0,339.0,0.0,0.0,0.0,0.0,0.0
2010-07-19,1.0,50.0,16950.0,339.0,339.0,339.0,339.0,339.0,339.0,339.0,0.0,0.0,0.0,0.0,0.0
2010-07-20,1.0,50.0,16950.0,339.0,339.0,339.0,339.0,339.0,339.0,339.0,0.0,0.0,0.0,0.0,0.0
2010-07-21,1.0,50.0,16950.0,339.0,339.0,339.0,339.0,339.0,339.0,339.0,0.0,0.0,0.0,0.0,0.0
2010-07-22,1.0,50.0,16950.0,339.0,339.0,339.0,339.0,339.0,339.0,339.0,0.0,0.0,0.0,0.0,0.0
