Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2012-04-02,1.0,20.0,2220.0,111.0,111.0,111.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-03,1.0,20.0,2220.0,111.0,111.0,111.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-04,1.0,20.0,2220.0,111.0,111.0,111.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-05,1.0,20.0,2220.0,111.0,111.0,111.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-06,1.0,20.0,2220.0,111.0,111.0,111.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-07,1.0,20.0,2220.0,111.0,111.0,111.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-08,1.0,20.0,2220.0,111.0,111.0,111.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-09,1.0,20.0,2220.0,111.0,111.0,111.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-10,1.0,20.0,2220.0,111.0,111.0,111.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-11,1.0,20.0,2220.0,111.0,111.0,111.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-12,1.0,20.0,2220.0,111.0,111.0,111.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-13,1.0,20.0,2220.0,111.0,111.0,111.0,111.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0
2012-04-14,1.0,20.0,2220.0,111.0,111.0,111.0,111.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0
2012-04-15,1.0,20.0,2220.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,0.0,0.0,0.0,0.0,0.0
2012-04-16,1.0,20.0,2220.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,0.0,0.0,0.0,0.0,0.0
2012-04-17,1.0,20.0,2220.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,0.0,0.0,0.0,0.0,0.0
2012-04-18,1.0,20.0,2220.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,0.0,0.0,0.0,0.0,0.0
2012-04-19,1.0,20.0,2220.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,0.0,0.0,0.0,0.0,0.0
2012-04-20,1.0,20.0,2220.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,0.0,0.0,0.0,0.0,0.0
2012-04-21,1.0,20.0,2220.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,0.0,0.0,0.0,0.0,0.0
2012-04-22,1.0,20.0,2220.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,0.0,0.0,0.0,0.0,0.0
2012-04-23,1.0,20.0,2220.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,0.0,0.0,0.0,0.0,0.0
2012-04-24,1.0,20.0,2220.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,0.0,0.0,0.0,0.0,0.0
2012-04-25,1.0,20.0,2220.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,0.0,0.0,0.0,0.0,0.0
2012-04-26,1.0,20.0,2220.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,0.0,0.0,0.0,0.0,0.0
2012-04-27,1.0,20.0,2220.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,0.0,0.0,0.0,0.0
2012-04-28,1.0,20.0,2220.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,0.0,0.0,0.0,0.0
