Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2011-04-19,1.0,10.0,7130.0,713.0,713.0,713.0,713.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-20,1.0,10.0,7130.0,713.0,713.0,713.0,713.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-21,1.0,10.0,7130.0,713.0,713.0,713.0,713.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-22,1.0,10.0,7130.0,713.0,713.0,713.0,713.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-23,1.0,10.0,7130.0,713.0,713.0,713.0,713.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-24,1.0,10.0,7130.0,713.0,713.0,713.0,713.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-25,1.0,10.0,7130.0,713.0,713.0,713.0,713.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-26,1.0,428755.0,311704885.0,727.0,713.0,727.0,713.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2011-04-27,1.0,428755.0,311704885.0,727.0,727.0,727.0,727.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2011-04-28,1.0,428755.0,311704885.0,727.0,727.0,727.0,727.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2011-04-29,1.0,428755.0,311704885.0,727.0,727.0,727.0,727.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2011-04-30,1.0,428755.0,311704885.0,727.0,727.0,727.0,727.0,0.0,0.0,718.83333,0.0,0.0,0.0,0.0,100.0
2011-05-01,1.0,428755.0,311704885.0,727.0,727.0,727.0,727.0,0.0,0.0,720.08974,0.0,0.0,0.0,0.0,100.0
2011-05-02,1.0,428755.0,311704885.0,727.0,727.0,727.0,727.0,720.0,720.0,721.15286,0.0,0.0,0.0,0.0,100.0
2011-05-03,1.0,428755.0,311704885.0,727.0,727.0,727.0,727.0,721.0,720.93333,722.05242,0.0,0.0,0.0,0.0,100.0
2011-05-04,1.0,428755.0,311704885.0,727.0,727.0,727.0,727.0,722.0,721.74222,722.81359,0.0,0.0,0.0,0.0,100.0
2011-05-05,1.0,428755.0,311704885.0,727.0,727.0,727.0,727.0,723.0,722.44326,723.45765,0.0,0.0,0.0,0.0,100.0
2011-05-06,1.0,428755.0,311704885.0,727.0,727.0,727.0,727.0,724.0,723.05082,724.00263,0.0,0.0,0.0,0.0,100.0
2011-05-07,1.0,428755.0,311704885.0,727.0,727.0,727.0,727.0,725.0,723.57738,724.46376,0.0,0.0,0.0,0.0,100.0
2011-05-08,1.0,428755.0,311704885.0,727.0,727.0,727.0,727.0,726.0,724.03373,724.85395,0.0,0.0,0.0,0.0,100.0
2011-05-09,1.0,428755.0,311704885.0,727.0,727.0,727.0,727.0,727.0,724.42923,725.18411,0.0,0.0,0.0,0.0,100.0
2011-05-10,1.0,428755.0,311704885.0,727.0,727.0,727.0,727.0,727.0,724.772,725.46348,0.0,0.0,0.0,0.0,100.0
2011-05-11,1.0,428755.0,311704885.0,727.0,727.0,727.0,727.0,727.0,725.06907,725.69987,0.0,0.0,0.0,0.0,100.0
2011-05-12,1.0,428755.0,311704885.0,727.0,727.0,727.0,727.0,727.0,725.32653,725.89989,0.0,0.0,0.0,0.0,100.0
2011-05-13,1.0,428755.0,311704885.0,727.0,727.0,727.0,727.0,727.0,725.54966,726.06914,0.0,0.0,0.0,0.0,100.0
2011-05-14,1.0,428755.0,311704885.0,727.0,727.0,727.0,727.0,727.0,725.74304,726.21235,723.23077,2.98158,0.59632,2.38526,100.0
2011-05-15,1.0,428755.0,311704885.0,727.0,727.0,727.0,727.0,727.0,725.91063,726.33352,723.50997,2.82355,1.04176,1.78179,100.0
2011-05-16,1.0,428755.0,311704885.0,727.0,727.0,727.0,727.0,727.0,726.05588,726.43606,723.76849,2.66757,1.36692,1.30064,100.0
2011-05-17,1.0,428755.0,311704885.0,727.0,727.0,727.0,727.0,727.0,726.18176,726.52282,724.00786,2.51496,1.59653,0.91843,100.0
2011-05-18,1.0,428755.0,311704885.0,727.0,727.0,727.0,727.0,727.0,726.29086,726.59623,724.2295,2.36673,1.75057,0.61616,100.0
2011-05-19,1.0,428755.0,311704885.0,727.0,727.0,727.0,727.0,727.0,726.38541,726.65835,724.43472,2.22362,1.84518,0.37844,100.0
2011-05-20,1.0,428755.0,311704885.0,727.0,727.0,727.0,727.0,727.0,726.46736,726.71091,724.62475,2.08617,1.89338,0.19279,100.0
2011-05-21,1.0,428755.0,311704885.0,727.0,727.0,727.0,727.0,727.0,726.53838,726.75539,724.80069,1.9547,1.90564,0.04905,100.0
2011-05-22,1.0,428755.0,311704885.0,727.0,727.0,727.0,727.0,727.0,726.59993,726.79302,724.9636,1.82942,1.8904,-0.06098,100.0
2011-05-23,1.0,428755.0,311704885.0,727.0,727.0,727.0,727.0,727.0,726.65327,726.82486,725.11445,1.71042,1.8544,-0.14398,100.0
2011-05-24,1.0,428755.0,311704885.0,727.0,727.0,727.0,727.0,727.0,726.6995,726.85181,725.25412,1.59769,1.80306,-0.20537,100.0
2011-05-25,1.0,428755.0,311704885.0,727.0,727.0,727.0,727.0,727.0,726.73957,726.87461,725.38344,1.49116,1.74068,-0.24952,100.0
2011-05-26,1.0,428755.0,311704885.0,727.0,727.0,727.0,727.0,727.0,726.77429,726.8939,725.50319,1.39071,1.67069,-0.27998,100.0
2011-05-27,1.0,428755.0,311704885.0,727.0,727.0,727.0,727.0,727.0,726.80439,726.91022,725.61406,1.29616,1.59578,-0.29962,100.0
2011-05-28,1.0,428755.0,311704885.0,727.0,727.0,727.0,727.0,727.0,726.83047,726.92403,725.71672,1.20731,1.51809,-0.31078,100.0
2011-05-29,1.0,428755.0,311704885.0,727.0,727.0,727.0,727.0,727.0,726.85307,726.93572,725.81178,1.12394,1.43926,-0.31532,100.0
2011-05-30,1.0,428755.0,311704885.0,727.0,727.0,727.0,727.0,727.0,726.87266,726.94561,725.8998,1.04581,1.36057,-0.31476,100.0
