Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-12-22,3.0,907.0,661794.0,742.0,728.0,742.0,742.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-23,3.0,907.0,661794.0,742.0,728.0,742.0,742.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-24,3.0,907.0,661794.0,742.0,728.0,742.0,742.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-25,3.0,907.0,661794.0,742.0,728.0,742.0,742.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-26,3.0,907.0,661794.0,742.0,728.0,742.0,742.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-27,3.0,907.0,661794.0,742.0,728.0,742.0,742.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-28,3.0,907.0,661794.0,742.0,728.0,742.0,742.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-29,1.0,7900.0,5751200.0,742.0,728.0,728.0,742.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-30,1.0,7900.0,5751200.0,728.0,728.0,728.0,728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-31,1.0,7900.0,5751200.0,728.0,728.0,728.0,728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-01,1.0,7900.0,5751200.0,728.0,728.0,728.0,728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-02,1.0,7900.0,5751200.0,728.0,728.0,728.0,728.0,0.0,0.0,736.16667,0.0,0.0,0.0,0.0,0.0
2011-01-03,1.0,7900.0,5751200.0,728.0,728.0,728.0,728.0,0.0,0.0,734.91026,0.0,0.0,0.0,0.0,0.0
2011-01-04,1.0,7900.0,5751200.0,728.0,728.0,728.0,728.0,735.0,735.0,733.84714,0.0,0.0,0.0,0.0,0.0
2011-01-05,1.0,7900.0,5751200.0,728.0,728.0,728.0,728.0,734.0,734.06667,732.94758,0.0,0.0,0.0,0.0,0.0
2011-01-06,1.0,7900.0,5751200.0,728.0,728.0,728.0,728.0,733.0,733.25778,732.18641,0.0,0.0,0.0,0.0,0.0
2011-01-07,1.0,7900.0,5751200.0,728.0,728.0,728.0,728.0,732.0,732.55674,731.54235,0.0,0.0,0.0,0.0,0.0
2011-01-08,1.0,7900.0,5751200.0,728.0,728.0,728.0,728.0,731.0,731.94918,730.99737,0.0,0.0,0.0,0.0,0.0
2011-01-09,1.0,7900.0,5751200.0,728.0,728.0,728.0,728.0,730.0,731.42262,730.53624,0.0,0.0,0.0,0.0,0.0
2011-01-10,1.0,7900.0,5751200.0,728.0,728.0,728.0,728.0,729.0,730.96627,730.14605,0.0,0.0,0.0,0.0,0.0
2011-01-11,1.0,7900.0,5751200.0,728.0,728.0,728.0,728.0,728.0,730.57077,729.81589,0.0,0.0,0.0,0.0,0.0
2011-01-12,1.0,7900.0,5751200.0,728.0,728.0,728.0,728.0,728.0,730.228,729.53652,0.0,0.0,0.0,0.0,0.0
2011-01-13,1.0,7900.0,5751200.0,728.0,728.0,728.0,728.0,728.0,729.93093,729.30013,0.0,0.0,0.0,0.0,0.0
2011-01-14,1.0,7900.0,5751200.0,728.0,728.0,728.0,728.0,728.0,729.67347,729.10011,0.0,0.0,0.0,0.0,0.0
2011-01-15,1.0,7900.0,5751200.0,728.0,728.0,728.0,728.0,728.0,729.45034,728.93086,0.0,0.0,0.0,0.0,0.0
2011-01-16,1.0,7900.0,5751200.0,728.0,728.0,728.0,728.0,728.0,729.25696,728.78765,731.76923,-2.98158,-0.59632,-2.38526,0.0
2011-01-17,1.0,7900.0,5751200.0,728.0,728.0,728.0,728.0,728.0,729.08937,728.66648,731.49003,-2.82355,-1.04176,-1.78179,0.0
2011-01-18,1.0,7900.0,5751200.0,728.0,728.0,728.0,728.0,728.0,728.94412,728.56394,731.23151,-2.66757,-1.36692,-1.30064,0.0
2011-01-19,1.0,7900.0,5751200.0,728.0,728.0,728.0,728.0,728.0,728.81824,728.47718,730.99214,-2.51496,-1.59653,-0.91843,0.0
