Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-04-15,6.0,273.0,202424.0,747.0,740.0,747.0,747.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-16,6.0,273.0,202424.0,747.0,740.0,747.0,747.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-17,6.0,273.0,202424.0,747.0,740.0,747.0,747.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-18,6.0,273.0,202424.0,747.0,740.0,747.0,747.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-19,17.0,7163.0,4973779.0,747.0,690.0,717.0,747.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-20,31.0,2586.0,1813150.0,717.0,698.0,702.0,717.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-21,33.0,2208.0,1482614.0,702.0,653.0,688.0,702.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-22,17.0,1280.0,857153.0,700.0,652.0,700.0,688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.50313
2010-04-23,17.0,1280.0,857153.0,700.0,652.0,700.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.50313
2010-04-24,17.0,1280.0,857153.0,700.0,652.0,700.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.50313
2010-04-25,13.0,1077.0,744241.0,700.0,682.0,685.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.59529
2010-04-26,27.0,9584.0,6440996.0,698.0,660.0,675.0,685.0,0.0,0.0,712.91667,0.0,0.0,0.0,0.0,12.71546
2010-04-27,42.0,3409.0,2180329.0,675.0,630.0,645.0,675.0,0.0,0.0,702.46795,0.0,0.0,0.0,0.0,9.04556
