Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-04-15,3.0,146.0,119218.0,833.0,801.0,801.0,801.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-16,3.0,146.0,119218.0,833.0,801.0,801.0,801.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-17,3.0,146.0,119218.0,833.0,801.0,801.0,801.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-18,3.0,146.0,119218.0,833.0,801.0,801.0,801.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-19,1.0,50.0,39250.0,801.0,785.0,785.0,801.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-20,4.0,74.0,58320.0,800.0,770.0,800.0,785.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.6063
2010-04-21,4.0,74.0,58320.0,800.0,770.0,800.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.6063
2010-04-22,3.0,120.0,94510.0,813.0,784.0,813.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.81133
2010-04-23,3.0,120.0,94510.0,813.0,784.0,813.0,813.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.81133
2010-04-24,3.0,120.0,94510.0,813.0,784.0,813.0,813.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.81133
2010-04-25,1.0,30.0,24000.0,813.0,800.0,800.0,813.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.9585
2010-04-26,1.0,30.0,24000.0,800.0,800.0,800.0,800.0,0.0,0.0,802.33333,0.0,0.0,0.0,0.0,47.9585
2010-04-27,5.0,160.0,121840.0,800.0,739.0,739.0,800.0,0.0,0.0,792.58974,0.0,0.0,0.0,0.0,19.95471
2010-04-28,1.0,30.0,21750.0,739.0,725.0,725.0,739.0,792.28571,792.28571,782.19132,0.0,0.0,0.0,0.0,17.49317
2010-04-29,1.0,20.0,14600.0,730.0,725.0,730.0,725.0,787.21429,783.98095,774.16189,0.0,0.0,0.0,0.0,21.14108
2010-04-30,1.0,20.0,14600.0,730.0,730.0,730.0,730.0,782.14286,776.78349,767.36775,0.0,0.0,0.0,0.0,21.14108
2010-05-01,1.0,20.0,14600.0,730.0,730.0,730.0,730.0,777.07143,770.54569,761.61887,0.0,0.0,0.0,0.0,21.14108
2010-05-02,1.0,20.0,14600.0,730.0,730.0,730.0,730.0,772.0,765.1396,756.75443,0.0,0.0,0.0,0.0,21.14108
2010-05-03,1.0,20.0,14600.0,730.0,730.0,730.0,730.0,768.07143,760.45432,752.63836,0.0,0.0,0.0,0.0,21.14108
2010-05-04,1.0,20.0,14600.0,730.0,730.0,730.0,730.0,763.07143,756.39374,749.15554,0.0,0.0,0.0,0.0,21.14108
2010-05-05,1.0,20.0,14600.0,730.0,730.0,730.0,730.0,758.07143,752.87458,746.20853,0.0,0.0,0.0,0.0,21.14108
2010-05-06,1.0,20.0,14600.0,730.0,730.0,730.0,730.0,752.14286,749.82463,743.71491,0.0,0.0,0.0,0.0,21.14108
2010-05-07,1.0,20.0,14600.0,730.0,730.0,730.0,730.0,746.21429,747.18135,741.60492,0.0,0.0,0.0,0.0,21.14108
2010-05-08,1.0,20.0,14600.0,730.0,730.0,730.0,730.0,740.28571,744.8905,739.81955,0.0,0.0,0.0,0.0,21.14108
2010-05-09,1.0,20.0,14600.0,730.0,730.0,730.0,730.0,735.28571,742.9051,738.30885,0.0,0.0,0.0,0.0,21.14108
2010-05-10,1.0,200.0,144000.0,730.0,720.0,720.0,730.0,729.57143,739.85109,735.4921,763.15385,-27.66174,-5.53235,-22.12939,18.36374
2010-05-11,1.0,350.0,247100.0,720.0,706.0,706.0,720.0,727.21429,735.33761,730.95486,758.92023,-27.96537,-10.01895,-17.94642,15.39142
2010-05-12,1.0,350.0,247100.0,706.0,706.0,706.0,706.0,725.85714,731.42593,727.11565,755.00021,-27.88456,-13.59207,-14.29249,15.39142
2010-05-13,1.0,350.0,247100.0,706.0,706.0,706.0,706.0,724.14286,728.03581,723.86709,751.37057,-27.50348,-16.37436,-11.12912,15.39142
