Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-05-30,1.0,315.0,94815.0,301.0,301.0,301.0,301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-31,4.0,300.0,94040.0,322.0,301.0,322.0,301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-06-01,4.0,300.0,94040.0,322.0,305.0,322.0,322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-06-02,1.0,63.0,20664.0,328.0,322.0,328.0,322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-06-03,1.0,40.0,13360.0,334.0,328.0,334.0,328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-06-04,1.0,40.0,13360.0,334.0,334.0,334.0,334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-06-05,1.0,40.0,13360.0,334.0,334.0,334.0,334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-06-06,1.0,40.0,13360.0,334.0,334.0,334.0,334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-06-07,4.0,115.0,40895.0,359.0,334.0,359.0,334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-06-08,1.0,20.0,7320.0,366.0,359.0,366.0,359.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-06-09,2.0,20.0,7530.0,380.0,366.0,380.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-06-10,6.0,110.0,44310.0,418.0,380.0,418.0,380.0,0.0,0.0,344.33333,0.0,0.0,0.0,0.0,100.0
2010-06-11,6.0,110.0,44310.0,418.0,387.0,418.0,418.0,0.0,0.0,355.66667,0.0,0.0,0.0,0.0,100.0
2010-06-12,6.0,110.0,44310.0,418.0,387.0,418.0,418.0,354.85714,354.85714,365.25641,0.0,0.0,0.0,0.0,100.0
2010-06-13,6.0,151.0,65734.0,450.0,418.0,450.0,418.0,365.5,367.54286,378.29389,0.0,0.0,0.0,0.0,100.0
2010-06-14,2.0,70.0,32130.0,459.0,450.0,459.0,450.0,375.28571,379.73714,390.71021,0.0,0.0,0.0,0.0,100.0
2010-06-15,10.0,449.0,209783.0,470.0,459.0,465.0,459.0,385.5,391.10552,402.13941,0.0,0.0,0.0,0.0,100.0
2010-06-16,10.0,393.0,182860.0,474.0,452.0,474.0,465.0,395.92857,402.15812,413.19488,0.0,0.0,0.0,0.0,100.0
2010-06-17,2.0,60.0,28930.0,483.0,474.0,483.0,474.0,406.57143,412.93704,423.93413,0.0,0.0,0.0,0.0,100.0
2010-06-18,2.0,60.0,28930.0,483.0,482.0,483.0,483.0,417.21429,422.27877,433.02119,0.0,0.0,0.0,0.0,100.0
2010-06-19,2.0,60.0,28930.0,483.0,482.0,483.0,483.0,427.85714,430.37493,440.71024,0.0,0.0,0.0,0.0,100.0
2010-06-20,3.0,193.0,94740.0,492.0,483.0,492.0,483.0,439.14286,438.59161,448.60097,0.0,0.0,0.0,0.0,100.0
2010-06-21,2.0,50.0,25010.0,501.0,492.0,500.0,492.0,449.21429,446.77939,456.50851,0.0,0.0,0.0,0.0,100.0
2010-06-22,1.0,10.0,5100.0,510.0,500.0,510.0,500.0,459.5,455.20881,464.73797,0.0,0.0,0.0,0.0,100.0
2010-06-23,2.0,80.0,42000.0,530.0,510.0,530.0,510.0,470.21429,465.18097,474.77828,0.0,0.0,0.0,0.0,100.0
2010-06-24,2.0,80.0,42000.0,530.0,520.0,530.0,530.0,478.21429,473.8235,483.27393,416.42308,66.85086,13.37017,53.48068,100.0
2010-06-25,2.0,80.0,42000.0,530.0,520.0,530.0,530.0,486.21429,481.3137,490.46256,424.83618,65.62638,23.82141,41.80496,100.0
2010-06-26,2.0,80.0,42000.0,530.0,520.0,530.0,530.0,494.21429,487.80521,496.54524,432.62609,63.91915,31.84096,32.07819,100.0
2010-06-27,2.0,80.0,42000.0,530.0,520.0,530.0,530.0,499.92857,493.43118,501.69213,439.83898,61.85315,37.8434,24.00975,100.0
2010-06-28,1.0,90.0,47700.0,530.0,530.0,530.0,530.0,505.0,498.30702,506.04719,446.51757,59.52961,42.18064,17.34897,100.0
2010-06-29,1.0,90.0,47700.0,530.0,530.0,530.0,530.0,509.64286,502.53275,509.73223,452.70145,57.03078,45.15067,11.88011,100.0
2010-06-30,4.0,510.0,264843.0,530.0,519.0,519.0,530.0,512.85714,504.72839,511.15804,457.61246,53.54559,46.82965,6.71593,94.71173
2010-07-01,4.0,510.0,264843.0,520.0,519.0,519.0,519.0,515.42857,506.63127,512.3645,462.15968,50.20482,47.50468,2.70013,94.71173
2010-07-02,4.0,510.0,264843.0,520.0,519.0,519.0,519.0,518.0,508.28043,513.38534,466.37008,47.01527,47.4068,-0.39153,94.71173
2010-07-03,4.0,510.0,264843.0,520.0,519.0,519.0,519.0,520.57143,509.70971,514.24914,470.26859,43.98055,46.72155,-2.741,94.71173
2010-07-04,1.0,63.0,33327.0,529.0,519.0,529.0,519.0,523.21429,512.28175,516.5185,474.61906,41.89944,45.75713,-3.85769,95.00369
2010-07-05,2.0,66.0,34254.0,529.0,519.0,519.0,529.0,524.57143,513.17751,516.90027,477.90654,38.99373,44.40445,-5.41072,89.7981
2010-07-06,2.0,66.0,34254.0,519.0,519.0,519.0,519.0,525.21429,513.95385,517.22331,480.9505,36.2728,42.77812,-6.50531,89.7981
2010-07-07,2.0,124.0,63116.0,519.0,509.0,509.0,519.0,523.71429,513.29333,515.95818,483.02824,32.92994,40.80848,-7.87854,84.68244
2010-07-08,5.0,200.0,98900.0,509.0,490.0,490.0,509.0,520.85714,510.18756,511.96462,483.54467,28.41995,38.33078,-9.91083,76.04031
