Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2013-03-03,558.0,223490.0,37612290.0,174.0,150.0,171.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-04,470.0,130359.0,22072090.0,174.0,166.0,168.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-05,186.0,43648.0,7182993.0,170.0,162.0,167.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-06,161.0,34344.0,5749546.0,171.0,164.0,170.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.91037
2013-03-07,166.0,30932.0,5196527.0,170.0,166.0,168.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.74719
2013-03-08,166.0,30932.0,5196527.0,169.0,166.0,168.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.74719
2013-03-09,166.0,30932.0,5196527.0,169.0,166.0,168.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.74719
2013-03-10,166.0,30932.0,5196527.0,169.0,166.0,168.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.74719
2013-03-11,229.0,37709.0,6394639.0,173.0,166.0,170.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.44525
2013-03-12,229.0,37709.0,6394639.0,173.0,166.0,170.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.44525
2013-03-13,213.0,54094.0,9211111.0,173.0,169.0,170.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.44525
2013-03-14,216.0,52081.0,8954910.0,179.0,170.0,170.0,170.0,0.0,0.0,169.0,0.0,0.0,0.0,0.0,8.44525
2013-03-15,216.0,52081.0,8954910.0,179.0,170.0,170.0,170.0,0.0,0.0,169.15385,0.0,0.0,0.0,0.0,8.44525
2013-03-16,216.0,52081.0,8954910.0,179.0,170.0,170.0,170.0,169.14286,169.14286,169.28402,0.0,0.0,0.0,0.0,8.44525
2013-03-17,150.0,30551.0,5108359.0,171.0,164.0,170.0,170.0,169.07143,169.25714,169.39417,0.0,0.0,0.0,0.0,8.44525
2013-03-18,122.0,40598.0,6683611.0,170.0,163.0,166.0,170.0,168.92857,168.82286,168.87199,0.0,0.0,0.0,0.0,7.61342
2013-03-19,136.0,35073.0,5794325.0,167.0,163.0,164.0,166.0,168.71429,168.17981,168.12246,0.0,0.0,0.0,0.0,7.23909
2013-03-20,136.0,35073.0,5794325.0,167.0,163.0,164.0,164.0,168.28571,167.6225,167.48823,0.0,0.0,0.0,0.0,7.23909
2013-03-21,62.0,20623.0,3347061.0,165.0,160.0,162.0,164.0,167.85714,166.87283,166.64389,0.0,0.0,0.0,0.0,6.86685
2013-03-22,62.0,20623.0,3347061.0,165.0,160.0,162.0,162.0,167.42857,166.22312,165.92944,0.0,0.0,0.0,0.0,6.86685
2013-03-23,62.0,20623.0,3347061.0,165.0,160.0,162.0,162.0,167.0,165.66004,165.32491,0.0,0.0,0.0,0.0,6.86685
2013-03-24,144.0,29316.0,4661660.0,162.0,158.0,158.0,162.0,166.28571,164.6387,164.198,0.0,0.0,0.0,0.0,6.13632
2013-03-25,190.0,36554.0,5801962.0,164.0,156.0,160.0,158.0,165.57143,164.02021,163.55216,0.0,0.0,0.0,0.0,11.10151
2013-03-26,190.0,36554.0,5801962.0,164.0,156.0,160.0,160.0,164.85714,163.48418,163.00567,0.0,0.0,0.0,0.0,11.10151
2013-03-27,59.0,17897.0,2826690.0,161.0,157.0,160.0,160.0,164.14286,163.01962,162.54326,0.0,0.0,0.0,0.0,11.10151
2013-03-28,58.0,26692.0,4208203.0,160.0,156.0,159.0,160.0,163.35714,162.48367,161.99814,165.96154,-3.96339,-0.79268,-3.17072,10.7717
2013-03-29,58.0,26692.0,4208203.0,160.0,156.0,159.0,159.0,162.57143,162.01918,161.53689,165.44587,-3.90898,-1.41594,-2.49304,10.7717
2013-03-30,58.0,26692.0,4208203.0,160.0,156.0,159.0,159.0,161.78571,161.61663,161.1466,164.9684,-3.8218,-1.89711,-1.92469,10.7717
2013-03-31,176.0,43059.0,6694879.0,159.0,154.0,156.0,159.0,160.78571,160.86774,160.35482,164.30407,-3.94926,-2.30754,-1.64172,9.76429
2013-04-01,122.0,25894.0,4016497.0,158.0,151.0,158.0,156.0,160.21429,160.48538,159.99254,163.8371,-3.84457,-2.61495,-1.22962,15.30876
2013-04-02,133.0,26882.0,4202183.0,160.0,152.0,158.0,158.0,159.78571,160.15399,159.68599,163.40473,-3.71873,-2.8357,-0.88303,15.30876
2013-04-03,107.0,36884.0,5798232.0,160.0,155.0,157.0,158.0,159.28571,159.73346,159.27276,162.9303,-3.65754,-3.00007,-0.65747,14.80722
2013-04-04,116.0,16222.0,2556088.0,160.0,156.0,158.0,157.0,159.0,159.50233,159.07695,162.56509,-3.48814,-3.09768,-0.39046,17.64036
2013-04-05,116.0,16222.0,2556088.0,160.0,156.0,158.0,158.0,158.71429,159.30202,158.91127,162.22694,-3.31567,-3.14128,-0.17439,17.64036
2013-04-06,116.0,16222.0,2556088.0,160.0,156.0,158.0,158.0,158.42857,159.12842,158.77107,161.91383,-3.14276,-3.14158,-0.00118,17.64036
2013-04-07,161.0,39573.0,6215901.0,159.0,156.0,159.0,158.0,158.5,159.1113,158.80629,161.69799,-2.8917,-3.0916,0.1999,20.69346
2013-04-08,130.0,20470.0,3247306.0,160.0,158.0,159.0,159.0,158.42857,159.09646,158.83609,161.49814,-2.66205,-3.00569,0.34364,20.69346
2013-04-09,207.0,57708.0,9149963.0,161.0,158.0,160.0,159.0,158.42857,159.21693,159.01516,161.38717,-2.37201,-2.87896,0.50694,23.80746
2013-04-10,207.0,57708.0,9149963.0,161.0,158.0,160.0,160.0,158.42857,159.32134,159.16667,161.28441,-2.11774,-2.72671,0.60897,23.80746
2013-04-11,201.0,39806.0,6402410.0,164.0,159.0,161.0,160.0,158.57143,159.54516,159.44872,161.26335,-1.81463,-2.5443,0.72967,26.96897
2013-04-12,201.0,39806.0,6402410.0,164.0,159.0,161.0,161.0,158.71429,159.73914,159.68738,161.24384,-1.55646,-2.34673,0.79027,26.96897
2013-04-13,201.0,39806.0,6402410.0,164.0,159.0,161.0,161.0,158.85714,159.90725,159.88932,161.22578,-1.33646,-2.14467,0.80822,26.96897
2013-04-14,201.0,39806.0,6402410.0,164.0,159.0,161.0,161.0,159.21429,160.05295,160.06019,161.20905,-1.14886,-1.94551,0.79665,26.96897
2013-04-15,151.0,27472.0,4450179.0,164.0,161.0,164.0,161.0,159.64286,160.57923,160.66632,161.41579,-0.74947,-1.7063,0.95683,36.5669
2013-04-16,131.0,31011.0,4972875.0,164.0,159.0,161.0,164.0,159.85714,160.63533,160.71765,161.38499,-0.66734,-1.49851,0.83117,32.13278
2013-04-17,148.0,22719.0,3628596.0,161.0,158.0,160.0,161.0,160.07143,160.55062,160.60725,161.2824,-0.67515,-1.33384,0.65869,30.82455
2013-04-18,113.0,37775.0,5984461.0,161.0,157.0,157.0,160.0,160.0,160.0772,160.05228,160.96518,-0.9129,-1.24965,0.33675,27.32075
2013-04-19,113.0,37775.0,5984461.0,161.0,157.0,157.0,157.0,159.92857,159.66691,159.5827,160.67147,-1.08876,-1.21747,0.12871,27.32075
2013-04-20,113.0,37775.0,5984461.0,161.0,157.0,157.0,157.0,159.85714,159.31132,159.18536,160.39951,-1.21414,-1.21681,0.00266,27.32075
2013-04-21,111.0,22749.0,3539113.0,158.0,154.0,155.0,157.0,159.57143,158.73648,158.54146,159.99954,-1.45808,-1.26506,-0.19302,25.11735
2013-04-22,92.0,18922.0,2889171.0,157.0,152.0,157.0,155.0,159.42857,158.50495,158.30431,159.77735,-1.47304,-1.30666,-0.16638,30.96348
2013-04-23,54.0,12834.0,2015793.0,159.0,155.0,156.0,157.0,159.14286,158.17095,157.9498,159.49755,-1.54775,-1.35488,-0.19287,29.74435
2013-04-24,54.0,12834.0,2015793.0,159.0,155.0,156.0,156.0,158.85714,157.88149,157.64983,159.23847,-1.58864,-1.40163,-0.18701,29.74435
2013-04-25,52.0,9675.0,1506925.0,157.0,155.0,156.0,156.0,158.5,157.63063,157.39601,158.99859,-1.60257,-1.44182,-0.16076,29.74435
2013-04-26,52.0,9675.0,1506925.0,157.0,155.0,156.0,156.0,158.14286,157.41321,157.18124,158.77647,-1.59523,-1.4725,-0.12273,29.74435
2013-04-27,52.0,9675.0,1506925.0,157.0,155.0,156.0,156.0,157.78571,157.22478,156.99951,158.5708,-1.57129,-1.49226,-0.07903,29.74435
2013-04-28,106.0,14562.0,2247419.0,156.0,153.0,154.0,156.0,157.28571,156.79481,156.53805,158.23223,-1.69418,-1.53264,-0.16154,27.02797
2013-04-29,75.0,12805.0,1963285.0,156.0,151.0,155.0,154.0,156.64286,156.5555,156.30143,157.9928,-1.69138,-1.56439,-0.12699,30.36656
2013-04-30,63.0,13591.0,2074667.0,155.0,151.0,153.0,155.0,156.07143,156.08144,155.79351,157.62296,-1.82945,-1.6174,-0.21205,27.70473
2013-05-01,63.0,13591.0,2074667.0,154.0,151.0,153.0,153.0,155.57143,155.67058,155.36374,157.28052,-1.91678,-1.67728,-0.2395,27.70473
2013-05-02,46.0,11957.0,1801043.0,153.0,149.0,151.0,153.0,155.14286,155.04783,154.6924,156.8153,-2.1229,-1.7664,-0.3565,25.26325
2013-05-03,46.0,11957.0,1801043.0,153.0,149.0,151.0,151.0,154.71429,154.50812,154.12434,156.38454,-2.2602,-1.86516,-0.39504,25.26325
2013-05-04,46.0,11957.0,1801043.0,153.0,149.0,151.0,151.0,154.28571,154.04037,153.64367,155.98568,-2.34201,-1.96053,-0.38148,25.26325
2013-05-05,60.0,15382.0,2305779.0,155.0,148.0,151.0,151.0,154.0,153.63499,153.23695,155.61637,-2.37942,-2.04431,-0.33511,25.26325
2013-05-06,78.0,16674.0,2469273.0,151.0,147.0,148.0,151.0,153.35714,152.88366,152.43127,155.0522,-2.62093,-2.15963,-0.4613,21.76601
2013-05-07,55.0,13748.0,2086678.0,154.0,148.0,152.0,148.0,153.07143,152.76584,152.36492,154.82611,-2.46119,-2.21994,-0.24125,34.46669
2013-05-08,104.0,19052.0,2892532.0,154.0,150.0,152.0,152.0,152.78571,152.66373,152.30878,154.61677,-2.30799,-2.23755,-0.07044,34.46669
2013-05-09,55.0,7733.0,1173676.0,154.0,151.0,151.0,152.0,152.42857,152.4419,152.10743,154.34886,-2.24143,-2.23833,-0.0031,32.99051
2013-05-10,55.0,7733.0,1173676.0,154.0,151.0,151.0,151.0,152.07143,152.24964,151.93705,154.10079,-2.16374,-2.22341,0.05967,32.99051
2013-05-11,55.0,7733.0,1173676.0,154.0,151.0,151.0,151.0,151.71429,152.08302,151.79289,153.87111,-2.07821,-2.19437,0.11616,32.99051
2013-05-12,62.0,8393.0,1257801.0,154.0,149.0,149.0,151.0,151.35714,151.67195,151.36322,153.51028,-2.14707,-2.18491,0.03784,30.01428
2013-05-13,61.0,10293.0,1550537.0,153.0,148.0,152.0,149.0,151.14286,151.71569,151.46118,153.39841,-1.93723,-2.13537,0.19815,38.72125
2013-05-14,49.0,5946.0,905946.0,153.0,150.0,153.0,152.0,151.14286,151.88693,151.69792,153.3689,-1.67097,-2.04249,0.37152,41.27822
2013-05-15,34.0,10634.0,1628681.0,155.0,150.0,153.0,153.0,151.14286,152.03534,151.89824,153.34157,-1.44333,-1.92266,0.47933,41.27822
2013-05-16,29.0,3589.0,546312.0,153.0,150.0,153.0,153.0,151.28571,152.16396,152.06774,153.31627,-1.24853,-1.78783,0.53931,41.27822
2013-05-17,29.0,3589.0,546312.0,153.0,150.0,153.0,153.0,151.42857,152.27544,152.21117,153.29284,-1.08168,-1.6466,0.56493,41.27822
2013-05-18,29.0,3589.0,546312.0,153.0,150.0,153.0,153.0,151.57143,152.37204,152.33253,153.27115,-0.93862,-1.50501,0.56638,41.27822
2013-05-19,75.0,16083.0,2429913.0,154.0,150.0,150.0,153.0,151.5,152.05577,151.97368,153.02884,-1.05517,-1.41504,0.35987,35.59187
2013-05-20,43.0,6540.0,988112.0,152.0,150.0,152.0,150.0,151.78571,152.04834,151.97773,152.95263,-0.97491,-1.32701,0.35211,41.25648
2013-05-21,93.0,19123.0,2890121.0,152.0,150.0,152.0,152.0,151.78571,152.04189,151.98115,152.88207,-0.90091,-1.24179,0.34088,41.25648
2013-05-22,56.0,5816.0,878216.0,152.0,150.0,151.0,152.0,151.71429,151.90297,151.83021,152.74266,-0.91245,-1.17592,0.26348,39.34879
2013-05-23,39.0,3517.0,524616.0,151.0,149.0,150.0,151.0,151.64286,151.64924,151.54864,152.5395,-0.99086,-1.13891,0.14805,37.52679
