Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2014-06-08,847.0,98049.0,27306807.0,284.0,260.0,280.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-09,923.0,119894.0,32920286.0,280.0,270.0,274.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-10,634.0,75947.0,20767541.0,278.0,269.0,276.0,274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63934
2014-06-11,613.0,50258.0,14116838.0,286.0,274.0,282.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.46921
2014-06-12,664.0,69819.0,20037660.0,296.0,280.0,296.0,282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.51303
2014-06-13,664.0,69819.0,20037660.0,296.0,280.0,296.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.51303
2014-06-14,664.0,69819.0,20037660.0,296.0,280.0,296.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.51303
2014-06-15,761.0,103028.0,31961850.0,325.0,292.0,325.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.60892
2014-06-16,671.0,86587.0,29132348.0,352.0,319.0,334.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.76193
2014-06-17,865.0,71650.0,23957894.0,348.0,0.0,0.0,334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.98526
2014-06-18,540.0,34780.0,11519897.0,338.0,0.0,336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.10549
2014-06-19,442.0,38719.0,12111033.0,336.0,308.0,308.0,336.0,0.0,0.0,275.25,0.0,0.0,0.0,0.0,47.33189
2014-06-20,442.0,38719.0,12111033.0,320.0,308.0,308.0,308.0,0.0,0.0,280.28846,0.0,0.0,0.0,0.0,47.33189
2014-06-21,442.0,38719.0,12111033.0,320.0,308.0,308.0,308.0,279.92857,279.92857,284.55178,0.0,0.0,0.0,0.0,47.33189
2014-06-22,442.0,38719.0,12111033.0,320.0,308.0,308.0,308.0,281.92857,283.67143,288.15919,0.0,0.0,0.0,0.0,47.33189
2014-06-23,346.0,19638.0,6001845.0,314.0,303.0,310.0,308.0,284.5,287.1819,291.51932,0.0,0.0,0.0,0.0,47.49653
2014-06-24,448.0,28200.0,8757127.0,325.0,298.0,314.0,310.0,287.21429,290.75765,294.97788,0.0,0.0,0.0,0.0,47.83895
2014-06-25,557.0,27323.0,8588877.0,320.0,310.0,311.0,314.0,289.28571,293.45663,297.44283,0.0,0.0,0.0,0.0,47.59451
2014-06-26,364.0,34601.0,10866630.0,326.0,307.0,320.0,311.0,291.0,296.99575,300.91316,0.0,0.0,0.0,0.0,48.42465
2014-06-27,364.0,34601.0,10866630.0,326.0,307.0,320.0,320.0,292.71429,300.06298,303.8496,0.0,0.0,0.0,0.0,48.42465
