Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-05-18,4.0,40.0,10200.0,260.0,250.0,250.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-19,4.0,40.0,10200.0,260.0,250.0,250.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-20,2.0,40.0,9800.0,250.0,245.0,245.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-21,2.0,40.0,9800.0,245.0,245.0,245.0,245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-22,2.0,40.0,9800.0,245.0,245.0,245.0,245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-23,3.0,70.0,16850.0,245.0,240.0,240.0,245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-24,10.0,200.0,48000.0,240.0,240.0,240.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-25,5.0,250.0,61070.0,245.0,240.0,245.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.16704
2010-05-26,4.0,90.0,22690.0,255.0,245.0,250.0,245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.80469
2010-05-27,4.0,90.0,22690.0,255.0,249.0,250.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.80469
2010-05-28,4.0,90.0,22690.0,255.0,249.0,250.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.80469
2010-05-29,4.0,90.0,22690.0,255.0,249.0,250.0,250.0,0.0,0.0,246.66667,0.0,0.0,0.0,0.0,54.80469
2010-05-30,1.0,20.0,5100.0,255.0,250.0,255.0,250.0,0.0,0.0,247.94872,0.0,0.0,0.0,0.0,66.30236
2010-05-31,1.0,20.0,5100.0,255.0,255.0,255.0,255.0,247.85714,247.85714,249.03353,0.0,0.0,0.0,0.0,66.30236
2010-06-01,1.0,20.0,5100.0,255.0,255.0,255.0,255.0,248.21429,248.80952,249.95145,0.0,0.0,0.0,0.0,66.30236
2010-06-02,1.0,20.0,5100.0,255.0,255.0,255.0,255.0,248.57143,249.63492,250.72815,0.0,0.0,0.0,0.0,66.30236
2010-06-03,1.0,80.0,20000.0,255.0,250.0,250.0,255.0,248.92857,249.6836,250.61613,0.0,0.0,0.0,0.0,50.64248
2010-06-04,1.0,80.0,20000.0,250.0,250.0,250.0,250.0,249.28571,249.72578,250.52134,0.0,0.0,0.0,0.0,50.64248
2010-06-05,1.0,80.0,20000.0,250.0,250.0,250.0,250.0,249.64286,249.76235,250.44113,0.0,0.0,0.0,0.0,50.64248
2010-06-06,1.0,80.0,20000.0,250.0,250.0,250.0,250.0,250.35714,249.79403,250.37327,0.0,0.0,0.0,0.0,50.64248
2010-06-07,5.0,150.0,37350.0,250.0,249.0,249.0,250.0,251.0,249.68816,250.16199,0.0,0.0,0.0,0.0,47.89259
2010-06-08,2.0,70.0,17430.0,249.0,249.0,249.0,249.0,251.28571,249.59641,249.98323,0.0,0.0,0.0,0.0,47.89259
2010-06-09,2.0,70.0,17430.0,249.0,249.0,249.0,249.0,251.21429,249.51689,249.83196,0.0,0.0,0.0,0.0,47.89259
2010-06-10,2.0,70.0,17430.0,249.0,249.0,249.0,249.0,251.14286,249.44797,249.70397,0.0,0.0,0.0,0.0,47.89259
2010-06-11,2.0,70.0,17430.0,249.0,249.0,249.0,249.0,251.07143,249.38824,249.59566,0.0,0.0,0.0,0.0,47.89259
2010-06-12,2.0,70.0,17430.0,249.0,249.0,249.0,249.0,251.0,249.33647,249.50402,249.0,0.50402,0.1008,0.40322,47.89259
2010-06-13,2.0,70.0,17430.0,249.0,249.0,249.0,249.0,250.57143,249.29161,249.42648,249.0,0.42648,0.16594,0.26054,47.89259
2010-06-14,2.0,70.0,17430.0,249.0,249.0,249.0,249.0,250.14286,249.25273,249.36087,249.0,0.36087,0.20493,0.15594,47.89259
2010-06-15,2.0,70.0,17430.0,249.0,249.0,249.0,249.0,249.71429,249.21903,249.30535,249.0,0.30535,0.22501,0.08034,47.89259
2010-06-16,2.0,70.0,17430.0,249.0,249.0,249.0,249.0,249.28571,249.18983,249.25837,249.0,0.25837,0.23168,0.02669,47.89259
2010-06-17,2.0,70.0,17430.0,249.0,249.0,249.0,249.0,249.21429,249.16452,249.21862,249.0,0.21862,0.22907,-0.01045,47.89259
2010-06-18,2.0,70.0,17430.0,249.0,249.0,249.0,249.0,249.14286,249.14258,249.18499,249.0,0.18499,0.22025,-0.03527,47.89259
2010-06-19,2.0,70.0,17430.0,249.0,249.0,249.0,249.0,249.07143,249.12357,249.15653,249.0,0.15653,0.20751,-0.05098,47.89259
2010-06-20,1.0,30.0,7470.0,249.0,249.0,249.0,249.0,249.0,249.10709,249.13245,249.0,0.13245,0.1925,-0.06005,47.89259
2010-06-21,1.0,30.0,7470.0,249.0,249.0,249.0,249.0,249.0,249.09282,249.11207,249.0,0.11207,0.17641,-0.06434,47.89259
2010-06-22,1.0,30.0,7470.0,249.0,249.0,249.0,249.0,249.0,249.08044,249.09483,249.0,0.09483,0.1601,-0.06527,47.89259
2010-06-23,1.0,30.0,7470.0,249.0,249.0,249.0,249.0,249.0,249.06971,249.08024,249.0,0.08024,0.14412,-0.06388,47.89259
2010-06-24,1.0,30.0,7470.0,249.0,249.0,249.0,249.0,249.0,249.06042,249.0679,249.0,0.0679,0.12888,-0.06098,47.89259
2010-06-25,1.0,30.0,7470.0,249.0,249.0,249.0,249.0,249.0,249.05236,249.05745,249.0,0.05745,0.11459,-0.05714,47.89259
2010-06-26,1.0,30.0,7470.0,249.0,249.0,249.0,249.0,249.0,249.04538,249.04861,249.0,0.04861,0.1014,-0.05279,47.89259
2010-06-27,1.0,30.0,7470.0,249.0,249.0,249.0,249.0,249.0,249.03933,249.04113,249.0,0.04113,0.08934,-0.04821,47.89259
2010-06-28,1.0,30.0,7470.0,249.0,249.0,249.0,249.0,249.0,249.03409,249.0348,249.0,0.0348,0.07844,-0.04363,47.89259
2010-06-29,5.0,330.0,80850.0,249.0,245.0,245.0,249.0,248.71429,248.49621,248.41407,248.7037,-0.28964,0.00482,-0.29446,29.28553
2010-06-30,5.0,330.0,80850.0,245.0,245.0,245.0,245.0,248.42857,248.03005,247.88882,248.42936,-0.54053,-0.10425,-0.43628,29.28553
2010-07-01,5.0,330.0,80850.0,245.0,245.0,245.0,245.0,248.14286,247.62604,247.44439,248.17533,-0.73094,-0.22959,-0.50135,29.28553
2010-07-02,5.0,330.0,80850.0,245.0,245.0,245.0,245.0,247.85714,247.2759,247.06833,247.94012,-0.87179,-0.35803,-0.51376,29.28553
2010-07-03,5.0,330.0,80850.0,245.0,245.0,245.0,245.0,247.57143,246.97245,246.75013,247.72233,-0.97221,-0.48086,-0.49134,29.28553
2010-07-04,5.0,330.0,80850.0,245.0,245.0,245.0,245.0,247.28571,246.70946,246.48088,247.52068,-1.0398,-0.59265,-0.44715,29.28553
2010-07-05,5.0,330.0,80850.0,245.0,245.0,245.0,245.0,247.0,246.48153,246.25305,247.33396,-1.08091,-0.6903,-0.39061,29.28553
2010-07-06,5.0,330.0,80850.0,245.0,245.0,245.0,245.0,246.71429,246.28399,246.06027,247.16108,-1.1008,-0.7724,-0.3284,29.28553
2010-07-07,5.0,330.0,80850.0,245.0,245.0,245.0,245.0,246.42857,246.11279,245.89715,247.001,-1.10384,-0.83869,-0.26515,29.28553
