Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-04-27,1.0,24.0,8832.0,368.0,368.0,368.0,368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-28,1.0,24.0,8832.0,368.0,368.0,368.0,368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-29,1.0,24.0,8832.0,368.0,368.0,368.0,368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-30,1.0,24.0,8832.0,368.0,368.0,368.0,368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-01,1.0,24.0,8832.0,368.0,368.0,368.0,368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-02,1.0,24.0,8832.0,368.0,368.0,368.0,368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-03,1.0,24.0,8832.0,368.0,368.0,368.0,368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-04,1.0,24.0,8832.0,368.0,368.0,368.0,368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-05,1.0,24.0,8832.0,368.0,368.0,368.0,368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-06,1.0,24.0,8832.0,368.0,368.0,368.0,368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-07,1.0,24.0,8832.0,368.0,368.0,368.0,368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-08,1.0,24.0,8832.0,368.0,368.0,368.0,368.0,0.0,0.0,368.0,0.0,0.0,0.0,0.0,0.0
2010-05-09,1.0,24.0,8832.0,368.0,368.0,368.0,368.0,0.0,0.0,368.0,0.0,0.0,0.0,0.0,0.0
2010-05-10,1.0,24.0,8832.0,368.0,368.0,368.0,368.0,368.0,368.0,368.0,0.0,0.0,0.0,0.0,0.0
2010-05-11,1.0,24.0,8832.0,368.0,368.0,368.0,368.0,368.0,368.0,368.0,0.0,0.0,0.0,0.0,0.0
2010-05-12,1.0,24.0,8832.0,368.0,368.0,368.0,368.0,368.0,368.0,368.0,0.0,0.0,0.0,0.0,0.0
2010-05-13,1.0,24.0,8832.0,368.0,368.0,368.0,368.0,368.0,368.0,368.0,0.0,0.0,0.0,0.0,0.0
2010-05-14,1.0,24.0,8832.0,368.0,368.0,368.0,368.0,368.0,368.0,368.0,0.0,0.0,0.0,0.0,0.0
2010-05-15,1.0,24.0,8832.0,368.0,368.0,368.0,368.0,368.0,368.0,368.0,0.0,0.0,0.0,0.0,0.0
2010-05-16,1.0,24.0,8832.0,368.0,368.0,368.0,368.0,368.0,368.0,368.0,0.0,0.0,0.0,0.0,0.0
2010-05-17,1.0,24.0,8832.0,368.0,368.0,368.0,368.0,368.0,368.0,368.0,0.0,0.0,0.0,0.0,0.0
2010-05-18,1.0,24.0,8832.0,368.0,368.0,368.0,368.0,368.0,368.0,368.0,0.0,0.0,0.0,0.0,0.0
2010-05-19,1.0,24.0,8832.0,368.0,368.0,368.0,368.0,368.0,368.0,368.0,0.0,0.0,0.0,0.0,0.0
2010-05-20,1.0,24.0,8832.0,368.0,368.0,368.0,368.0,368.0,368.0,368.0,0.0,0.0,0.0,0.0,0.0
2010-05-21,1.0,24.0,8832.0,368.0,368.0,368.0,368.0,368.0,368.0,368.0,0.0,0.0,0.0,0.0,0.0
2010-05-22,1.0,24.0,8832.0,368.0,368.0,368.0,368.0,368.0,368.0,368.0,368.0,0.0,0.0,0.0,0.0
2010-05-23,1.0,24.0,8832.0,368.0,368.0,368.0,368.0,368.0,368.0,368.0,368.0,0.0,0.0,0.0,0.0
2010-05-24,1.0,24.0,8832.0,368.0,368.0,368.0,368.0,368.0,368.0,368.0,368.0,0.0,0.0,0.0,0.0
2010-05-25,1.0,24.0,8832.0,368.0,368.0,368.0,368.0,368.0,368.0,368.0,368.0,0.0,0.0,0.0,0.0
2010-05-26,1.0,24.0,8832.0,368.0,368.0,368.0,368.0,368.0,368.0,368.0,368.0,0.0,0.0,0.0,0.0
2010-05-27,1.0,24.0,8832.0,368.0,368.0,368.0,368.0,368.0,368.0,368.0,368.0,0.0,0.0,0.0,0.0
2010-05-28,1.0,24.0,8832.0,368.0,368.0,368.0,368.0,368.0,368.0,368.0,368.0,0.0,0.0,0.0,0.0
2010-05-29,1.0,24.0,8832.0,368.0,368.0,368.0,368.0,368.0,368.0,368.0,368.0,0.0,0.0,0.0,0.0
