Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-04-15,2.0,50.0,14580.0,294.0,290.0,290.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-16,2.0,50.0,14580.0,294.0,290.0,290.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-17,2.0,50.0,14580.0,294.0,290.0,290.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-18,2.0,50.0,14580.0,294.0,290.0,290.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-19,3.0,60.0,17260.0,290.0,285.0,289.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-20,28.0,850.0,236750.0,289.0,270.0,270.0,289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-21,1.0,50.0,13500.0,270.0,270.0,270.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-22,12.0,250.0,65650.0,270.0,260.0,260.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-23,12.0,250.0,65650.0,265.0,260.0,260.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-24,12.0,250.0,65650.0,265.0,260.0,260.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-25,48.0,1810.0,478650.0,265.0,255.0,255.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-26,46.0,550.0,141920.0,260.0,250.0,250.0,255.0,0.0,0.0,272.83333,0.0,0.0,0.0,0.0,0.0
2010-04-27,14.0,220.0,54140.0,250.0,241.0,242.0,250.0,0.0,0.0,268.08974,0.0,0.0,0.0,0.0,0.0
2010-04-28,4.0,70.0,16590.0,242.0,235.0,235.0,242.0,267.92857,267.92857,262.99901,0.0,0.0,0.0,0.0,0.0
2010-04-29,7.0,150.0,35770.0,239.0,235.0,239.0,235.0,264.28571,264.07143,259.30686,0.0,0.0,0.0,0.0,8.63485
2010-04-30,7.0,150.0,35770.0,239.0,235.0,239.0,239.0,260.64286,260.72857,256.18273,0.0,0.0,0.0,0.0,8.63485
2010-05-01,7.0,150.0,35770.0,239.0,235.0,239.0,239.0,257.0,257.83143,253.53923,0.0,0.0,0.0,0.0,8.63485
2010-05-02,7.0,150.0,35770.0,239.0,235.0,239.0,239.0,253.35714,255.32057,251.30243,0.0,0.0,0.0,0.0,8.63485
2010-05-03,7.0,150.0,35770.0,239.0,235.0,239.0,239.0,249.78571,253.1445,249.40974,0.0,0.0,0.0,0.0,8.63485
2010-05-04,7.0,150.0,35770.0,239.0,235.0,239.0,239.0,247.57143,251.25856,247.80825,0.0,0.0,0.0,0.0,8.63485
2010-05-05,7.0,150.0,35770.0,239.0,235.0,239.0,239.0,245.35714,249.62409,246.45313,0.0,0.0,0.0,0.0,8.63485
2010-05-06,7.0,150.0,35770.0,239.0,235.0,239.0,239.0,243.85714,248.20754,245.3065,0.0,0.0,0.0,0.0,8.63485
2010-05-07,7.0,150.0,35770.0,239.0,235.0,239.0,239.0,242.35714,246.97987,244.33627,0.0,0.0,0.0,0.0,8.63485
2010-05-08,7.0,150.0,35770.0,239.0,235.0,239.0,239.0,240.85714,245.91589,243.5153,0.0,0.0,0.0,0.0,8.63485
2010-05-09,62.0,680.0,159160.0,239.0,231.0,235.0,239.0,239.42857,244.46044,242.20525,0.0,0.0,0.0,0.0,7.5701
2010-05-10,62.0,640.0,147600.0,235.0,223.0,223.0,235.0,237.5,241.59904,239.2506,253.80769,-14.55709,-2.91142,-11.64567,5.4523
2010-05-11,9.0,120.0,27170.0,227.0,223.0,226.0,223.0,236.35714,239.51917,237.21205,251.74786,-14.53582,-5.2363,-9.29952,11.92055
2010-05-12,1.0,10.0,2300.0,230.0,226.0,230.0,226.0,236.0,238.24995,236.1025,250.13691,-14.03441,-6.99592,-7.03849,19.61923
2010-05-13,1.0,10.0,2300.0,230.0,230.0,230.0,230.0,235.35714,237.14996,235.16365,248.64529,-13.48163,-8.29306,-5.18857,19.61923
2010-05-14,1.0,10.0,2300.0,230.0,230.0,230.0,230.0,234.71429,236.19663,234.36925,247.26416,-12.89491,-9.21343,-3.68148,19.61923
2010-05-15,1.0,10.0,2300.0,230.0,230.0,230.0,230.0,234.07143,235.37041,233.69705,245.98533,-12.28827,-9.8284,-2.45987,19.61923
2010-05-16,9.0,140.0,32460.0,233.0,230.0,233.0,230.0,233.64286,235.05436,233.58982,245.02345,-11.43364,-10.14945,-1.28419,25.55144
2010-05-17,1.0,10.0,2290.0,233.0,229.0,229.0,233.0,232.92857,234.24711,232.88369,243.83653,-10.95284,-10.31013,-0.64271,23.15865
2010-05-18,4.0,70.0,16260.0,234.0,229.0,234.0,229.0,232.57143,234.21416,233.05543,243.1079,-10.05247,-10.25859,0.20613,31.56948
2010-05-19,4.0,70.0,16260.0,234.0,230.0,234.0,234.0,232.21429,234.18561,233.20075,242.43324,-9.23249,-10.05337,0.82088,31.56948
2010-05-20,4.0,70.0,16260.0,234.0,230.0,234.0,234.0,231.85714,234.16086,233.32371,241.80855,-8.48484,-9.73967,1.25482,31.56948
2010-05-21,4.0,70.0,16260.0,234.0,230.0,234.0,234.0,231.5,234.13941,233.42775,241.23014,-7.80239,-9.35221,1.54982,31.56948
2010-05-22,4.0,70.0,16260.0,234.0,230.0,234.0,234.0,231.14286,234.12082,233.51579,240.69458,-7.17878,-8.91753,1.73874,31.56948
2010-05-23,7.0,190.0,45280.0,240.0,234.0,238.0,234.0,231.35714,234.63805,234.20567,240.49498,-6.28931,-8.39188,2.10257,38.4484
