Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-04-15,3.0,1210.0,1077200.0,900.0,890.0,890.0,890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-16,3.0,1210.0,1077200.0,900.0,890.0,890.0,890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-17,3.0,1210.0,1077200.0,900.0,890.0,890.0,890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-18,3.0,1210.0,1077200.0,900.0,890.0,890.0,890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-19,9.0,2460.0,2157490.0,890.0,873.0,873.0,890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-20,4.0,1420.0,1232700.0,873.0,860.0,860.0,873.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-21,12.0,5700.0,4691800.0,860.0,815.0,819.0,860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-22,8.0,1830.0,1519390.0,845.0,819.0,845.0,819.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.40777
2010-04-23,8.0,1830.0,1519390.0,845.0,820.0,845.0,845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.40777
2010-04-24,8.0,1830.0,1519390.0,845.0,820.0,845.0,845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.40777
2010-04-25,1.0,200.0,165800.0,845.0,829.0,829.0,845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.62643
2010-04-26,3.0,750.0,613750.0,829.0,813.0,829.0,829.0,0.0,0.0,858.75,0.0,0.0,0.0,0.0,23.62643
2010-04-27,1.0,220.0,180400.0,829.0,820.0,820.0,829.0,0.0,0.0,852.78846,0.0,0.0,0.0,0.0,21.39341
2010-04-28,8.0,3280.0,2702650.0,830.0,820.0,830.0,820.0,853.92857,853.92857,849.28254,0.0,0.0,0.0,0.0,29.20023
2010-04-29,6.0,1710.0,1447380.0,873.0,830.0,873.0,830.0,852.71429,856.47143,852.93138,0.0,0.0,0.0,0.0,51.11889
2010-04-30,6.0,1710.0,1447380.0,873.0,840.0,873.0,873.0,851.5,858.67524,856.01886,0.0,0.0,0.0,0.0,51.11889
2010-05-01,6.0,1710.0,1447380.0,873.0,840.0,873.0,873.0,850.28571,860.58521,858.63135,0.0,0.0,0.0,0.0,51.11889
2010-05-02,6.0,1710.0,1447380.0,873.0,840.0,873.0,873.0,849.07143,862.24051,860.84191,0.0,0.0,0.0,0.0,51.11889
2010-05-03,6.0,1710.0,1447380.0,873.0,840.0,873.0,873.0,849.07143,863.67511,862.71238,0.0,0.0,0.0,0.0,51.11889
2010-05-04,6.0,1710.0,1447380.0,873.0,840.0,873.0,873.0,850.0,864.91843,864.29509,0.0,0.0,0.0,0.0,51.11889
2010-05-05,6.0,1710.0,1447380.0,873.0,840.0,873.0,873.0,853.85714,865.99597,865.63431,0.0,0.0,0.0,0.0,51.11889
2010-05-06,6.0,1710.0,1447380.0,873.0,840.0,873.0,873.0,855.85714,866.92984,866.76749,0.0,0.0,0.0,0.0,51.11889
2010-05-07,6.0,1710.0,1447380.0,873.0,840.0,873.0,873.0,857.85714,867.7392,867.72634,0.0,0.0,0.0,0.0,51.11889
