Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-04-20,3.0,40.0,30015.0,751.0,750.0,751.0,751.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-21,1.0,60.0,44160.0,751.0,736.0,736.0,751.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-22,3.0,40.0,28880.0,736.0,722.0,722.0,736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-23,3.0,40.0,28880.0,722.0,722.0,722.0,722.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-24,3.0,40.0,28880.0,722.0,722.0,722.0,722.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-25,3.0,40.0,28880.0,722.0,722.0,722.0,722.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-26,5.0,105.0,71005.0,722.0,655.0,655.0,722.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-27,5.0,105.0,71005.0,708.0,655.0,655.0,655.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-28,3.0,45.0,29250.0,655.0,650.0,650.0,655.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-29,1.0,40.0,25680.0,650.0,642.0,642.0,650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-30,1.0,40.0,25680.0,642.0,642.0,642.0,642.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-01,1.0,40.0,25680.0,642.0,642.0,642.0,642.0,0.0,0.0,688.41667,0.0,0.0,0.0,0.0,0.0
2010-05-02,1.0,40.0,25680.0,642.0,642.0,642.0,642.0,0.0,0.0,681.27564,0.0,0.0,0.0,0.0,0.0
2010-05-03,1.0,40.0,25680.0,642.0,642.0,642.0,642.0,681.78571,681.78571,675.23323,0.0,0.0,0.0,0.0,0.0
2010-05-04,1.0,40.0,25680.0,642.0,642.0,642.0,642.0,674.0,676.48095,670.12043,0.0,0.0,0.0,0.0,0.0
2010-05-05,1.0,40.0,25680.0,642.0,642.0,642.0,642.0,667.28571,671.88349,665.79421,0.0,0.0,0.0,0.0,0.0
2010-05-06,1.0,40.0,25680.0,642.0,642.0,642.0,642.0,661.57143,667.89903,662.13356,0.0,0.0,0.0,0.0,0.0
2010-05-07,1.0,40.0,25680.0,642.0,642.0,642.0,642.0,655.85714,664.44582,659.03609,0.0,0.0,0.0,0.0,0.0
2010-05-08,1.0,40.0,25680.0,642.0,642.0,642.0,642.0,650.14286,661.45305,656.41515,0.0,0.0,0.0,0.0,0.0
2010-05-09,1.0,20.0,12640.0,642.0,632.0,632.0,642.0,643.71429,657.52597,652.65898,0.0,0.0,0.0,0.0,0.0
2010-05-10,2.0,80.0,51200.0,640.0,632.0,640.0,632.0,642.64286,655.18918,650.71144,0.0,0.0,0.0,0.0,4.22613
2010-05-11,2.0,80.0,51200.0,640.0,640.0,640.0,640.0,641.57143,653.16395,649.06353,0.0,0.0,0.0,0.0,4.22613
2010-05-12,2.0,80.0,51200.0,640.0,640.0,640.0,640.0,640.85714,651.40876,647.66914,0.0,0.0,0.0,0.0,4.22613
2010-05-13,2.0,80.0,51200.0,640.0,640.0,640.0,640.0,640.71429,649.88759,646.48927,0.0,0.0,0.0,0.0,4.22613
2010-05-14,2.0,80.0,51200.0,640.0,640.0,640.0,640.0,640.57143,648.56925,645.49092,0.0,0.0,0.0,0.0,4.22613
2010-05-15,2.0,80.0,51200.0,640.0,640.0,640.0,640.0,640.42857,647.42668,644.64616,662.57692,-17.93076,-3.58615,-14.34461,4.22613
2010-05-16,5.0,75.0,47250.0,640.0,630.0,630.0,640.0,639.57143,645.10312,642.39291,660.16382,-17.77091,-6.4231,-11.34781,3.94673
2010-05-17,5.0,75.0,47250.0,630.0,630.0,630.0,630.0,638.71429,643.08937,640.48631,657.92946,-17.44315,-8.62711,-8.81604,3.94673
2010-05-18,5.0,75.0,47250.0,630.0,630.0,630.0,630.0,637.85714,641.34412,638.87303,655.86061,-16.98758,-10.29921,-6.68838,3.94673
2010-05-19,5.0,75.0,47250.0,630.0,630.0,630.0,630.0,637.0,639.83157,637.50795,653.94501,-16.43706,-11.52678,-4.91028,3.94673
2010-05-20,5.0,75.0,47250.0,630.0,630.0,630.0,630.0,636.14286,638.5207,636.35288,652.17131,-15.81843,-12.38511,-3.43332,3.94673
2010-05-21,5.0,75.0,47250.0,630.0,630.0,630.0,630.0,635.28571,637.3846,635.37551,650.52899,-15.15347,-12.93878,-2.21469,3.94673
2010-05-22,5.0,75.0,47250.0,630.0,630.0,630.0,630.0,634.42857,636.39999,634.54851,649.00832,-14.45981,-13.24299,-1.21682,3.94673
2010-05-23,5.0,75.0,47250.0,630.0,630.0,630.0,630.0,634.28571,635.54666,633.84874,647.6003,-13.75156,-13.3447,-0.40686,3.94673
