Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2015-11-26,1.0,10.0,3180.0,318.0,318.0,318.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-27,1.0,10.0,3180.0,318.0,318.0,318.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-28,1.0,10.0,3180.0,318.0,318.0,318.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-29,1.0,10.0,3180.0,318.0,318.0,318.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-30,1.0,10.0,3180.0,318.0,318.0,318.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-01,1.0,10.0,3180.0,318.0,318.0,318.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-02,1.0,10.0,3180.0,318.0,318.0,318.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-03,1.0,10.0,3180.0,318.0,318.0,318.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-04,1.0,10.0,3180.0,318.0,318.0,318.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-05,1.0,10.0,3180.0,318.0,318.0,318.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-06,1.0,10.0,3180.0,318.0,318.0,318.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-07,10.0,100.0,34250.0,349.0,318.0,349.0,318.0,0.0,0.0,320.58333,0.0,0.0,0.0,0.0,100.0
2015-12-08,14.0,140.0,53320.0,383.0,349.0,383.0,349.0,0.0,0.0,330.1859,0.0,0.0,0.0,0.0,100.0
2015-12-09,9.0,90.0,37070.0,421.0,383.0,421.0,383.0,332.21429,332.21429,344.1573,0.0,0.0,0.0,0.0,100.0
2015-12-10,52.0,525.0,242185.0,463.0,421.0,463.0,421.0,342.57143,349.65238,362.44079,0.0,0.0,0.0,0.0,100.0
2015-12-11,52.0,525.0,242185.0,463.0,429.0,463.0,463.0,352.92857,364.7654,377.91144,0.0,0.0,0.0,0.0,100.0
2015-12-12,52.0,525.0,242185.0,463.0,429.0,463.0,463.0,363.28571,377.86334,391.00199,0.0,0.0,0.0,0.0,100.0
2015-12-13,5.0,50.0,24500.0,508.0,463.0,508.0,463.0,376.85714,395.2149,409.00168,0.0,0.0,0.0,0.0,100.0
2015-12-14,7.0,85.0,46280.0,558.0,508.0,558.0,508.0,394.0,416.91958,431.9245,0.0,0.0,0.0,0.0,100.0
2015-12-15,4.0,40.0,23420.0,602.0,558.0,602.0,558.0,414.28571,441.59697,458.08996,0.0,0.0,0.0,0.0,100.0
2015-12-16,20.0,235.0,154370.0,662.0,602.0,662.0,602.0,438.85714,470.98404,489.46074,0.0,0.0,0.0,0.0,100.0
2015-12-17,54.0,785.0,569485.0,728.0,662.0,728.0,662.0,468.14286,505.25283,526.15908,0.0,0.0,0.0,0.0,100.0
2015-12-18,54.0,785.0,569485.0,728.0,675.0,728.0,728.0,497.42857,534.95246,557.21153,0.0,0.0,0.0,0.0,100.0
2015-12-19,54.0,785.0,569485.0,728.0,675.0,728.0,728.0,526.71429,560.69213,583.48668,0.0,0.0,0.0,0.0,100.0
2015-12-20,492.0,6487.0,5185755.0,800.0,728.0,800.0,728.0,561.14286,592.59984,616.79642,0.0,0.0,0.0,0.0,100.0
2015-12-21,1192.0,14075.0,10679313.0,816.0,720.0,770.0,800.0,591.21429,616.2532,640.3662,466.30769,174.05851,34.8117,139.24681,92.06582
2015-12-22,639.0,7071.0,5559570.0,831.0,751.0,815.0,770.0,622.07143,642.75277,667.23294,492.13675,175.09619,62.8686,112.22759,92.94717
2015-12-23,773.0,10381.0,8661907.0,869.0,799.0,867.0,815.0,653.92857,672.6524,697.96634,519.9044,178.06194,85.90727,92.15467,93.78484
2015-12-24,729.0,12521.0,11611687.0,953.0,851.0,953.0,867.0,688.92857,710.03208,737.20228,551.98556,185.21673,105.76916,79.44757,94.84755
2015-12-25,729.0,12521.0,11611687.0,953.0,851.0,953.0,953.0,723.92857,742.4278,770.40193,581.69033,188.7116,122.35765,66.35396,94.84755
2015-12-26,729.0,12521.0,11611687.0,953.0,851.0,953.0,953.0,758.92857,770.5041,798.49394,609.19475,189.29919,135.74596,53.55324,94.84755
