Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-04-15,1.0,50.0,8800.0,176.0,176.0,176.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-16,1.0,50.0,8800.0,176.0,176.0,176.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-17,1.0,50.0,8800.0,176.0,176.0,176.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-18,1.0,50.0,8800.0,176.0,176.0,176.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-19,2.0,27.0,4641.0,176.0,170.0,170.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-20,7.0,261.0,42603.0,170.0,161.0,163.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-21,9.0,1398.0,214542.0,163.0,147.0,147.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-22,9.0,751.0,102953.0,147.0,133.0,133.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-23,9.0,751.0,102953.0,145.0,133.0,133.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-24,9.0,751.0,102953.0,145.0,133.0,133.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-25,12.0,2058.0,260446.0,133.0,125.0,125.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-26,11.0,4909.0,632240.0,137.0,125.0,135.0,125.0,0.0,0.0,153.58333,0.0,0.0,0.0,0.0,19.54618
2010-04-27,22.0,4522.0,647508.0,148.0,135.0,148.0,135.0,0.0,0.0,152.72436,0.0,0.0,0.0,0.0,36.49078
2010-04-28,10.0,1442.0,206248.0,148.0,140.0,142.0,148.0,152.35714,152.35714,151.07446,0.0,0.0,0.0,0.0,33.11124
2010-04-29,8.0,469.0,70310.0,156.0,142.0,156.0,142.0,150.92857,152.84286,151.83223,0.0,0.0,0.0,0.0,45.48162
2010-04-30,8.0,469.0,70310.0,156.0,144.0,156.0,156.0,149.5,153.26381,152.47343,0.0,0.0,0.0,0.0,45.48162
2010-05-01,8.0,469.0,70310.0,156.0,144.0,156.0,156.0,148.07143,153.62863,153.01598,0.0,0.0,0.0,0.0,45.48162
2010-05-02,8.0,469.0,70310.0,156.0,144.0,156.0,156.0,146.64286,153.94482,153.47506,0.0,0.0,0.0,0.0,45.48162
2010-05-03,8.0,469.0,70310.0,156.0,144.0,156.0,156.0,145.64286,154.21884,153.86351,0.0,0.0,0.0,0.0,45.48162
2010-05-04,8.0,469.0,70310.0,156.0,144.0,156.0,156.0,145.14286,154.45633,154.1922,0.0,0.0,0.0,0.0,45.48162
2010-05-05,8.0,469.0,70310.0,156.0,144.0,156.0,156.0,145.78571,154.66215,154.47032,0.0,0.0,0.0,0.0,45.48162
2010-05-06,8.0,469.0,70310.0,156.0,144.0,156.0,156.0,147.42857,154.84053,154.70566,0.0,0.0,0.0,0.0,45.48162
2010-05-07,8.0,469.0,70310.0,156.0,144.0,156.0,156.0,149.07143,154.99513,154.90479,0.0,0.0,0.0,0.0,45.48162
2010-05-08,8.0,469.0,70310.0,156.0,144.0,156.0,156.0,150.71429,155.12911,155.07328,0.0,0.0,0.0,0.0,45.48162
2010-05-09,8.0,469.0,70310.0,156.0,144.0,156.0,156.0,152.92857,155.24523,155.21585,0.0,0.0,0.0,0.0,45.48162
2010-05-10,9.0,1336.0,209307.0,165.0,153.0,162.0,156.0,154.85714,156.14587,156.25957,154.26923,1.99034,0.39807,1.59227,51.98993
2010-05-11,6.0,457.0,78658.0,178.0,162.0,178.0,162.0,157.0,159.05975,159.60425,156.02707,3.57719,1.03389,2.54329,64.01742
2010-05-12,7.0,221.0,42205.0,195.0,178.0,195.0,178.0,160.78571,163.85178,165.04975,158.91395,6.1358,2.05427,4.08153,71.87733
2010-05-13,4.0,190.0,37170.0,198.0,195.0,195.0,195.0,163.57143,168.00488,169.65748,161.58699,8.07049,3.25752,4.81297,71.87733
2010-05-14,4.0,190.0,37170.0,198.0,195.0,195.0,195.0,166.35714,171.60423,173.55633,164.06203,9.4943,4.50487,4.98943,71.87733
2010-05-15,4.0,190.0,37170.0,198.0,195.0,195.0,195.0,169.14286,174.72366,176.85536,166.35373,10.50163,5.70422,4.7974,71.87733
2010-05-16,8.0,746.0,144072.0,198.0,192.0,198.0,195.0,172.14286,177.82718,180.10838,168.6979,11.41048,6.84548,4.565,73.13604
2010-05-17,8.0,746.0,144072.0,198.0,192.0,198.0,198.0,175.14286,180.51689,182.86094,170.86842,11.99251,7.87488,4.11763,73.13604
2010-05-18,47.0,8105.0,1561787.0,198.0,188.0,193.0,198.0,177.78571,182.1813,184.42079,172.5078,11.91299,8.6825,3.23049,67.57825
2010-05-19,8.0,4513.0,871009.0,193.0,193.0,193.0,193.0,180.42857,183.62379,185.74067,174.02574,11.71493,9.28899,2.42594,67.57825
2010-05-20,5.0,1112.0,214616.0,193.0,193.0,193.0,193.0,183.07143,184.87395,186.85749,175.43124,11.42625,9.71644,1.70981,67.57825
2010-05-21,5.0,1112.0,214616.0,193.0,193.0,193.0,193.0,185.71429,185.95743,187.80249,176.73263,11.06986,9.98713,1.08274,67.57825
2010-05-22,5.0,1112.0,214616.0,193.0,193.0,193.0,193.0,188.35714,186.89644,188.60211,177.93762,10.66449,10.1226,0.54189,67.57825
2010-05-23,5.0,1112.0,214616.0,193.0,193.0,193.0,193.0,191.0,187.71025,189.27871,179.05335,10.22535,10.14315,0.08221,67.57825
2010-05-24,5.0,1112.0,214616.0,193.0,193.0,193.0,193.0,193.21429,188.41555,189.85121,180.08644,9.76478,10.06747,-0.3027,67.57825
2010-05-25,8.0,1038.0,201826.0,204.0,193.0,204.0,193.0,195.07143,190.49347,192.02795,181.85781,10.17014,10.08801,0.08213,73.75276
2010-05-26,7.0,189.0,41336.0,224.0,204.0,224.0,204.0,197.14286,194.96101,196.94673,184.97946,11.96727,10.46386,1.50341,80.75114
2010-05-27,7.0,189.0,41336.0,224.0,208.0,224.0,224.0,199.21429,198.83288,201.10877,187.86987,13.2389,11.01887,2.22003,80.75114
2010-05-28,7.0,189.0,41336.0,224.0,208.0,224.0,224.0,201.28571,202.18849,204.6305,190.54617,14.08432,11.63196,2.45236,80.75114
2010-05-29,7.0,189.0,41336.0,224.0,208.0,224.0,224.0,203.35714,205.09669,207.61042,193.02423,14.58619,12.2228,2.36338,80.75114
2010-05-30,2.0,95.0,21976.0,232.0,224.0,232.0,224.0,205.78571,208.6838,211.36266,195.91133,15.45134,12.86851,2.58282,82.96015
2010-05-31,1.0,79.0,18170.0,232.0,230.0,230.0,232.0,208.07143,211.52596,214.22995,198.43641,15.79353,13.45351,2.34002,80.53409
2010-06-01,5.0,500.0,109000.0,230.0,210.0,210.0,230.0,209.28571,211.3225,213.57919,199.29298,14.28621,13.62005,0.66615,61.61476
2010-06-02,3.0,409.0,83468.0,210.0,202.0,203.0,210.0,210.0,210.21283,211.95162,199.56757,12.38405,13.37285,-0.98881,56.71805
2010-06-03,3.0,471.0,94072.0,203.0,199.0,200.0,203.0,210.5,208.85112,210.11291,199.5996,10.5133,12.80094,-2.28764,54.75969
2010-06-04,3.0,471.0,94072.0,202.0,199.0,200.0,200.0,211.0,207.67097,208.55708,199.62926,8.92781,12.02632,-3.0985,54.75969
2010-06-05,3.0,471.0,94072.0,202.0,199.0,200.0,200.0,211.5,206.64818,207.2406,199.65672,7.58388,11.13783,-3.55395,54.75969
2010-06-06,8.0,387.0,82060.0,216.0,200.0,216.0,200.0,213.14286,207.89509,208.5882,200.86734,7.72087,10.45444,-2.73357,62.7092
2010-06-07,2.0,125.0,27500.0,220.0,216.0,220.0,216.0,215.07143,209.50907,210.34386,202.28457,8.05929,9.97541,-1.91612,64.35342
2010-06-08,14.0,1238.0,279232.0,228.0,220.0,228.0,220.0,216.78571,211.97453,213.06019,204.18942,8.87077,9.75448,-0.88371,67.37434
2010-06-09,6.0,1712.0,393760.0,230.0,228.0,230.0,228.0,217.21429,214.37793,215.66632,206.10131,9.565,9.71659,-0.15158,68.08433
2010-06-10,5.0,832.0,191360.0,230.0,230.0,230.0,230.0,217.64286,216.46087,217.8715,207.87159,9.99991,9.77325,0.22666,68.08433
2010-06-11,5.0,832.0,191360.0,230.0,230.0,230.0,230.0,218.07143,218.26609,219.73742,209.51073,10.22669,9.86394,0.36275,68.08433
2010-06-12,5.0,832.0,191360.0,230.0,230.0,230.0,230.0,218.5,219.83061,221.31628,211.02845,10.28783,9.94872,0.33911,68.08433
2010-06-13,6.0,704.0,161376.0,230.0,222.0,222.0,230.0,217.78571,220.11986,221.42147,211.84116,9.58031,9.87504,-0.29473,61.56985
2010-06-14,10.0,1163.0,258494.0,224.0,220.0,224.0,222.0,217.35714,220.63721,221.81816,212.74181,9.07635,9.7153,-0.63895,62.51144
2010-06-15,10.0,1163.0,258494.0,224.0,220.0,224.0,224.0,218.35714,221.08558,222.15383,213.57575,8.57808,9.48785,-0.90978,62.51144
2010-06-16,10.0,1163.0,258494.0,224.0,220.0,224.0,224.0,219.85714,221.47417,222.43786,214.34792,8.08994,9.20827,-1.11833,62.51144
2010-06-17,10.0,1163.0,258494.0,224.0,220.0,224.0,224.0,221.57143,221.81095,222.67819,215.06289,7.6153,8.88968,-1.27438,62.51144
2010-06-18,10.0,1163.0,258494.0,224.0,220.0,224.0,224.0,223.28571,222.10282,222.88154,215.7249,7.15665,8.54307,-1.38642,62.51144
2010-06-19,10.0,1163.0,258494.0,224.0,220.0,224.0,224.0,225.0,222.35578,223.05361,216.33787,6.71575,8.17761,-1.46186,62.51144
2010-06-20,10.0,1163.0,258494.0,224.0,220.0,224.0,224.0,225.57143,222.57501,223.19921,216.90543,6.29378,7.80084,-1.50706,62.51144
2010-06-21,10.0,1163.0,258494.0,224.0,220.0,224.0,224.0,225.85714,222.76501,223.32241,217.43096,5.89145,7.41896,-1.52751,62.51144
