Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2011-08-17,1.0,10.0,3820.0,382.0,382.0,382.0,382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-18,1.0,10.0,3820.0,382.0,382.0,382.0,382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-19,1.0,10.0,3820.0,382.0,382.0,382.0,382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-20,1.0,10.0,3820.0,382.0,382.0,382.0,382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-21,1.0,10.0,3820.0,382.0,382.0,382.0,382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-22,1.0,10.0,3820.0,382.0,382.0,382.0,382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-23,1.0,10.0,3820.0,382.0,382.0,382.0,382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-24,1.0,10.0,3820.0,382.0,382.0,382.0,382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-25,1.0,10.0,3820.0,382.0,382.0,382.0,382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-26,1.0,10.0,3820.0,382.0,382.0,382.0,382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-27,1.0,10.0,3820.0,382.0,382.0,382.0,382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-28,1.0,10.0,3820.0,382.0,382.0,382.0,382.0,0.0,0.0,382.0,0.0,0.0,0.0,0.0,0.0
2011-08-29,1.0,10.0,3820.0,382.0,382.0,382.0,382.0,0.0,0.0,382.0,0.0,0.0,0.0,0.0,0.0
2011-08-30,1.0,10.0,3820.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,0.0,0.0,0.0,0.0,0.0
2011-08-31,1.0,10.0,3820.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,0.0,0.0,0.0,0.0,0.0
2011-09-01,1.0,10.0,3820.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,0.0,0.0,0.0,0.0,0.0
2011-09-02,1.0,10.0,3820.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,0.0,0.0,0.0,0.0,0.0
2011-09-03,1.0,10.0,3820.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,0.0,0.0,0.0,0.0,0.0
2011-09-04,1.0,10.0,3820.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,0.0,0.0,0.0,0.0,0.0
2011-09-05,1.0,10.0,3820.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,0.0,0.0,0.0,0.0,0.0
2011-09-06,1.0,10.0,3820.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,0.0,0.0,0.0,0.0,0.0
2011-09-07,1.0,10.0,3820.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,0.0,0.0,0.0,0.0,0.0
2011-09-08,1.0,10.0,3820.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,0.0,0.0,0.0,0.0,0.0
2011-09-09,1.0,10.0,3820.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,0.0,0.0,0.0,0.0,0.0
2011-09-10,1.0,10.0,3820.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,0.0,0.0,0.0,0.0,0.0
2011-09-11,1.0,10.0,3820.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,0.0,0.0,0.0,0.0
2011-09-12,1.0,10.0,3820.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,0.0,0.0,0.0,0.0
2011-09-13,1.0,10.0,3820.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,0.0,0.0,0.0,0.0
2011-09-14,1.0,10.0,3820.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,0.0,0.0,0.0,0.0
2011-09-15,1.0,10.0,3820.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,0.0,0.0,0.0,0.0
2011-09-16,1.0,10.0,3820.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,0.0,0.0,0.0,0.0
2011-09-17,1.0,10.0,3820.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,0.0,0.0,0.0,0.0
2011-09-18,1.0,10.0,3820.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,0.0,0.0,0.0,0.0
2011-09-19,1.0,10.0,3820.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,0.0,0.0,0.0,0.0
2011-09-20,1.0,10.0,3820.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,0.0,0.0,0.0,0.0
2011-09-21,1.0,10.0,3820.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,0.0,0.0,0.0,0.0
2011-09-22,1.0,10.0,3820.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,0.0,0.0,0.0,0.0
2011-09-23,1.0,10.0,3820.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,0.0,0.0,0.0,0.0
2011-09-24,1.0,10.0,3820.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,0.0,0.0,0.0,0.0
