Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-04-15,4.0,180.0,73750.0,415.0,406.0,406.0,406.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-16,4.0,180.0,73750.0,415.0,406.0,406.0,406.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-17,4.0,180.0,73750.0,415.0,406.0,406.0,406.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-18,4.0,180.0,73750.0,415.0,406.0,406.0,406.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-19,28.0,1840.0,748320.0,413.0,405.0,408.0,406.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-04-20,8.0,550.0,223530.0,409.0,405.0,405.0,408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.83495
2010-04-21,13.0,880.0,341290.0,405.0,383.0,384.0,405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.06651
2010-04-22,13.0,770.0,299010.0,397.0,380.0,397.0,384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.32753
2010-04-23,13.0,770.0,299010.0,397.0,380.0,397.0,397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.32753
2010-04-24,13.0,770.0,299010.0,397.0,380.0,397.0,397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.32753
2010-04-25,5.0,240.0,94680.0,397.0,390.0,395.0,397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0377
2010-04-26,30.0,890.0,341400.0,395.0,380.0,380.0,395.0,0.0,0.0,398.91667,0.0,0.0,0.0,0.0,25.39403
2010-04-27,40.0,1630.0,610980.0,384.0,355.0,355.0,380.0,0.0,0.0,392.16026,0.0,0.0,0.0,0.0,16.38162
2010-04-28,37.0,1390.0,482740.0,358.0,330.0,358.0,355.0,392.85714,392.85714,386.90483,0.0,0.0,0.0,0.0,19.96079
2010-04-29,6.0,280.0,100610.0,361.0,351.0,361.0,358.0,389.64286,388.60952,382.91947,0.0,0.0,0.0,0.0,23.40334
2010-04-30,6.0,280.0,100610.0,361.0,351.0,361.0,361.0,386.42857,384.92825,379.54725,0.0,0.0,0.0,0.0,23.40334
2010-05-01,6.0,280.0,100610.0,361.0,351.0,361.0,361.0,383.21429,381.73782,376.69382,0.0,0.0,0.0,0.0,23.40334
2010-05-02,6.0,280.0,100610.0,361.0,351.0,361.0,361.0,380.0,378.97278,374.27939,0.0,0.0,0.0,0.0,23.40334
2010-05-03,6.0,280.0,100610.0,361.0,351.0,361.0,361.0,376.64286,376.57641,372.23641,0.0,0.0,0.0,0.0,23.40334
2010-05-04,6.0,280.0,100610.0,361.0,351.0,361.0,361.0,373.5,374.49955,370.50773,0.0,0.0,0.0,0.0,23.40334
2010-05-05,6.0,280.0,100610.0,361.0,351.0,361.0,361.0,371.85714,372.69961,369.045,0.0,0.0,0.0,0.0,23.40334
2010-05-06,6.0,280.0,100610.0,361.0,351.0,361.0,361.0,369.28571,371.13966,367.80731,0.0,0.0,0.0,0.0,23.40334
2010-05-07,6.0,280.0,100610.0,361.0,351.0,361.0,361.0,366.71429,369.78771,366.76003,0.0,0.0,0.0,0.0,23.40334
2010-05-08,6.0,280.0,100610.0,361.0,351.0,361.0,361.0,364.14286,368.61601,365.87387,0.0,0.0,0.0,0.0,23.40334
2010-05-09,22.0,1570.0,562330.0,361.0,357.0,360.0,361.0,361.64286,367.46721,364.9702,0.0,0.0,0.0,0.0,22.86927
2010-05-10,12.0,770.0,276380.0,370.0,351.0,370.0,360.0,360.92857,367.80492,365.74401,378.46154,-12.71752,-2.5435,-10.17402,37.77844
2010-05-11,1.0,20.0,7280.0,370.0,364.0,364.0,370.0,361.57143,367.2976,365.4757,377.39031,-11.91461,-4.41773,-7.49688,33.6773
2010-05-12,6.0,240.0,91720.0,400.0,364.0,400.0,364.0,364.57143,371.65792,370.78713,379.0651,-8.27797,-5.18977,-3.0882,60.61393
2010-05-13,23.0,1700.0,743800.0,440.0,400.0,439.0,400.0,370.14286,380.63686,381.28142,383.50473,-2.22331,-4.59648,2.37318,73.05995
2010-05-14,23.0,1700.0,743800.0,440.0,408.0,439.0,439.0,375.71429,388.41861,390.1612,387.61549,2.54572,-3.16804,5.71376,73.05995
2010-05-15,23.0,1700.0,743800.0,440.0,408.0,439.0,439.0,381.28571,395.1628,397.67486,391.42175,6.25312,-1.28381,7.53693,73.05995
2010-05-16,42.0,1880.0,783890.0,441.0,409.0,418.0,439.0,385.35714,398.20776,400.80181,393.39051,7.4113,0.45521,6.95609,61.03717
2010-05-17,8.0,550.0,225590.0,418.0,402.0,415.0,418.0,389.21429,400.44672,402.98615,394.99121,7.99493,1.96316,6.03178,59.56682
2010-05-18,15.0,850.0,364070.0,453.0,412.0,453.0,415.0,395.78571,407.45383,410.68058,399.28816,11.39243,3.84901,7.54342,69.37784
2010-05-19,13.0,890.0,401660.0,457.0,444.0,450.0,453.0,402.14286,413.12665,416.72973,403.04459,13.68513,5.81624,7.8689,68.00988
2010-05-20,11.0,690.0,312530.0,459.0,450.0,455.0,450.0,408.85714,418.70976,422.61746,406.89314,15.72432,7.79785,7.92647,69.0769
2010-05-21,11.0,690.0,312530.0,459.0,450.0,455.0,455.0,415.57143,423.54846,427.59939,410.45661,17.14278,9.66684,7.47594,69.0769
2010-05-22,11.0,690.0,312530.0,459.0,450.0,455.0,455.0,422.28571,427.742,431.81487,413.75612,18.05875,11.34522,6.71353,69.0769
