Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-04-15,1.0,64.0,11008.0,172.0,172.0,172.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-16,1.0,64.0,11008.0,172.0,172.0,172.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-17,1.0,64.0,11008.0,172.0,172.0,172.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-18,1.0,64.0,11008.0,172.0,172.0,172.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-19,1.0,64.0,11008.0,172.0,172.0,172.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-20,4.0,897.0,153934.0,172.0,170.0,170.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-21,4.0,208.0,35168.0,170.0,169.0,169.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-22,32.0,2725.0,435737.0,169.0,153.0,164.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-23,32.0,2725.0,435737.0,166.0,153.0,164.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-24,32.0,2725.0,435737.0,166.0,153.0,164.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-25,30.0,2100.0,326987.0,164.0,150.0,153.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-26,36.0,1302.0,201198.0,156.0,150.0,156.0,153.0,0.0,0.0,166.66667,0.0,0.0,0.0,0.0,15.10144
2010-04-27,12.0,964.0,143262.0,156.0,145.0,147.0,156.0,0.0,0.0,163.64103,0.0,0.0,0.0,0.0,10.23344
2010-04-28,26.0,1552.0,228576.0,149.0,146.0,149.0,147.0,164.0,164.0,161.38856,0.0,0.0,0.0,0.0,16.51298
2010-04-29,21.0,660.0,101008.0,163.0,149.0,163.0,149.0,163.35714,163.86667,161.63647,0.0,0.0,0.0,0.0,44.86259
2010-04-30,21.0,660.0,101008.0,163.0,150.0,163.0,163.0,162.71429,163.75111,161.84625,0.0,0.0,0.0,0.0,44.86259
2010-05-01,21.0,660.0,101008.0,163.0,150.0,163.0,163.0,162.07143,163.65096,162.02375,0.0,0.0,0.0,0.0,44.86259
2010-05-02,21.0,660.0,101008.0,163.0,150.0,163.0,163.0,161.42857,163.56417,162.17394,0.0,0.0,0.0,0.0,44.86259
2010-05-03,21.0,660.0,101008.0,163.0,150.0,163.0,163.0,160.78571,163.48895,162.30103,0.0,0.0,0.0,0.0,44.86259
2010-05-04,21.0,660.0,101008.0,163.0,150.0,163.0,163.0,160.28571,163.42375,162.40856,0.0,0.0,0.0,0.0,44.86259
2010-05-05,21.0,660.0,101008.0,163.0,150.0,163.0,163.0,159.85714,163.36725,162.49955,0.0,0.0,0.0,0.0,44.86259
2010-05-06,21.0,660.0,101008.0,163.0,150.0,163.0,163.0,159.78571,163.31829,162.57654,0.0,0.0,0.0,0.0,44.86259
2010-05-07,21.0,660.0,101008.0,163.0,150.0,163.0,163.0,159.71429,163.27585,162.64169,0.0,0.0,0.0,0.0,44.86259
2010-05-08,21.0,660.0,101008.0,163.0,150.0,163.0,163.0,159.64286,163.23907,162.69682,0.0,0.0,0.0,0.0,44.86259
2010-05-09,41.0,1330.0,219400.0,165.0,163.0,165.0,163.0,160.5,163.47386,163.05115,0.0,0.0,0.0,0.0,48.90035
2010-05-10,18.0,562.0,93722.0,167.0,164.0,164.0,165.0,161.07143,163.54401,163.19713,163.65385,-0.45672,-0.09134,-0.36537,47.08992
2010-05-11,18.0,562.0,93722.0,167.0,164.0,164.0,164.0,162.28571,163.60481,163.32065,163.67949,-0.35884,-0.14484,-0.214,47.08992
2010-05-12,1.0,175.0,28700.0,164.0,164.0,164.0,164.0,163.35714,163.6575,163.42516,163.70323,-0.27807,-0.17149,-0.10658,47.08992
2010-05-13,12.0,1305.0,226082.0,180.0,164.0,180.0,164.0,164.57143,165.8365,165.97514,164.9104,1.06474,0.07576,0.98898,68.61309
2010-05-14,12.0,1305.0,226082.0,180.0,164.0,180.0,180.0,165.78571,167.72497,168.13281,166.02815,2.10466,0.48154,1.62312,68.61309
2010-05-15,12.0,1305.0,226082.0,180.0,164.0,180.0,180.0,167.0,169.36164,169.95853,167.0631,2.89543,0.96432,1.93112,68.61309
2010-05-16,3.0,306.0,53247.0,180.0,171.0,171.0,180.0,167.57143,169.58009,170.11876,167.35472,2.76404,1.32426,1.43977,54.24451
2010-05-17,23.0,1656.0,269008.0,171.0,160.0,160.0,171.0,167.35714,168.30274,168.56202,166.80993,1.7521,1.40983,0.34227,42.75433
2010-05-18,3.0,240.0,38640.0,161.0,160.0,161.0,160.0,167.21429,167.32904,167.39864,166.37956,1.01908,1.33168,-0.3126,43.88886
2010-05-19,3.0,240.0,38640.0,161.0,161.0,161.0,161.0,167.07143,166.48517,166.41423,165.98108,0.43316,1.15197,-0.71882,43.88886
2010-05-20,3.0,40.0,6710.0,170.0,161.0,170.0,161.0,167.57143,166.95381,166.96589,166.27877,0.68711,1.059,-0.37189,53.10984
2010-05-21,3.0,40.0,6710.0,170.0,164.0,170.0,170.0,168.07143,167.35997,167.43267,166.55442,0.87825,1.02285,-0.1446,53.10984
2010-05-22,3.0,40.0,6710.0,170.0,164.0,170.0,170.0,168.57143,167.71198,167.82765,166.80965,1.018,1.02188,-0.00388,53.10984
2010-05-23,9.0,538.0,97127.0,185.0,170.0,182.0,170.0,169.78571,169.61705,170.00801,167.93486,2.07315,1.23214,0.84101,62.59708
2010-05-24,11.0,782.0,153301.0,200.0,182.0,198.0,182.0,172.21429,173.40144,174.31447,170.16191,4.15256,1.81622,2.33634,70.85321
2010-05-25,27.0,3850.0,824691.0,217.0,198.0,217.0,198.0,176.0,179.21458,180.88147,173.63139,7.25008,2.90299,4.34709,77.14388
2010-05-26,14.0,3699.0,828384.0,232.0,217.0,232.0,217.0,180.85714,186.25264,188.74586,177.955,10.79087,4.48057,6.3103,80.61249
2010-05-27,14.0,3699.0,828384.0,232.0,221.0,232.0,232.0,184.57143,192.35229,195.40035,181.95833,13.44202,6.27286,7.16916,80.61249
2010-05-28,14.0,3699.0,828384.0,232.0,221.0,232.0,232.0,188.28571,197.63865,201.03106,185.66512,15.36594,8.09147,7.27447,80.61249
2010-05-29,14.0,3699.0,828384.0,232.0,221.0,232.0,232.0,192.0,202.22016,205.79551,189.09733,16.69818,9.81282,6.88537,80.61249
2010-05-30,9.0,1052.0,250842.0,251.0,232.0,246.0,232.0,197.35714,208.05747,211.98082,193.31235,18.66847,11.58395,7.08453,83.46009
2010-05-31,6.0,525.0,132360.0,255.0,246.0,250.0,246.0,203.78571,213.64981,217.82992,197.51143,20.31849,13.33086,6.98764,84.15814
2010-06-01,6.0,525.0,132360.0,255.0,250.0,250.0,250.0,210.14286,218.4965,222.77917,201.39947,21.37969,14.94062,6.43907,84.15814
2010-06-02,6.0,525.0,132360.0,255.0,250.0,250.0,250.0,216.5,222.69697,226.96699,204.99951,21.96747,16.34599,5.62148,84.15814
2010-06-03,1.0,48.0,12000.0,250.0,250.0,250.0,250.0,222.21429,226.33737,230.51053,208.33288,22.17765,17.51232,4.66532,84.15814
2010-06-04,1.0,48.0,12000.0,250.0,250.0,250.0,250.0,227.92857,229.49239,233.50891,211.41933,22.08957,18.42777,3.6618,84.15814
2010-06-05,1.0,48.0,12000.0,250.0,250.0,250.0,250.0,233.64286,232.22674,236.046,214.27716,21.76884,19.09599,2.67285,84.15814
2010-06-06,4.0,86.0,20662.0,250.0,237.0,237.0,250.0,237.57143,232.86317,236.19277,215.96033,20.23243,19.32328,0.90916,71.09087
2010-06-07,4.0,86.0,20662.0,245.0,237.0,237.0,237.0,240.35714,233.41475,236.31696,217.51883,18.79813,19.21825,-0.42012,71.09087
2010-06-08,20.0,1694.0,375248.0,237.0,214.0,214.0,237.0,240.14286,230.82612,232.88358,217.25817,15.6254,18.49968,-2.87427,54.56495
2010-06-09,5.0,490.0,103320.0,214.0,208.0,210.0,214.0,238.57143,228.0493,229.36303,216.72053,12.6425,17.32824,-4.68575,52.34301
2010-06-10,11.0,1122.0,230369.0,210.0,202.0,206.0,210.0,236.71429,225.10939,225.76872,215.92642,9.8423,15.83105,-5.98876,50.19675
2010-06-11,11.0,1122.0,230369.0,210.0,202.0,206.0,206.0,234.85714,222.56147,222.72738,215.19113,7.53625,14.17209,-6.63584,50.19675
2010-06-12,11.0,1122.0,230369.0,210.0,202.0,206.0,206.0,233.0,220.35328,220.15393,214.5103,5.64363,12.4664,-6.82277,50.19675
2010-06-13,6.0,178.0,36016.0,206.0,200.0,204.0,206.0,230.0,218.17284,217.66871,213.73176,3.93695,10.76051,-6.82356,49.03302
2010-06-14,32.0,1255.0,257758.0,206.0,202.0,206.0,204.0,226.85714,216.5498,215.87353,213.15904,2.71449,9.1513,-6.43682,50.2442
2010-06-15,18.0,916.0,184504.0,206.0,200.0,200.0,206.0,223.28571,214.34316,213.43145,212.1843,1.24715,7.57047,-6.32332,46.74503
2010-06-16,7.0,212.0,42796.0,203.0,200.0,203.0,200.0,219.92857,212.83074,211.82661,211.50398,0.32263,6.1209,-5.79828,48.62349
2010-06-17,20.0,1280.0,259840.0,203.0,203.0,203.0,203.0,216.57143,211.51997,210.46867,210.87405,-0.40539,4.81565,-5.22103,48.62349
2010-06-18,20.0,1280.0,259840.0,203.0,203.0,203.0,203.0,213.21429,210.38397,209.31964,210.29079,-0.97115,3.65829,-4.62944,48.62349
2010-06-19,20.0,1280.0,259840.0,203.0,203.0,203.0,203.0,209.85714,209.39944,208.34739,209.75073,-1.40334,2.64596,-4.0493,48.62349
2010-06-20,17.0,804.0,159232.0,203.0,196.0,199.0,203.0,207.14286,208.01285,206.90933,208.95438,-2.04505,1.70776,-3.75281,45.99418
2010-06-21,20.0,992.0,193344.0,199.0,194.0,197.0,199.0,204.28571,206.54447,205.38482,208.06887,-2.68405,0.8294,-3.51345,44.72448
2010-06-22,13.0,930.0,183080.0,197.0,194.0,195.0,197.0,202.92857,205.00521,203.78715,207.10081,-3.31365,0.00079,-3.31444,43.46462
2010-06-23,4.0,396.0,76932.0,195.0,192.0,192.0,195.0,201.64286,203.27118,201.97374,205.98223,-4.00848,-0.80107,-3.20742,41.61816
2010-06-24,1.0,32.0,6048.0,192.0,189.0,189.0,192.0,200.42857,201.36836,199.97778,204.72429,-4.7465,-1.59015,-3.15635,39.84101
2010-06-25,1.0,32.0,6048.0,189.0,189.0,189.0,189.0,199.21429,199.71924,198.28889,203.55952,-5.27063,-2.32625,-2.94438,39.84101
2010-06-26,1.0,32.0,6048.0,189.0,189.0,189.0,189.0,198.0,198.29001,196.85983,202.48104,-5.62121,-2.98524,-2.63597,39.84101
2010-06-27,1.0,32.0,6048.0,189.0,189.0,189.0,189.0,196.92857,197.05134,195.65063,201.48245,-5.83182,-3.55456,-2.27726,39.84101
2010-06-28,1.0,32.0,6048.0,189.0,189.0,189.0,189.0,195.71429,195.97783,194.62745,200.55782,-5.93036,-4.02972,-1.90065,39.84101
2010-06-29,27.0,1956.0,355117.0,189.0,181.0,181.0,189.0,194.35714,193.98079,192.53092,199.10909,-6.57817,-4.53941,-2.03876,34.7856
2010-06-30,6.0,384.0,69552.0,182.0,180.0,181.0,181.0,192.78571,192.25001,190.75694,197.76768,-7.01074,-5.03367,-1.97707,34.7856
2010-07-01,5.0,600.0,111200.0,187.0,181.0,185.0,181.0,191.5,191.28335,189.87125,196.82192,-6.95067,-5.41707,-1.5336,39.04899
2010-07-02,5.0,600.0,111200.0,187.0,184.0,185.0,185.0,190.21429,190.44557,189.12183,195.94623,-6.8244,-5.69854,-1.12586,39.04899
2010-07-03,5.0,600.0,111200.0,187.0,184.0,185.0,185.0,188.92857,189.71949,188.4877,195.13539,-6.64769,-5.88837,-0.75932,39.04899
2010-07-04,12.0,932.0,173630.0,188.0,185.0,187.0,185.0,188.07143,189.35689,188.25882,194.53277,-6.27395,-5.96549,-0.30846,41.27128
2010-07-05,18.0,1302.0,241964.0,190.0,183.0,186.0,187.0,187.28571,188.90931,187.91131,193.90072,-5.9894,-5.97027,-0.01913,40.49612
2010-07-06,16.0,1136.0,207424.0,186.0,181.0,181.0,186.0,186.28571,187.85473,186.84803,192.94511,-6.09707,-5.99563,-0.10144,36.86136
2010-07-07,33.0,1328.0,242432.0,183.0,180.0,182.0,181.0,185.57143,187.0741,186.10218,192.13436,-6.03218,-6.00294,-0.02924,38.02943
2010-07-08,11.0,640.0,115936.0,183.0,180.0,181.0,182.0,185.0,186.26422,185.31723,191.30959,-5.99236,-6.00082,0.00846,37.30478
2010-07-09,11.0,640.0,115936.0,183.0,180.0,181.0,181.0,184.42857,185.56232,184.65304,190.54592,-5.89288,-5.97923,0.08636,37.30478
2010-07-10,11.0,640.0,115936.0,183.0,180.0,181.0,181.0,183.85714,184.95401,184.09104,189.83881,-5.74778,-5.93294,0.18517,37.30478
2010-07-11,8.0,319.0,57931.0,182.0,180.0,180.0,181.0,183.21429,184.29348,183.46165,189.11001,-5.64837,-5.87603,0.22766,36.49966
2010-07-12,16.0,541.0,98724.0,183.0,180.0,180.0,180.0,182.57143,183.72102,182.92908,188.4352,-5.50611,-5.80204,0.29593,36.49966
2010-07-13,12.0,757.0,132877.0,180.0,173.0,175.0,180.0,182.14286,182.55821,181.70923,187.44,-5.73077,-5.78779,0.05702,32.61891
2010-07-14,19.0,1504.0,266860.0,181.0,175.0,181.0,175.0,182.14286,182.35045,181.60011,186.96296,-5.36285,-5.7028,0.33995,40.57931
2010-07-15,16.0,1468.0,258422.0,181.0,173.0,173.0,181.0,181.28571,181.10372,180.27702,185.92867,-5.65165,-5.69257,0.04092,34.82019
2010-07-16,16.0,1468.0,258422.0,178.0,173.0,173.0,173.0,180.42857,180.02323,179.15748,184.97099,-5.81351,-5.71676,-0.09675,34.82019
2010-07-17,16.0,1468.0,258422.0,178.0,173.0,173.0,173.0,179.57143,179.0868,178.21017,184.08425,-5.87407,-5.74822,-0.12585,34.82019
2010-07-18,14.0,302.0,51770.0,173.0,170.0,170.0,173.0,178.35714,177.87522,176.94707,183.04097,-6.0939,-5.81736,-0.27654,32.79942
2010-07-19,2.0,32.0,5536.0,173.0,170.0,173.0,170.0,177.42857,177.22519,176.33983,182.29719,-5.95737,-5.84536,-0.11201,36.65917
2010-07-20,17.0,272.0,47328.0,174.0,173.0,174.0,173.0,176.92857,176.79517,175.97985,181.68259,-5.70273,-5.81683,0.1141,37.9074
2010-07-21,17.0,272.0,47328.0,174.0,174.0,174.0,174.0,176.35714,176.42248,175.67526,181.11351,-5.43824,-5.74112,0.30287,37.9074
2010-07-22,7.0,464.0,80736.0,174.0,174.0,174.0,174.0,175.85714,176.09948,175.41753,180.58658,-5.16905,-5.6267,0.45765,37.9074
2010-07-23,7.0,464.0,80736.0,174.0,174.0,174.0,174.0,175.35714,175.81955,175.19945,180.09869,-4.89924,-5.48121,0.58197,37.9074
