Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-06-06,8.0,643.0,87182.0,138.0,134.0,138.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-07,8.0,643.0,87182.0,138.0,134.0,138.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-08,8.0,643.0,87182.0,138.0,134.0,138.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-09,8.0,643.0,87182.0,138.0,134.0,138.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-10,8.0,643.0,87182.0,138.0,134.0,138.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-11,8.0,643.0,87182.0,138.0,134.0,138.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-12,8.0,643.0,87182.0,138.0,134.0,138.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-13,8.0,643.0,87182.0,138.0,134.0,138.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-14,8.0,643.0,87182.0,138.0,134.0,138.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-15,8.0,643.0,87182.0,138.0,134.0,138.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-16,8.0,643.0,87182.0,138.0,134.0,138.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-17,8.0,643.0,87182.0,138.0,134.0,138.0,138.0,0.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0
2010-06-18,8.0,643.0,87182.0,138.0,134.0,138.0,138.0,0.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0
2010-06-19,8.0,643.0,87182.0,138.0,134.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0,0.0
2010-06-20,8.0,643.0,87182.0,138.0,134.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0,0.0
2010-06-21,8.0,643.0,87182.0,138.0,134.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0,0.0
2010-06-22,8.0,643.0,87182.0,138.0,134.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0,0.0
2010-06-23,8.0,643.0,87182.0,138.0,134.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0,0.0
2010-06-24,8.0,643.0,87182.0,138.0,134.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0,0.0
2010-06-25,8.0,643.0,87182.0,138.0,134.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0,0.0
2010-06-26,8.0,643.0,87182.0,138.0,134.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0,0.0
2010-06-27,8.0,643.0,87182.0,138.0,134.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0,0.0
2010-06-28,8.0,643.0,87182.0,138.0,134.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0,0.0
2010-06-29,8.0,643.0,87182.0,138.0,134.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0,0.0
2010-06-30,8.0,643.0,87182.0,138.0,134.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0,0.0
2010-07-01,8.0,643.0,87182.0,138.0,134.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0
2010-07-02,8.0,643.0,87182.0,138.0,134.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0
2010-07-03,8.0,643.0,87182.0,138.0,134.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0
2010-07-04,8.0,643.0,87182.0,138.0,134.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0
2010-07-05,8.0,643.0,87182.0,138.0,134.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0
2010-07-06,8.0,643.0,87182.0,138.0,134.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0
2010-07-07,8.0,643.0,87182.0,138.0,134.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0
2010-07-08,8.0,643.0,87182.0,138.0,134.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0
2010-07-09,8.0,643.0,87182.0,138.0,134.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0
2010-07-10,8.0,643.0,87182.0,138.0,134.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0
2010-07-11,8.0,643.0,87182.0,138.0,134.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0
2010-07-12,8.0,643.0,87182.0,138.0,134.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0
2010-07-13,8.0,643.0,87182.0,138.0,134.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0
2010-07-14,8.0,643.0,87182.0,138.0,134.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0
2010-07-15,8.0,643.0,87182.0,138.0,134.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0
2010-07-16,8.0,643.0,87182.0,138.0,134.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0
2010-07-17,8.0,643.0,87182.0,138.0,134.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0
2010-07-18,8.0,643.0,87182.0,138.0,134.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0
2010-07-19,8.0,643.0,87182.0,138.0,134.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0
2010-07-20,8.0,643.0,87182.0,138.0,134.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0
2010-07-21,8.0,643.0,87182.0,138.0,134.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0
2010-07-22,8.0,643.0,87182.0,138.0,134.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0
2010-07-23,8.0,643.0,87182.0,138.0,134.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0
2010-07-24,8.0,643.0,87182.0,138.0,134.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0
2010-07-25,8.0,643.0,87182.0,138.0,134.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0
2010-07-26,8.0,643.0,87182.0,138.0,134.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0
2010-07-27,2.0,150.0,20700.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0
2010-07-28,2.0,150.0,20700.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0
2010-07-29,2.0,150.0,20700.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0
2010-07-30,2.0,150.0,20700.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0
2010-07-31,2.0,150.0,20700.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0
2010-08-01,1.0,100.0,13800.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0
2010-08-02,1.0,100.0,13800.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0
2010-08-03,1.0,100.0,13800.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0
2010-08-04,1.0,100.0,13800.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0
2010-08-05,1.0,100.0,13800.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0
2010-08-06,1.0,100.0,13800.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0
2010-08-07,1.0,100.0,13800.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0
2010-08-08,1.0,100.0,13800.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0
2010-08-09,1.0,100.0,13800.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0
2010-08-10,1.0,100.0,13800.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0
2010-08-11,1.0,100.0,13800.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0
2010-08-12,1.0,100.0,13800.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0
2010-08-13,1.0,100.0,13800.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0
2010-08-14,1.0,100.0,13800.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0
2010-08-15,1.0,100.0,13800.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0
2010-08-16,1.0,100.0,13800.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0
2010-08-17,1.0,100.0,13800.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0
2010-08-18,1.0,100.0,13800.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0
2010-08-19,1.0,100.0,13800.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0
2010-08-20,1.0,100.0,13800.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0
2010-08-21,1.0,100.0,13800.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0
2010-08-22,1.0,100.0,13800.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0
2010-08-23,1.0,100.0,13800.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0
2010-08-24,1.0,100.0,13800.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0
2010-08-25,1.0,100.0,13800.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0
2010-08-26,1.0,100.0,13800.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0
2010-08-27,1.0,100.0,13800.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0
2010-08-28,1.0,100.0,13800.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0
2010-08-29,1.0,100.0,13800.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0
2010-08-30,1.0,100.0,13800.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0
2010-08-31,1.0,100.0,13800.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0
2010-09-01,1.0,100.0,13800.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0
2010-09-02,1.0,100.0,13800.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0
2010-09-03,1.0,100.0,13800.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0
