Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-04-15,7.0,330.0,465581.0,1430.0,1402.0,1410.0,1410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-16,7.0,330.0,465581.0,1430.0,1402.0,1410.0,1410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-17,7.0,330.0,465581.0,1430.0,1402.0,1410.0,1410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-18,7.0,330.0,465581.0,1430.0,1402.0,1410.0,1410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-19,45.0,1804.0,2490871.0,1449.0,1350.0,1400.0,1410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-20,7.0,179.0,245205.0,1400.0,1353.0,1380.0,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-21,83.0,2870.0,3584693.0,1380.0,1242.0,1242.0,1380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-22,19.0,1333.0,1615806.0,1295.0,1180.0,1295.0,1242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0938
2010-04-23,19.0,1333.0,1615806.0,1295.0,1180.0,1295.0,1295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0938
2010-04-24,19.0,1333.0,1615806.0,1295.0,1180.0,1295.0,1295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0938
2010-04-25,18.0,607.0,737114.0,1295.0,1200.0,1220.0,1295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.78348
2010-04-26,26.0,1973.0,2269446.0,1220.0,1140.0,1190.0,1220.0,0.0,0.0,1329.75,0.0,0.0,0.0,0.0,15.8448
2010-04-27,27.0,1694.0,1834907.0,1190.0,1071.0,1100.0,1190.0,0.0,0.0,1294.40385,0.0,0.0,0.0,0.0,11.79455
2010-04-28,9.0,428.0,469064.0,1122.0,1078.0,1100.0,1100.0,1296.92857,1296.92857,1264.49556,0.0,0.0,0.0,0.0,11.79455
2010-04-29,19.0,655.0,775222.0,1210.0,1100.0,1210.0,1100.0,1282.64286,1285.3381,1256.11163,0.0,0.0,0.0,0.0,34.39281
2010-04-30,19.0,655.0,775222.0,1210.0,1120.0,1210.0,1210.0,1268.35714,1275.29302,1249.01753,0.0,0.0,0.0,0.0,34.39281
2010-05-01,19.0,655.0,775222.0,1210.0,1120.0,1210.0,1210.0,1254.07143,1266.58728,1243.01484,0.0,0.0,0.0,0.0,34.39281
2010-05-02,19.0,655.0,775222.0,1210.0,1120.0,1210.0,1210.0,1239.78571,1259.04231,1237.93563,0.0,0.0,0.0,0.0,34.39281
2010-05-03,19.0,655.0,775222.0,1210.0,1120.0,1210.0,1210.0,1226.21429,1252.50334,1233.63784,0.0,0.0,0.0,0.0,34.39281
2010-05-04,19.0,655.0,775222.0,1210.0,1120.0,1210.0,1210.0,1214.07143,1246.83622,1230.00125,0.0,0.0,0.0,0.0,34.39281
2010-05-05,19.0,655.0,775222.0,1210.0,1120.0,1210.0,1210.0,1211.78571,1241.92473,1226.92413,0.0,0.0,0.0,0.0,34.39281
2010-05-06,19.0,655.0,775222.0,1210.0,1120.0,1210.0,1210.0,1205.71429,1237.6681,1224.32042,0.0,0.0,0.0,0.0,34.39281
2010-05-07,19.0,655.0,775222.0,1210.0,1120.0,1210.0,1210.0,1199.64286,1233.97902,1222.11728,0.0,0.0,0.0,0.0,34.39281
2010-05-08,19.0,655.0,775222.0,1210.0,1120.0,1210.0,1210.0,1193.57143,1230.78182,1220.25308,0.0,0.0,0.0,0.0,34.39281
2010-05-09,12.0,652.0,738648.0,1210.0,1105.0,1159.0,1210.0,1189.21429,1221.21091,1210.82953,0.0,0.0,0.0,0.0,28.8171
2010-05-10,12.0,496.0,563628.0,1232.0,1118.0,1232.0,1159.0,1192.21429,1222.64945,1214.08653,1255.69231,-41.60578,-8.32116,-33.28462,42.76312
2010-05-11,15.0,503.0,631880.0,1304.0,1210.0,1304.0,1232.0,1206.78571,1233.49619,1227.91937,1259.27066,-31.35129,-12.92718,-18.4241,52.41744
2010-05-12,18.0,964.0,1288114.0,1365.0,1280.0,1355.0,1304.0,1225.0,1249.6967,1247.47024,1266.36172,-18.89148,-14.12004,-4.77144,57.72132
2010-05-13,22.0,1317.0,1780770.0,1395.0,1328.0,1342.0,1355.0,1234.42857,1262.00381,1262.01328,1271.96455,-9.95128,-13.28629,3.33501,56.04916
2010-05-14,22.0,1317.0,1780770.0,1395.0,1328.0,1342.0,1342.0,1243.85714,1272.66997,1274.31893,1277.15236,-2.83344,-11.19572,8.36228,56.04916
2010-05-15,22.0,1317.0,1780770.0,1395.0,1328.0,1342.0,1342.0,1253.28571,1281.91397,1284.7314,1281.95589,2.77551,-8.40147,11.17698,56.04916
2010-05-16,28.0,781.0,1019188.0,1404.0,1248.0,1404.0,1342.0,1267.14286,1298.19211,1303.08041,1290.9962,12.08422,-4.30434,16.38855,62.1094
2010-05-17,2.0,20.0,27250.0,1404.0,1349.0,1349.0,1404.0,1277.07143,1304.96649,1310.14497,1295.29278,14.85219,-0.47303,15.32522,55.04031
2010-05-18,27.0,1544.0,2014977.0,1402.0,1275.0,1402.0,1349.0,1290.78571,1317.90429,1324.27651,1303.19701,21.0795,3.83747,17.24202,59.68326
2010-05-19,24.0,879.0,1185892.0,1457.0,1300.0,1457.0,1402.0,1308.42857,1336.45039,1344.69551,1314.58983,30.10568,9.09112,21.01456,63.76103
2010-05-20,7.0,198.0,289028.0,1480.0,1423.0,1470.0,1457.0,1327.0,1354.257,1363.97312,1326.10169,37.87143,14.84718,23.02425,64.64842
2010-05-21,7.0,198.0,289028.0,1480.0,1423.0,1470.0,1470.0,1345.57143,1369.6894,1380.28495,1336.76083,43.52412,20.58257,22.94156,64.64842
2010-05-22,7.0,198.0,289028.0,1480.0,1423.0,1470.0,1470.0,1364.14286,1383.06415,1394.08727,1346.63039,47.45687,25.95743,21.49944,64.64842
2010-05-23,13.0,691.0,976362.0,1470.0,1394.0,1445.0,1470.0,1384.57143,1391.32226,1401.91999,1353.91703,48.00296,30.36653,17.63643,61.30639
2010-05-24,11.0,554.0,784290.0,1445.0,1389.0,1442.0,1445.0,1399.57143,1398.07929,1408.08615,1360.4417,47.64445,33.82212,13.82233,60.90965
2010-05-25,16.0,985.0,1441392.0,1523.0,1440.0,1523.0,1442.0,1415.21429,1414.73539,1425.7652,1372.48305,53.28215,37.71412,15.56803,66.96961
2010-05-26,13.0,533.0,822773.0,1611.0,1488.0,1505.0,1523.0,1425.92857,1426.77067,1437.95517,1382.29912,55.65605,41.30251,14.35354,64.63173
2010-05-27,13.0,533.0,822773.0,1611.0,1488.0,1505.0,1505.0,1437.57143,1437.20125,1448.26976,1391.38808,56.88168,44.41834,12.46334,64.63173
2010-05-28,13.0,533.0,822773.0,1611.0,1488.0,1505.0,1505.0,1449.21429,1446.24108,1456.99749,1399.80377,57.19372,46.97342,10.2203,64.63173
2010-05-29,13.0,533.0,822773.0,1611.0,1488.0,1505.0,1505.0,1460.85714,1454.0756,1464.38249,1407.59609,56.7864,48.93602,7.85039,64.63173
2010-05-30,8.0,388.0,623895.0,1654.0,1500.0,1630.0,1505.0,1477.0,1477.53219,1489.86211,1424.07045,65.79166,52.30714,13.48451,72.68169
2010-05-31,17.0,1114.0,1772505.0,1660.0,1477.0,1566.0,1630.0,1492.5,1489.3279,1501.57563,1434.58375,66.99188,55.24409,11.74779,64.75791
2010-06-01,27.0,936.0,1386113.0,1590.0,1410.0,1590.0,1566.0,1505.92857,1502.75084,1515.17938,1446.09607,69.08331,58.01194,11.07138,66.20847
2010-06-02,7.0,242.0,377402.0,1590.0,1519.0,1548.0,1590.0,1512.42857,1508.78407,1520.22871,1453.64451,66.5842,59.72639,6.85781,61.55313
2010-06-03,10.0,667.0,1008500.0,1578.0,1470.0,1560.0,1548.0,1518.85714,1515.61286,1526.34737,1461.52269,64.82468,60.74605,4.07863,62.34738
2010-06-04,10.0,667.0,1008500.0,1578.0,1470.0,1560.0,1560.0,1525.28571,1521.53114,1531.52469,1468.81731,62.70739,61.13831,1.56907,62.34738
2010-06-05,10.0,667.0,1008500.0,1578.0,1470.0,1560.0,1560.0,1531.71429,1526.66032,1535.90551,1475.57158,60.33393,60.97744,-0.64351,62.34738
2010-06-06,24.0,1432.0,2168324.0,1591.0,1470.0,1591.0,1560.0,1542.14286,1535.23895,1544.38159,1484.12183,60.25975,60.8339,-0.57415,64.53818
2010-06-07,2.0,30.0,48400.0,1615.0,1591.0,1615.0,1591.0,1554.5,1545.87375,1555.24596,1493.81651,61.42945,60.95301,0.47644,66.13972
2010-06-08,2.0,30.0,48400.0,1615.0,1610.0,1615.0,1615.0,1561.07143,1555.09059,1564.43889,1502.79307,61.64582,61.09157,0.55425,66.13972
2010-06-09,15.0,664.0,1007918.0,1615.0,1475.0,1600.0,1615.0,1567.85714,1561.07851,1569.90983,1509.99358,59.91625,60.85651,-0.94026,64.14359
2010-06-10,3.0,77.0,122625.0,1600.0,1568.0,1595.0,1600.0,1574.28571,1565.60137,1573.76985,1516.29035,57.4795,60.18111,-2.7016,63.47311
2010-06-11,3.0,77.0,122625.0,1599.0,1568.0,1595.0,1595.0,1580.71429,1569.52119,1577.03603,1522.1207,54.91533,59.12795,-4.21262,63.47311
2010-06-12,3.0,77.0,122625.0,1599.0,1568.0,1595.0,1595.0,1587.14286,1572.91837,1579.79972,1527.51916,52.28055,57.75847,-5.47792,63.47311
2010-06-13,15.0,1107.0,1686947.0,1595.0,1510.0,1588.0,1595.0,1584.14286,1574.92925,1581.0613,1531.99923,49.06207,56.01919,-6.95712,62.41576
2010-06-14,15.0,1107.0,1686947.0,1588.0,1510.0,1588.0,1588.0,1585.71429,1576.67202,1582.12879,1536.14743,45.98136,54.01163,-8.03027,62.41576
2010-06-15,5.0,187.0,288775.0,1588.0,1525.0,1530.0,1588.0,1581.42857,1570.44908,1574.10898,1535.69207,38.41691,50.89268,-12.47577,54.17219
2010-06-16,17.0,1431.0,2122814.0,1530.0,1470.0,1514.0,1530.0,1579.0,1562.92254,1564.86144,1534.08525,30.7762,46.86939,-16.09319,52.17613
2010-06-17,4.0,205.0,306325.0,1515.0,1490.0,1515.0,1514.0,1575.78571,1556.53287,1557.19045,1532.67152,24.51893,42.39929,-17.88037,52.29149
2010-06-18,4.0,205.0,306325.0,1515.0,1490.0,1515.0,1515.0,1572.57143,1550.99515,1550.69961,1531.36252,19.33709,37.78685,-18.44976,52.29149
2010-06-19,4.0,205.0,306325.0,1515.0,1490.0,1515.0,1515.0,1569.35714,1546.1958,1545.20736,1530.15048,15.05688,33.24086,-18.18398,52.29149
2010-06-20,9.0,380.0,562480.0,1520.0,1466.0,1520.0,1515.0,1564.28571,1542.70302,1541.32931,1529.3986,11.93071,28.97883,-17.04812,52.94844
2010-06-21,3.0,118.0,176158.0,1520.0,1490.0,1490.0,1520.0,1555.35714,1535.67595,1533.43249,1526.48018,6.95231,24.57353,-17.62122,48.72177
2010-06-22,11.0,795.0,1159787.0,1490.0,1446.0,1446.0,1490.0,1543.28571,1523.71916,1519.98134,1520.51869,-0.53735,19.55135,-20.0887,43.38799
2010-06-23,12.0,477.0,692742.0,1475.0,1443.0,1475.0,1446.0,1534.35714,1517.22327,1513.06113,1517.14693,-4.0858,14.82392,-18.90972,47.37493
2010-06-24,15.0,1093.0,1577555.0,1480.0,1430.0,1480.0,1475.0,1526.14286,1512.26017,1507.97481,1514.39531,-6.4205,10.57504,-16.99554,48.03742
2010-06-25,15.0,1093.0,1577555.0,1480.0,1430.0,1480.0,1480.0,1517.92857,1507.95881,1503.67099,1511.84751,-8.17652,6.82473,-15.00124,48.03742
2010-06-26,15.0,1093.0,1577555.0,1480.0,1430.0,1480.0,1480.0,1509.71429,1504.23097,1500.0293,1509.48843,-9.45913,3.56795,-13.02709,48.03742
2010-06-27,15.0,1093.0,1577555.0,1480.0,1430.0,1480.0,1480.0,1502.0,1501.00018,1496.94787,1507.3041,-10.35624,0.78312,-11.13935,48.03742
2010-06-28,3.0,52.0,78275.0,1525.0,1480.0,1525.0,1480.0,1497.5,1504.20015,1501.26358,1508.61491,-7.35133,-0.84377,-6.50756,54.32735
2010-06-29,12.0,245.0,362180.0,1555.0,1430.0,1495.0,1525.0,1495.0,1502.97346,1500.29995,1507.6064,-7.30645,-2.13631,-5.17014,50.08361
2010-06-30,10.0,524.0,780083.0,1530.0,1465.0,1530.0,1495.0,1496.14286,1506.577,1504.86919,1509.26518,-4.39599,-2.58825,-1.80775,54.44296
2010-07-01,4.0,60.0,94660.0,1600.0,1530.0,1600.0,1530.0,1502.21429,1519.0334,1519.5047,1515.98628,3.51842,-1.36691,4.88533,61.50325
2010-07-02,4.0,60.0,94660.0,1600.0,1560.0,1600.0,1600.0,1508.28571,1529.82895,1531.88859,1522.20952,9.67907,0.84228,8.83679,61.50325
2010-07-03,4.0,60.0,94660.0,1600.0,1560.0,1600.0,1600.0,1514.35714,1539.18509,1542.36727,1527.97178,14.39549,3.55293,10.84257,61.50325
2010-07-04,7.0,285.0,428969.0,1600.0,1470.0,1499.0,1600.0,1512.85714,1533.82708,1535.69538,1525.82572,9.86966,4.81627,5.05339,48.85647
2010-07-05,3.0,60.0,90360.0,1528.0,1498.0,1498.0,1499.0,1513.42857,1529.05013,1529.89609,1523.76456,6.13154,5.07933,1.05221,48.75225
2010-07-06,13.0,351.0,546602.0,1600.0,1498.0,1600.0,1498.0,1524.42857,1538.51012,1540.68131,1529.41163,11.26968,6.3174,4.95229,58.28296
2010-07-07,13.0,351.0,546602.0,1600.0,1520.0,1600.0,1600.0,1533.35714,1546.70877,1549.80726,1534.64039,15.16687,8.08729,7.07958,58.28296
2010-07-08,12.0,463.0,695297.0,1600.0,1471.0,1500.0,1600.0,1534.78571,1540.48093,1542.14461,1532.07444,10.07017,8.48387,1.5863,48.52808
2010-07-09,12.0,463.0,695297.0,1568.0,1471.0,1500.0,1500.0,1536.21429,1535.08347,1535.66082,1529.69855,5.96227,7.97955,-2.01728,48.52808
2010-07-10,12.0,463.0,695297.0,1568.0,1471.0,1500.0,1500.0,1537.64286,1530.40568,1530.17454,1527.49866,2.67588,6.91881,-4.24293,48.52808
2010-07-11,8.0,582.0,859588.0,1500.0,1470.0,1497.0,1500.0,1538.85714,1525.95159,1525.07077,1525.2395,-0.16874,5.5013,-5.67004,48.24763
2010-07-12,13.0,961.0,1420805.0,1528.0,1470.0,1528.0,1497.0,1539.07143,1526.22471,1525.52142,1525.44398,0.07743,4.41653,-4.3391,51.30116
2010-07-13,4.0,103.0,159770.0,1557.0,1528.0,1557.0,1528.0,1543.5,1530.32808,1530.36428,1527.78147,2.58281,4.04979,-1.46698,53.96892
