Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-04-19,5.0,140.0,110550.0,816.0,784.0,816.0,816.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-20,5.0,140.0,110550.0,816.0,784.0,816.0,816.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-21,5.0,140.0,110550.0,816.0,784.0,816.0,816.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-22,5.0,140.0,110550.0,816.0,784.0,816.0,816.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-23,5.0,140.0,110550.0,816.0,784.0,816.0,816.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-24,5.0,140.0,110550.0,816.0,784.0,816.0,816.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-25,5.0,140.0,110550.0,816.0,784.0,816.0,816.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-26,5.0,140.0,110550.0,816.0,784.0,816.0,816.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-27,5.0,140.0,110550.0,816.0,784.0,816.0,816.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-28,3.0,30.0,24480.0,816.0,816.0,816.0,816.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-29,3.0,30.0,24480.0,816.0,816.0,816.0,816.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-30,3.0,30.0,24480.0,816.0,816.0,816.0,816.0,0.0,0.0,816.0,0.0,0.0,0.0,0.0,0.0
2010-05-01,3.0,30.0,24480.0,816.0,816.0,816.0,816.0,0.0,0.0,816.0,0.0,0.0,0.0,0.0,0.0
2010-05-02,3.0,30.0,24480.0,816.0,816.0,816.0,816.0,816.0,816.0,816.0,0.0,0.0,0.0,0.0,0.0
2010-05-03,3.0,30.0,24480.0,816.0,816.0,816.0,816.0,816.0,816.0,816.0,0.0,0.0,0.0,0.0,0.0
2010-05-04,3.0,30.0,24480.0,816.0,816.0,816.0,816.0,816.0,816.0,816.0,0.0,0.0,0.0,0.0,0.0
2010-05-05,3.0,30.0,24480.0,816.0,816.0,816.0,816.0,816.0,816.0,816.0,0.0,0.0,0.0,0.0,0.0
2010-05-06,3.0,30.0,24480.0,816.0,816.0,816.0,816.0,816.0,816.0,816.0,0.0,0.0,0.0,0.0,0.0
2010-05-07,3.0,30.0,24480.0,816.0,816.0,816.0,816.0,816.0,816.0,816.0,0.0,0.0,0.0,0.0,0.0
2010-05-08,3.0,30.0,24480.0,816.0,816.0,816.0,816.0,816.0,816.0,816.0,0.0,0.0,0.0,0.0,0.0
2010-05-09,3.0,30.0,24480.0,816.0,816.0,816.0,816.0,816.0,816.0,816.0,0.0,0.0,0.0,0.0,0.0
2010-05-10,3.0,30.0,24480.0,816.0,816.0,816.0,816.0,816.0,816.0,816.0,0.0,0.0,0.0,0.0,0.0
2010-05-11,3.0,30.0,24480.0,816.0,816.0,816.0,816.0,816.0,816.0,816.0,0.0,0.0,0.0,0.0,0.0
2010-05-12,3.0,30.0,24480.0,816.0,816.0,816.0,816.0,816.0,816.0,816.0,0.0,0.0,0.0,0.0,0.0
2010-05-13,3.0,30.0,24480.0,816.0,816.0,816.0,816.0,816.0,816.0,816.0,0.0,0.0,0.0,0.0,0.0
2010-05-14,3.0,30.0,24480.0,816.0,816.0,816.0,816.0,816.0,816.0,816.0,816.0,0.0,0.0,0.0,0.0
2010-05-15,3.0,30.0,24480.0,816.0,816.0,816.0,816.0,816.0,816.0,816.0,816.0,0.0,0.0,0.0,0.0
2010-05-16,3.0,30.0,24480.0,816.0,816.0,816.0,816.0,816.0,816.0,816.0,816.0,0.0,0.0,0.0,0.0
2010-05-17,3.0,30.0,24480.0,816.0,816.0,816.0,816.0,816.0,816.0,816.0,816.0,0.0,0.0,0.0,0.0
2010-05-18,3.0,30.0,24480.0,816.0,816.0,816.0,816.0,816.0,816.0,816.0,816.0,0.0,0.0,0.0,0.0
