Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-04-15,2.0,330.0,100980.0,306.0,306.0,306.0,306.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-16,2.0,330.0,100980.0,306.0,306.0,306.0,306.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-17,2.0,330.0,100980.0,306.0,306.0,306.0,306.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-18,2.0,330.0,100980.0,306.0,306.0,306.0,306.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-19,4.0,355.0,107780.0,306.0,300.0,305.0,306.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-20,1.0,255.0,79305.0,311.0,305.0,311.0,305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.30137
2010-04-21,1.0,255.0,79305.0,311.0,311.0,311.0,311.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.30137
2010-04-22,5.0,165.0,48543.0,311.0,284.0,284.0,311.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.33992
2010-04-23,5.0,165.0,48543.0,305.0,284.0,284.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.33992
2010-04-24,5.0,165.0,48543.0,305.0,284.0,284.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.33992
2010-04-25,1.0,50.0,14000.0,284.0,280.0,280.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.34548
2010-04-26,2.0,180.0,51150.0,285.0,280.0,284.0,280.0,0.0,0.0,297.25,0.0,0.0,0.0,0.0,24.07606
2010-04-27,2.0,130.0,37570.0,289.0,284.0,289.0,284.0,0.0,0.0,295.98077,0.0,0.0,0.0,0.0,33.92767
2010-04-28,2.0,130.0,37570.0,289.0,289.0,289.0,289.0,296.07143,296.07143,294.9068,0.0,0.0,0.0,0.0,33.92767
