Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2012-06-10,11.0,950.0,131604.0,141.0,136.0,141.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-11,21.0,2898.0,437702.0,155.0,141.0,147.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2012-06-12,32.0,12254.0,1778789.0,147.0,138.0,138.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.02326
2012-06-13,35.0,10961.0,1531733.0,144.0,136.0,140.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.13501
2012-06-14,22.0,3464.0,483681.0,141.0,137.0,140.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.13501
2012-06-15,22.0,3464.0,483681.0,141.0,137.0,140.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.13501
2012-06-16,22.0,3464.0,483681.0,141.0,137.0,140.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.13501
2012-06-17,8.0,1720.0,234741.0,140.0,136.0,136.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.6442
2012-06-18,3.0,208.0,28407.0,138.0,136.0,138.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.84405
2012-06-19,2.0,98.0,13720.0,140.0,138.0,140.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.04575
2012-06-20,2.0,724.0,101598.0,142.0,140.0,140.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.04575
2012-06-21,5.0,2405.0,329590.0,140.0,136.0,136.0,140.0,0.0,0.0,139.66667,0.0,0.0,0.0,0.0,86.2679
2012-06-22,5.0,2405.0,329590.0,138.0,136.0,136.0,136.0,0.0,0.0,139.10256,0.0,0.0,0.0,0.0,86.2679
2012-06-23,5.0,2405.0,329590.0,138.0,136.0,136.0,136.0,139.14286,139.14286,138.62525,0.0,0.0,0.0,0.0,86.2679
2012-06-24,5.0,2405.0,329590.0,138.0,136.0,136.0,136.0,138.78571,138.72381,138.22136,0.0,0.0,0.0,0.0,86.2679
2012-06-25,11.0,3945.0,534220.0,137.0,135.0,135.0,136.0,137.92857,138.2273,137.72577,0.0,0.0,0.0,0.0,85.18191
2012-06-26,10.0,3293.0,443311.0,138.0,134.0,138.0,135.0,137.92857,138.19699,137.76796,0.0,0.0,0.0,0.0,85.74709
2012-06-27,1.0,475.0,64600.0,138.0,136.0,136.0,138.0,137.64286,137.90406,137.49596,0.0,0.0,0.0,0.0,83.51726
2012-06-28,6.0,2074.0,287169.0,141.0,136.0,141.0,136.0,137.71429,138.31685,138.03505,0.0,0.0,0.0,0.0,84.57052
2012-06-29,6.0,2074.0,287169.0,141.0,138.0,141.0,141.0,137.78571,138.67461,138.49119,0.0,0.0,0.0,0.0,84.57052
2012-06-30,6.0,2074.0,287169.0,141.0,138.0,141.0,141.0,137.85714,138.98466,138.87716,0.0,0.0,0.0,0.0,84.57052
2012-07-01,5.0,4050.0,556875.0,141.0,137.0,137.0,141.0,137.92857,138.72004,138.58837,0.0,0.0,0.0,0.0,79.8454
2012-07-02,3.0,825.0,113865.0,139.0,137.0,137.0,137.0,137.85714,138.4907,138.344,0.0,0.0,0.0,0.0,79.8454
2012-07-03,1.0,810.0,110970.0,137.0,137.0,137.0,137.0,137.64286,138.29194,138.13723,0.0,0.0,0.0,0.0,79.8454
2012-07-04,1.0,49.0,6811.0,139.0,137.0,139.0,137.0,137.57143,138.38635,138.26997,0.0,0.0,0.0,0.0,80.47677
