Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2011-01-03,21.0,450.0,154270.0,359.0,340.0,340.0,340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-04,21.0,450.0,154270.0,359.0,340.0,340.0,340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-05,21.0,450.0,154270.0,359.0,340.0,340.0,340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-06,21.0,450.0,154270.0,359.0,340.0,340.0,340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-07,21.0,450.0,154270.0,359.0,340.0,340.0,340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-08,21.0,450.0,154270.0,359.0,340.0,340.0,340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-09,21.0,450.0,154270.0,359.0,340.0,340.0,340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-10,21.0,450.0,154270.0,359.0,340.0,340.0,340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-11,21.0,450.0,154270.0,359.0,340.0,340.0,340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-12,21.0,450.0,154270.0,359.0,340.0,340.0,340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-13,21.0,450.0,154270.0,359.0,340.0,340.0,340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-14,21.0,450.0,154270.0,359.0,340.0,340.0,340.0,0.0,0.0,340.0,0.0,0.0,0.0,0.0,0.0
2011-01-15,21.0,450.0,154270.0,359.0,340.0,340.0,340.0,0.0,0.0,340.0,0.0,0.0,0.0,0.0,0.0
2011-01-16,21.0,450.0,154270.0,359.0,340.0,340.0,340.0,340.0,340.0,340.0,0.0,0.0,0.0,0.0,0.0
2011-01-17,21.0,450.0,154270.0,359.0,340.0,340.0,340.0,340.0,340.0,340.0,0.0,0.0,0.0,0.0,0.0
2011-01-18,21.0,450.0,154270.0,359.0,340.0,340.0,340.0,340.0,340.0,340.0,0.0,0.0,0.0,0.0,0.0
