Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-04-15,1.0,100.0,26500.0,265.0,265.0,265.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-16,1.0,100.0,26500.0,265.0,265.0,265.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-17,1.0,100.0,26500.0,265.0,265.0,265.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-18,1.0,100.0,26500.0,265.0,265.0,265.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-19,7.0,240.0,63150.0,265.0,260.0,260.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-20,3.0,340.0,88150.0,260.0,255.0,260.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-21,7.0,510.0,126400.0,260.0,245.0,245.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-22,12.0,520.0,127690.0,247.0,241.0,241.0,245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-23,12.0,520.0,127690.0,247.0,241.0,241.0,241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-24,12.0,520.0,127690.0,247.0,241.0,241.0,241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-25,10.0,260.0,63950.0,249.0,241.0,246.0,241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.38573
2010-04-26,6.0,430.0,106030.0,250.0,245.0,247.0,246.0,0.0,0.0,253.41667,0.0,0.0,0.0,0.0,23.6541
2010-04-27,3.0,240.0,59280.0,247.0,247.0,247.0,247.0,0.0,0.0,252.42949,0.0,0.0,0.0,0.0,23.6541
2010-04-28,14.0,900.0,213150.0,247.0,232.0,238.0,247.0,251.85714,251.85714,250.20957,0.0,0.0,0.0,0.0,16.80761
2010-04-29,4.0,180.0,42780.0,238.0,236.0,236.0,238.0,249.78571,249.74286,248.02348,0.0,0.0,0.0,0.0,15.7443
2010-04-30,4.0,180.0,42780.0,238.0,236.0,236.0,236.0,247.71429,247.91048,246.17371,0.0,0.0,0.0,0.0,15.7443
2010-05-01,4.0,180.0,42780.0,238.0,236.0,236.0,236.0,245.64286,246.32241,244.60853,0.0,0.0,0.0,0.0,15.7443
2010-05-02,4.0,180.0,42780.0,238.0,236.0,236.0,236.0,243.57143,244.94609,243.28414,0.0,0.0,0.0,0.0,15.7443
2010-05-03,4.0,180.0,42780.0,238.0,236.0,236.0,236.0,241.85714,243.75328,242.1635,0.0,0.0,0.0,0.0,15.7443
2010-05-04,4.0,180.0,42780.0,238.0,236.0,236.0,236.0,240.14286,242.71951,241.21527,0.0,0.0,0.0,0.0,15.7443
2010-05-05,4.0,180.0,42780.0,238.0,236.0,236.0,236.0,239.5,241.82357,240.41292,0.0,0.0,0.0,0.0,15.7443
2010-05-06,4.0,180.0,42780.0,238.0,236.0,236.0,236.0,239.14286,241.0471,239.73401,0.0,0.0,0.0,0.0,15.7443
2010-05-07,4.0,180.0,42780.0,238.0,236.0,236.0,236.0,238.78571,240.37415,239.15955,0.0,0.0,0.0,0.0,15.7443
2010-05-08,4.0,180.0,42780.0,238.0,236.0,236.0,236.0,238.42857,239.79093,238.67346,0.0,0.0,0.0,0.0,15.7443
2010-05-09,5.0,240.0,56400.0,236.0,234.0,234.0,236.0,237.57143,239.01881,237.95447,0.0,0.0,0.0,0.0,14.27342
2010-05-10,7.0,430.0,101420.0,238.0,234.0,235.0,234.0,236.71429,238.48297,237.49993,244.42308,-6.92314,-1.38463,-5.53851,18.28147
2010-05-11,2.0,110.0,25740.0,235.0,234.0,234.0,235.0,235.78571,237.88524,236.96148,243.651,-6.68951,-2.44561,-4.24391,17.426
