Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2015-11-24,2.0,20.0,2180.0,110.0,108.0,110.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-25,5.0,50.0,5800.0,120.0,110.0,120.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-11-26,8.0,1000.0,129000.0,132.0,120.0,132.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-11-27,8.0,1000.0,129000.0,132.0,122.0,132.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-11-28,8.0,1000.0,129000.0,132.0,122.0,132.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-11-29,10.0,1020.0,145040.0,145.0,132.0,145.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-11-30,6.0,60.0,9170.0,159.0,145.0,159.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-12-01,5.0,70.0,11760.0,174.0,159.0,174.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-12-02,6.0,100.0,18440.0,191.0,174.0,191.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-12-03,7.0,5701.0,1106484.0,210.0,191.0,210.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-12-04,7.0,5701.0,1106484.0,210.0,194.0,210.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-12-05,7.0,5701.0,1106484.0,210.0,194.0,210.0,210.0,0.0,0.0,160.41667,0.0,0.0,0.0,0.0,100.0
2015-12-06,6.0,1020.0,232080.0,231.0,210.0,231.0,210.0,0.0,0.0,171.27564,0.0,0.0,0.0,0.0,100.0
2015-12-07,6.0,420.0,103520.0,254.0,231.0,254.0,231.0,172.14286,172.14286,184.00247,0.0,0.0,0.0,0.0,100.0
2015-12-08,6.0,1368.0,375155.2,279.4,254.0,279.4,254.0,184.24286,186.44381,198.67901,0.0,0.0,0.0,0.0,100.0
2015-12-09,10.0,5511.0,1684537.0,307.0,279.4,307.0,279.4,197.6,202.51797,215.34378,0.0,0.0,0.0,0.0,100.0
2015-12-10,5.0,974.0,316070.0,337.0,307.0,337.0,307.0,212.24286,220.44891,234.06012,0.0,0.0,0.0,0.0,100.0
2015-12-11,5.0,974.0,316070.0,337.0,313.0,337.0,337.0,226.88571,235.98905,249.89702,0.0,0.0,0.0,0.0,100.0
2015-12-12,5.0,974.0,316070.0,337.0,313.0,337.0,337.0,241.52857,249.45718,263.29748,0.0,0.0,0.0,0.0,100.0
2015-12-13,18.0,15750.0,5823970.0,370.0,337.0,370.0,337.0,257.6,265.52955,279.71325,0.0,0.0,0.0,0.0,100.0
2015-12-14,11.0,9670.0,3934890.0,407.0,370.0,407.0,370.0,275.31429,284.39228,299.29583,0.0,0.0,0.0,0.0,100.0
2015-12-15,129.0,82044.0,36633232.0,447.0,407.0,447.0,407.0,294.81429,306.07331,322.01955,0.0,0.0,0.0,0.0,100.0
2015-12-16,114.0,36004.0,15532038.0,480.0,403.0,403.0,447.0,309.95714,318.99687,334.47808,0.0,0.0,0.0,0.0,87.39026
2015-12-17,37.0,11833.0,4419998.0,403.0,365.0,367.0,403.0,321.17143,325.39729,339.48145,0.0,0.0,0.0,0.0,78.84866
2015-12-18,37.0,11833.0,4419998.0,395.0,365.0,367.0,367.0,332.38571,330.94431,343.71507,0.0,0.0,0.0,0.0,78.84866
2015-12-19,37.0,11833.0,4419998.0,395.0,365.0,367.0,367.0,343.6,335.75174,347.29737,259.05385,88.24352,17.6487,70.59482,78.84866
2015-12-20,20.0,2909.0,978369.0,367.0,331.0,331.0,367.0,350.74286,335.11817,344.79008,264.38319,80.40689,30.20034,50.20655,70.83398
2015-12-21,13.0,3662.0,1114212.0,331.0,300.0,300.0,331.0,354.02857,330.43575,337.8993,267.02147,70.87783,38.33584,32.54199,64.87191
2015-12-22,37.0,62224.0,18199860.0,300.0,288.0,299.0,300.0,355.42857,326.24432,331.91479,269.39025,62.52454,43.17358,19.35096,64.68749
2015-12-23,51.0,33837.0,10416853.0,328.0,293.0,328.0,299.0,356.92857,326.47841,331.31252,273.73172,57.5808,46.05502,11.52578,67.50074
2015-12-24,45.0,19474.0,6636074.0,360.0,328.0,331.0,328.0,356.5,327.08129,331.26444,277.97381,53.29063,47.50214,5.78848,67.77956
2015-12-25,45.0,19474.0,6636074.0,360.0,330.0,331.0,331.0,356.07143,327.60378,331.22376,281.90168,49.32208,47.86613,1.45595,67.77956
2015-12-26,45.0,19474.0,6636074.0,360.0,330.0,331.0,331.0,355.64286,328.05661,331.18933,285.53859,45.65074,47.42305,-1.77231,67.77956
2015-12-27,16.0,4457.0,1500652.0,345.0,331.0,339.0,331.0,353.42857,329.51573,332.39097,289.49869,42.89228,46.5169,-3.62462,68.61087
2015-12-28,3.0,2183.0,738939.0,339.0,333.0,333.0,339.0,348.14286,329.9803,332.48467,292.72101,39.76366,45.16625,-5.40259,67.24458
2015-12-29,10.0,2338.0,776704.0,336.0,329.0,330.0,333.0,339.78571,329.98293,332.10241,295.48242,36.61999,43.457,-6.83701,66.54884
2015-12-30,10.0,2338.0,776704.0,336.0,329.0,330.0,330.0,334.57143,329.9852,331.77896,298.03928,33.73969,41.51354,-7.77385,66.54884
2015-12-31,17.0,7697.0,2492506.0,331.0,320.0,320.0,330.0,331.21429,328.65384,329.96682,299.666,30.30082,39.27099,-8.97017,64.11113
2016-01-01,17.0,7697.0,2492506.0,331.0,320.0,320.0,320.0,327.85714,327.5,328.43346,301.17222,27.26124,36.86904,-9.6078,64.11113
2016-01-02,17.0,7697.0,2492506.0,331.0,320.0,320.0,320.0,324.5,326.5,327.136,302.56687,24.56913,34.40906,-9.83993,64.11113
2016-01-03,21.0,9153.0,2937244.0,326.0,314.0,314.0,320.0,323.28571,324.83333,325.11508,303.41377,21.70131,31.86751,-10.1662,62.52045
2016-01-04,25.0,9497.0,2881799.0,314.0,299.0,300.0,314.0,323.28571,321.52222,321.25122,303.1609,18.09033,29.11207,-11.02175,58.93776
2016-01-05,9.0,4650.0,1398627.0,305.0,297.0,301.0,300.0,323.42857,318.78592,318.13565,303.00083,15.13482,26.31662,-11.1818,59.11349
2016-01-06,20.0,17122.0,5177552.0,316.0,290.0,309.0,301.0,322.07143,317.48113,316.73016,303.44521,13.28495,23.71029,-10.42534,60.53224
2016-01-07,15.0,7164.0,2222274.0,317.0,307.0,307.0,309.0,320.35714,316.08365,315.23322,303.70853,11.52469,21.27317,-9.74848,59.98585
2016-01-08,15.0,7164.0,2222274.0,317.0,307.0,307.0,307.0,318.64286,314.8725,313.96657,303.95234,10.01422,19.02138,-9.00715,59.98585
2016-01-09,15.0,7164.0,2222274.0,317.0,307.0,307.0,307.0,316.92857,313.82283,312.89479,304.1781,8.71669,16.96044,-8.24375,59.98585
2016-01-10,21.0,6551.0,2019398.0,314.0,300.0,305.0,307.0,314.5,312.64645,311.68021,304.23898,7.44123,15.0566,-7.61537,59.36552
2016-01-11,15.0,10524.0,3166956.0,308.0,300.0,308.0,305.0,312.71429,312.02693,311.11402,304.51757,6.59645,13.36457,-6.76812,60.01675
