Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2011-02-01,1.0,10.0,3310.0,331.0,331.0,331.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-02,1.0,10.0,3310.0,331.0,331.0,331.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-03,1.0,10.0,3250.0,331.0,325.0,325.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-04,1.0,10.0,3250.0,325.0,325.0,325.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-05,1.0,10.0,3250.0,325.0,325.0,325.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-06,1.0,10.0,3250.0,325.0,325.0,325.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-07,1.0,10.0,3190.0,325.0,319.0,319.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-08,1.0,10.0,3190.0,319.0,319.0,319.0,319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-09,1.0,10.0,3190.0,319.0,319.0,319.0,319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-10,2.0,30.0,9060.0,319.0,298.0,298.0,319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-11,2.0,30.0,9060.0,304.0,298.0,298.0,298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-12,2.0,30.0,9060.0,304.0,298.0,298.0,298.0,0.0,0.0,317.75,0.0,0.0,0.0,0.0,0.0
2011-02-13,2.0,20.0,5810.0,298.0,288.0,288.0,298.0,0.0,0.0,313.17308,0.0,0.0,0.0,0.0,0.0
2011-02-14,8.0,350.0,95900.0,288.0,274.0,274.0,288.0,312.5,312.5,307.14645,0.0,0.0,0.0,0.0,0.0
2011-02-15,6.0,80.0,20770.0,274.0,249.0,249.0,274.0,306.64286,304.03333,298.20084,0.0,0.0,0.0,0.0,0.0
2011-02-16,4.0,70.0,16150.0,249.0,225.0,225.0,249.0,299.07143,293.49556,286.93917,0.0,0.0,0.0,0.0,0.0
2011-02-17,4.0,70.0,14490.0,225.0,203.0,203.0,225.0,290.35714,281.42948,274.02545,0.0,0.0,0.0,0.0,0.0
2011-02-18,4.0,70.0,14490.0,214.0,203.0,203.0,203.0,281.64286,270.97222,263.09846,0.0,0.0,0.0,0.0,0.0
2011-02-19,4.0,70.0,14490.0,214.0,203.0,203.0,203.0,272.92857,261.90925,253.85254,0.0,0.0,0.0,0.0,0.0
2011-02-20,4.0,80.0,15080.0,203.0,184.0,184.0,203.0,262.85714,251.52135,243.106,0.0,0.0,0.0,0.0,0.0
2011-02-21,6.0,100.0,17230.0,184.0,166.0,166.0,184.0,251.92857,240.11851,231.24354,0.0,0.0,0.0,0.0,0.0
2011-02-22,30.0,1270.0,190750.0,166.0,150.0,150.0,166.0,239.85714,228.10271,218.74453,0.0,0.0,0.0,0.0,0.0
2011-02-23,241.0,6960.0,972550.0,150.0,135.0,138.0,150.0,226.92857,216.08901,206.3223,0.0,0.0,0.0,0.0,0.0
2011-02-24,166.0,5190.0,718270.0,139.0,136.0,139.0,138.0,215.57143,205.81048,195.96502,0.0,0.0,0.0,0.0,0.73564
2011-02-25,166.0,5190.0,718270.0,139.0,136.0,139.0,139.0,204.21429,196.90241,187.20117,0.0,0.0,0.0,0.0,0.73564
2011-02-26,166.0,5190.0,718270.0,139.0,136.0,139.0,139.0,192.85714,189.18209,179.78561,250.5,-70.71439,-14.14288,-56.57152,0.73564
2011-02-27,90.0,3310.0,453340.0,139.0,135.0,136.0,139.0,182.0,182.09115,173.04936,242.01852,-68.96916,-25.10813,-43.86102,0.71732
2011-02-28,286.0,8670.0,1186260.0,138.0,135.0,137.0,136.0,172.21429,176.07899,167.5033,234.23937,-66.73607,-33.43372,-33.30234,1.57549
2011-03-01,79.0,3800.0,514170.0,137.0,134.0,135.0,137.0,164.07143,170.60179,162.5028,226.8883,-64.38551,-39.62408,-24.76143,1.5474
2011-03-02,79.0,3800.0,514170.0,137.0,134.0,135.0,135.0,157.64286,165.85489,158.2716,220.08176,-61.81017,-44.0613,-17.74887,1.5474
2011-03-03,85.0,2160.0,290840.0,139.0,131.0,133.0,135.0,152.64286,161.47424,154.38366,213.63126,-59.2476,-47.09856,-12.14905,1.51757
2011-03-04,85.0,2160.0,290840.0,139.0,131.0,133.0,133.0,147.64286,157.67767,151.09386,207.65858,-56.56471,-48.99179,-7.57292,1.51757
2011-03-05,85.0,2160.0,290840.0,139.0,131.0,133.0,133.0,142.64286,154.38732,148.31019,202.12831,-53.81812,-49.95705,-3.86106,1.51757
2011-03-06,85.0,2160.0,290840.0,139.0,131.0,133.0,133.0,139.0,151.53567,145.95478,197.0077,-51.05292,-50.17623,-0.87669,1.51757
2011-03-07,69.0,2020.0,267510.0,135.0,130.0,133.0,133.0,136.64286,149.06425,143.96174,192.26639,-48.30465,-49.80191,1.49726,1.51757
2011-03-08,69.0,2020.0,267510.0,135.0,130.0,133.0,133.0,135.42857,146.92235,142.27532,187.87628,-45.60097,-48.96172,3.36076,1.51757
2011-03-09,199.0,5770.0,772490.0,135.0,131.0,134.0,133.0,135.14286,145.19937,141.00219,183.88545,-42.88326,-47.74603,4.86277,2.77337
2011-03-10,76.0,2100.0,278580.0,134.0,132.0,133.0,134.0,134.71429,143.57279,139.77108,180.11615,-40.34507,-46.26584,5.92077,2.73673
2011-03-11,76.0,2100.0,278580.0,134.0,132.0,133.0,133.0,134.28571,142.16308,138.72938,176.62607,-37.89669,-44.59201,6.69532,2.73673
