Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-04-19,3.0,753.0,201305.0,270.0,260.0,260.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-20,2.0,244.0,61245.0,260.0,250.0,250.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-21,6.0,2008.0,491960.0,250.0,245.0,245.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-22,2.0,1010.0,245610.0,245.0,241.0,245.0,245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-23,2.0,1010.0,245610.0,245.0,241.0,245.0,245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-24,2.0,1010.0,245610.0,245.0,241.0,245.0,245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-25,2.0,1010.0,245610.0,245.0,241.0,245.0,245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-26,2.0,1010.0,245610.0,245.0,241.0,245.0,245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-27,2.0,305.0,72905.0,245.0,237.0,237.0,245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-28,2.0,305.0,72905.0,241.0,237.0,237.0,237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-29,2.0,305.0,72905.0,241.0,237.0,237.0,237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-30,2.0,305.0,72905.0,241.0,237.0,237.0,237.0,0.0,0.0,244.0,0.0,0.0,0.0,0.0,0.0
2010-05-01,2.0,305.0,72905.0,241.0,237.0,237.0,237.0,0.0,0.0,242.92308,0.0,0.0,0.0,0.0,0.0
2010-05-02,2.0,305.0,72905.0,241.0,237.0,237.0,237.0,243.0,243.0,242.01183,0.0,0.0,0.0,0.0,0.0
2010-05-03,2.0,305.0,72905.0,241.0,237.0,237.0,237.0,241.35714,242.2,241.24078,0.0,0.0,0.0,0.0,0.0
2010-05-04,2.0,305.0,72905.0,241.0,237.0,237.0,237.0,240.42857,241.50667,240.58835,0.0,0.0,0.0,0.0,0.0
2010-05-05,2.0,305.0,72905.0,241.0,237.0,237.0,237.0,239.85714,240.90578,240.0363,0.0,0.0,0.0,0.0,0.0
2010-05-06,2.0,305.0,72905.0,241.0,237.0,237.0,237.0,239.28571,240.38501,239.56918,0.0,0.0,0.0,0.0,0.0
2010-05-07,2.0,305.0,72905.0,241.0,237.0,237.0,237.0,238.71429,239.93367,239.17392,0.0,0.0,0.0,0.0,0.0
2010-05-08,2.0,305.0,72905.0,241.0,237.0,237.0,237.0,238.14286,239.54252,238.83947,0.0,0.0,0.0,0.0,0.0
2010-05-09,2.0,305.0,72905.0,241.0,237.0,237.0,237.0,237.57143,239.20351,238.55647,0.0,0.0,0.0,0.0,0.0
2010-05-10,2.0,305.0,72905.0,241.0,237.0,237.0,237.0,237.0,238.90971,238.31702,0.0,0.0,0.0,0.0,0.0
2010-05-11,1.0,20.0,4820.0,241.0,237.0,241.0,237.0,237.28571,239.18842,238.72978,0.0,0.0,0.0,0.0,4.68917
