Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2015-12-21,16.0,160.0,55940.0,356.0,324.0,356.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-22,1.0,10.0,3210.0,356.0,321.0,321.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-23,1.0,10.0,3210.0,321.0,321.0,321.0,321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-24,1.0,10.0,3210.0,321.0,321.0,321.0,321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-25,1.0,10.0,3210.0,321.0,321.0,321.0,321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-26,1.0,10.0,3210.0,321.0,321.0,321.0,321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-27,1.0,10.0,3210.0,321.0,321.0,321.0,321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-28,1.0,10.0,3210.0,321.0,321.0,321.0,321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-29,1.0,10.0,3210.0,321.0,321.0,321.0,321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-30,1.0,10.0,3210.0,321.0,321.0,321.0,321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-31,1.0,10.0,3210.0,321.0,321.0,321.0,321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01,1.0,10.0,3210.0,321.0,321.0,321.0,321.0,0.0,0.0,323.91667,0.0,0.0,0.0,0.0,0.0
2016-01-02,1.0,10.0,3210.0,321.0,321.0,321.0,321.0,0.0,0.0,323.46795,0.0,0.0,0.0,0.0,0.0
2016-01-03,1.0,10.0,3210.0,321.0,321.0,321.0,321.0,323.5,323.5,323.08826,0.0,0.0,0.0,0.0,0.0
2016-01-04,1.0,10.0,3270.0,327.0,321.0,327.0,321.0,321.42857,323.96667,323.69007,0.0,0.0,0.0,0.0,1.51597
2016-01-05,2.0,20.0,6720.0,339.0,327.0,339.0,327.0,322.71429,325.97111,326.04544,0.0,0.0,0.0,0.0,4.55451
2016-01-06,2.0,20.0,6720.0,339.0,333.0,339.0,339.0,324.0,327.7083,328.03845,0.0,0.0,0.0,0.0,4.55451
2016-01-07,1.0,10.0,3450.0,345.0,339.0,345.0,339.0,325.71429,330.01386,330.64792,0.0,0.0,0.0,0.0,6.15068
2016-01-08,1.0,10.0,3450.0,345.0,345.0,345.0,345.0,327.42857,332.01201,332.85593,0.0,0.0,0.0,0.0,6.15068
2016-01-09,1.0,10.0,3450.0,345.0,345.0,345.0,345.0,329.14286,333.74374,334.72425,0.0,0.0,0.0,0.0,6.15068
2016-01-10,1.0,10.0,3450.0,345.0,345.0,345.0,345.0,330.85714,335.24458,336.30514,0.0,0.0,0.0,0.0,6.15068
2016-01-11,5.0,50.0,18250.0,379.0,345.0,379.0,345.0,335.0,341.07863,342.87358,0.0,0.0,0.0,0.0,15.84443
2016-01-12,10.0,100.0,40830.0,416.0,379.0,416.0,379.0,341.78571,351.06815,354.1238,0.0,0.0,0.0,0.0,24.72834
2016-01-13,10.0,100.0,40830.0,416.0,386.0,416.0,416.0,348.57143,359.72573,363.64321,0.0,0.0,0.0,0.0,24.72834
2016-01-14,10.0,100.0,40830.0,416.0,386.0,416.0,416.0,355.35714,367.22896,371.6981,0.0,0.0,0.0,0.0,24.72834
2016-01-15,10.0,100.0,40830.0,416.0,386.0,416.0,416.0,362.14286,373.73177,378.51378,344.5,34.01378,6.80276,27.21102,24.72834
2016-01-16,10.0,100.0,40830.0,416.0,386.0,416.0,416.0,368.92857,379.36753,384.28089,349.7963,34.48459,12.33912,22.14547,24.72834
2016-01-17,10.0,100.0,40830.0,416.0,386.0,416.0,416.0,375.71429,384.25186,389.16075,354.70027,34.46048,16.76339,17.69708,24.72834
2016-01-18,10.0,100.0,40830.0,416.0,386.0,416.0,416.0,382.07143,388.48495,393.28987,359.24099,34.04887,20.22049,13.82838,24.72834
2016-01-19,10.0,100.0,40830.0,416.0,386.0,416.0,416.0,387.57143,392.15362,396.78373,363.44537,33.33837,22.84407,10.4943,24.72834
2016-01-20,10.0,100.0,40830.0,416.0,386.0,416.0,416.0,393.07143,395.33314,399.74008,367.3383,32.40178,24.75561,7.64617,24.72834
2016-01-21,10.0,100.0,40830.0,416.0,386.0,416.0,416.0,398.14286,398.08872,402.24161,370.94287,31.29874,26.06423,5.2345,24.72834
2016-01-22,10.0,100.0,40830.0,416.0,386.0,416.0,416.0,403.21429,400.47689,404.35828,374.28044,30.07785,26.86696,3.21089,24.72834
2016-01-23,10.0,100.0,40830.0,416.0,386.0,416.0,416.0,408.28571,402.54664,406.14932,377.37077,28.77854,27.24927,1.52927,24.72834
2016-01-24,10.0,100.0,40830.0,416.0,386.0,416.0,416.0,413.35714,404.34042,407.66481,380.2322,27.43261,27.28594,0.14667,24.72834
2016-01-25,10.0,100.0,40830.0,416.0,386.0,416.0,416.0,416.0,405.89503,408.94714,382.88167,26.06548,27.04185,-0.97637,24.72834
2016-01-26,10.0,100.0,40830.0,416.0,386.0,416.0,416.0,416.0,407.24236,410.0322,385.33488,24.69732,26.57294,-1.87562,24.72834
2016-01-27,10.0,100.0,40830.0,416.0,386.0,416.0,416.0,416.0,408.41005,410.95032,387.60637,23.34396,25.92715,-2.58319,24.72834
2016-01-28,10.0,100.0,40830.0,416.0,386.0,416.0,416.0,416.0,409.42204,411.7272,389.7096,22.0176,25.14524,-3.12764,24.72834
2016-01-29,10.0,100.0,40830.0,416.0,386.0,416.0,416.0,416.0,410.2991,412.38455,391.65704,20.72751,24.26169,-3.53418,24.72834
2016-01-30,10.0,100.0,40830.0,416.0,386.0,416.0,416.0,416.0,411.05922,412.94077,393.46022,19.48056,23.30546,-3.82491,24.72834
2016-01-31,10.0,100.0,40830.0,416.0,386.0,416.0,416.0,416.0,411.71799,413.41142,395.12983,18.28159,22.30069,-4.0191,24.72834
2016-02-01,10.0,100.0,40830.0,416.0,386.0,416.0,416.0,416.0,412.28893,413.80967,396.67577,17.1339,21.26733,-4.13344,24.72834
2016-02-02,10.0,100.0,40830.0,416.0,386.0,416.0,416.0,416.0,412.78374,414.14664,398.10719,16.03945,20.22175,-4.18231,24.72834
2016-02-03,10.0,100.0,40830.0,416.0,386.0,416.0,416.0,416.0,413.21257,414.43177,399.43259,14.99919,19.17724,-4.17806,24.72834
2016-02-04,10.0,100.0,40830.0,416.0,386.0,416.0,416.0,416.0,413.58423,414.67304,400.6598,14.01324,18.14444,-4.1312,24.72834
2016-02-05,10.0,100.0,40830.0,416.0,386.0,416.0,416.0,416.0,413.90633,414.87719,401.79611,13.08107,17.13177,-4.05069,24.72834
2016-02-06,10.0,100.0,40830.0,416.0,386.0,416.0,416.0,416.0,414.18549,415.04993,402.84825,12.20167,16.14575,-3.94407,24.72834
2016-02-07,10.0,100.0,40830.0,416.0,386.0,416.0,416.0,416.0,414.42742,415.19609,403.82246,11.37363,15.19132,-3.81769,24.72834
2016-02-08,10.0,100.0,40830.0,416.0,386.0,416.0,416.0,416.0,414.6371,415.31977,404.7245,10.59527,14.27211,-3.67684,24.72834
2016-02-09,10.0,100.0,40830.0,416.0,386.0,416.0,416.0,416.0,414.81882,415.42442,405.55972,9.8647,13.39063,-3.52593,24.72834
2016-02-10,10.0,100.0,40830.0,416.0,386.0,416.0,416.0,416.0,414.97631,415.51297,406.33307,9.1799,12.54849,-3.36859,24.72834
2016-02-11,10.0,100.0,40830.0,416.0,386.0,416.0,416.0,416.0,415.1128,415.5879,407.04914,8.53876,11.74654,-3.20778,24.72834
2016-02-12,10.0,100.0,40830.0,416.0,386.0,416.0,416.0,416.0,415.2311,415.6513,407.71217,7.93913,10.98506,-3.04593,24.72834
2016-02-13,10.0,100.0,40830.0,416.0,386.0,416.0,416.0,416.0,415.33362,415.70495,408.32608,7.37886,10.26382,-2.88496,24.72834
2016-02-14,10.0,100.0,40830.0,416.0,386.0,416.0,416.0,416.0,415.42247,415.75034,408.89452,6.85582,9.58222,-2.7264,24.72834
2016-02-15,10.0,100.0,40830.0,416.0,386.0,416.0,416.0,416.0,415.49947,415.78875,409.42085,6.3679,8.93935,-2.57146,24.72834
2016-02-16,10.0,100.0,40830.0,416.0,386.0,416.0,416.0,416.0,415.56621,415.82125,409.9082,5.91305,8.33409,-2.42104,24.72834
2016-02-17,10.0,100.0,40830.0,416.0,386.0,416.0,416.0,416.0,415.62405,415.84875,410.35944,5.48931,7.76514,-2.27583,24.72834
2016-02-18,10.0,100.0,40830.0,416.0,386.0,416.0,416.0,416.0,415.67417,415.87202,410.77726,5.09476,7.23106,-2.1363,24.72834
2016-02-19,10.0,100.0,40830.0,416.0,386.0,416.0,416.0,416.0,415.71762,415.89171,411.16413,4.72758,6.73036,-2.00279,24.72834
2016-02-20,10.0,100.0,40830.0,416.0,386.0,416.0,416.0,416.0,415.75527,415.90837,411.52234,4.38603,6.2615,-1.87547,24.72834
2016-02-21,10.0,100.0,40830.0,416.0,386.0,416.0,416.0,416.0,415.7879,415.92247,411.85402,4.06844,5.82289,-1.75444,24.72834
2016-02-22,10.0,100.0,40830.0,416.0,386.0,416.0,416.0,416.0,415.81618,415.93439,412.16113,3.77326,5.41296,-1.6397,24.72834
2016-02-23,10.0,100.0,40830.0,416.0,386.0,416.0,416.0,416.0,415.84069,415.94449,412.44549,3.499,5.03017,-1.53117,24.72834
2016-02-24,10.0,100.0,40830.0,416.0,386.0,416.0,416.0,416.0,415.86193,415.95303,412.70879,3.24424,4.67298,-1.42874,24.72834
2016-02-25,10.0,100.0,40830.0,416.0,386.0,416.0,416.0,416.0,415.88034,415.96025,412.95258,3.00767,4.33992,-1.33225,24.72834
2016-02-26,10.0,100.0,40830.0,416.0,386.0,416.0,416.0,416.0,415.89629,415.96637,413.17832,2.78805,4.02955,-1.24149,24.72834
2016-02-27,10.0,100.0,40830.0,416.0,386.0,416.0,416.0,416.0,415.91012,415.97154,413.38733,2.58421,3.74048,-1.15627,24.72834
2016-02-28,10.0,100.0,40830.0,416.0,386.0,416.0,416.0,416.0,415.92211,415.97592,413.58086,2.39506,3.4714,-1.07634,24.72834
2016-02-29,10.0,100.0,40830.0,416.0,386.0,416.0,416.0,416.0,415.93249,415.97963,413.76006,2.21957,3.22103,-1.00146,24.72834
2016-03-01,10.0,100.0,40830.0,416.0,386.0,416.0,416.0,416.0,415.94149,415.98276,413.92598,2.05678,2.98818,-0.9314,24.72834
