Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2011-04-27,1.0,10.0,3290.0,329.0,329.0,329.0,329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-28,1.0,10.0,3290.0,329.0,329.0,329.0,329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-29,1.0,10.0,3290.0,329.0,329.0,329.0,329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-30,1.0,10.0,3290.0,329.0,329.0,329.0,329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-01,1.0,10.0,3290.0,329.0,329.0,329.0,329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-02,1.0,10.0,3290.0,329.0,329.0,329.0,329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-03,1.0,10.0,3290.0,329.0,329.0,329.0,329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-04,1.0,10.0,3290.0,329.0,329.0,329.0,329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-05,2.0,20.0,6400.0,329.0,317.0,317.0,329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-06,2.0,20.0,6400.0,323.0,317.0,317.0,317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-07,2.0,20.0,6400.0,323.0,317.0,317.0,317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-08,2.0,20.0,6400.0,323.0,317.0,317.0,317.0,0.0,0.0,325.0,0.0,0.0,0.0,0.0,0.0
2011-05-09,2.0,20.0,6400.0,323.0,317.0,317.0,317.0,0.0,0.0,323.76923,0.0,0.0,0.0,0.0,0.0
2011-05-10,2.0,20.0,6400.0,323.0,317.0,317.0,317.0,323.85714,323.85714,322.72781,0.0,0.0,0.0,0.0,0.0
2011-05-11,2.0,20.0,6400.0,323.0,317.0,317.0,317.0,323.0,322.94286,321.84661,0.0,0.0,0.0,0.0,0.0
2011-05-12,2.0,20.0,6400.0,323.0,317.0,317.0,317.0,322.14286,322.15048,321.10098,0.0,0.0,0.0,0.0,0.0
2011-05-13,2.0,20.0,6400.0,323.0,317.0,317.0,317.0,321.28571,321.46375,320.47006,0.0,0.0,0.0,0.0,0.0
2011-05-14,2.0,20.0,6400.0,323.0,317.0,317.0,317.0,320.42857,320.86858,319.9362,0.0,0.0,0.0,0.0,0.0
2011-05-15,2.0,20.0,6160.0,317.0,305.0,305.0,317.0,318.71429,318.75277,317.63833,0.0,0.0,0.0,0.0,0.0
2011-05-16,2.0,20.0,6160.0,311.0,305.0,305.0,305.0,317.0,316.91907,315.69397,0.0,0.0,0.0,0.0,0.0
2011-05-17,2.0,20.0,6160.0,311.0,305.0,305.0,305.0,315.28571,315.32986,314.04874,0.0,0.0,0.0,0.0,0.0
2011-05-18,1.0,120.0,35880.0,305.0,299.0,299.0,305.0,313.14286,313.15254,311.73355,0.0,0.0,0.0,0.0,0.0
2011-05-19,1.0,120.0,35880.0,299.0,299.0,299.0,299.0,311.85714,311.26554,309.77454,0.0,0.0,0.0,0.0,0.0
