Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-04-15,2.0,20.0,4220.0,213.0,209.0,209.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-16,2.0,20.0,4220.0,213.0,209.0,209.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-17,2.0,20.0,4220.0,213.0,209.0,209.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-18,2.0,20.0,4220.0,213.0,209.0,209.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-19,1.0,826.0,162722.0,209.0,197.0,197.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-20,1.0,826.0,162722.0,197.0,197.0,197.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-21,1.0,826.0,162722.0,197.0,197.0,197.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-22,1.0,826.0,162722.0,197.0,197.0,197.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-23,1.0,826.0,162722.0,197.0,197.0,197.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-24,1.0,826.0,162722.0,197.0,197.0,197.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-25,1.0,826.0,162722.0,197.0,197.0,197.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-26,1.0,826.0,162722.0,197.0,197.0,197.0,197.0,0.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0
2010-04-27,2.0,20.0,3850.0,197.0,191.0,191.0,197.0,0.0,0.0,199.46154,0.0,0.0,0.0,0.0,0.0
2010-04-28,3.0,30.0,5550.0,191.0,182.0,182.0,191.0,198.92857,198.92857,196.77515,0.0,0.0,0.0,0.0,0.0
2010-04-29,3.0,30.0,5550.0,188.0,182.0,182.0,182.0,197.0,196.67143,194.50205,0.0,0.0,0.0,0.0,0.0
2010-04-30,3.0,30.0,5550.0,188.0,182.0,182.0,182.0,195.07143,194.71524,192.57866,0.0,0.0,0.0,0.0,0.0
2010-05-01,3.0,30.0,5550.0,188.0,182.0,182.0,182.0,193.14286,193.01987,190.95117,0.0,0.0,0.0,0.0,0.0
