Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2013-10-08,2.0,430.0,68800.0,160.0,160.0,160.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-09,2.0,430.0,68800.0,160.0,160.0,160.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-10,2.0,430.0,68800.0,160.0,160.0,160.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-11,2.0,430.0,68800.0,160.0,160.0,160.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-12,2.0,430.0,68800.0,160.0,160.0,160.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-13,2.0,430.0,68800.0,160.0,160.0,160.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-14,2.0,430.0,68800.0,160.0,160.0,160.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-15,2.0,430.0,68800.0,160.0,160.0,160.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-16,2.0,430.0,68800.0,160.0,160.0,160.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-17,2.0,430.0,68800.0,160.0,160.0,160.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-18,2.0,430.0,68800.0,160.0,160.0,160.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-19,2.0,430.0,68800.0,160.0,160.0,160.0,160.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0
2013-10-20,2.0,430.0,68800.0,160.0,160.0,160.0,160.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0
