Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2011-02-21,24.0,1460.0,192360.0,132.0,130.0,130.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-22,24.0,1460.0,192360.0,132.0,130.0,130.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-23,24.0,1460.0,192360.0,132.0,130.0,130.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-24,24.0,1460.0,192360.0,132.0,130.0,130.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-25,24.0,1460.0,192360.0,132.0,130.0,130.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-26,24.0,1460.0,192360.0,132.0,130.0,130.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-27,24.0,1460.0,192360.0,132.0,130.0,130.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-28,24.0,1460.0,192360.0,132.0,130.0,130.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-01,24.0,1460.0,192360.0,132.0,130.0,130.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-02,24.0,1460.0,192360.0,132.0,130.0,130.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-03,24.0,1460.0,192360.0,132.0,130.0,130.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-04,24.0,1460.0,192360.0,132.0,130.0,130.0,130.0,0.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0
2011-03-05,24.0,1460.0,192360.0,132.0,130.0,130.0,130.0,0.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0
2011-03-06,24.0,1460.0,192360.0,132.0,130.0,130.0,130.0,130.0,130.0,130.0,0.0,0.0,0.0,0.0,0.0
2011-03-07,24.0,1460.0,192360.0,132.0,130.0,130.0,130.0,130.0,130.0,130.0,0.0,0.0,0.0,0.0,0.0
2011-03-08,24.0,1460.0,192360.0,132.0,130.0,130.0,130.0,130.0,130.0,130.0,0.0,0.0,0.0,0.0,0.0
2011-03-09,2.0,100.0,12680.0,130.0,126.0,126.0,130.0,129.71429,129.46667,129.38462,0.0,0.0,0.0,0.0,0.0
2011-03-10,2.0,100.0,12680.0,128.0,126.0,126.0,126.0,129.42857,129.00444,128.86391,0.0,0.0,0.0,0.0,0.0
2011-03-11,2.0,100.0,12680.0,128.0,126.0,126.0,126.0,129.14286,128.60385,128.4233,0.0,0.0,0.0,0.0,0.0
