Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-04-15,2.0,38.0,33060.0,870.0,870.0,870.0,870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-16,2.0,38.0,33060.0,870.0,870.0,870.0,870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-17,2.0,38.0,33060.0,870.0,870.0,870.0,870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-18,2.0,38.0,33060.0,870.0,870.0,870.0,870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-19,2.0,38.0,33060.0,870.0,870.0,870.0,870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-20,1.0,67.0,58960.0,880.0,870.0,880.0,870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-04-21,2.0,69.0,59224.0,880.0,846.0,846.0,880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.88184
2010-04-22,2.0,69.0,59224.0,863.0,846.0,846.0,846.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.88184
2010-04-23,2.0,69.0,59224.0,863.0,846.0,846.0,846.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.88184
2010-04-24,2.0,69.0,59224.0,863.0,846.0,846.0,846.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.88184
2010-04-25,6.0,272.0,217685.0,846.0,773.0,773.0,846.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.20105
2010-04-26,8.0,795.0,569782.0,773.0,696.0,696.0,773.0,0.0,0.0,840.25,0.0,0.0,0.0,0.0,4.13128
2010-04-27,11.0,661.0,451640.0,696.0,676.0,689.0,696.0,0.0,0.0,816.98077,0.0,0.0,0.0,0.0,3.96974
2010-04-28,12.0,590.0,418264.0,724.0,689.0,724.0,689.0,821.14286,821.14286,802.67604,0.0,0.0,0.0,0.0,20.32529
2010-04-29,9.0,441.0,342606.0,796.0,724.0,796.0,724.0,815.85714,817.79048,801.64895,0.0,0.0,0.0,0.0,41.75331
2010-04-30,9.0,441.0,342606.0,796.0,738.0,796.0,796.0,810.57143,814.88508,800.77988,0.0,0.0,0.0,0.0,41.75331
2010-05-01,9.0,441.0,342606.0,796.0,738.0,796.0,796.0,805.28571,812.36707,800.04452,0.0,0.0,0.0,0.0,41.75331
2010-05-02,9.0,441.0,342606.0,796.0,738.0,796.0,796.0,800.0,810.18479,799.42228,0.0,0.0,0.0,0.0,41.75331
2010-05-03,9.0,441.0,342606.0,796.0,738.0,796.0,796.0,794.71429,808.29349,798.89578,0.0,0.0,0.0,0.0,41.75331
2010-05-04,9.0,441.0,342606.0,796.0,738.0,796.0,796.0,788.71429,806.65436,798.45027,0.0,0.0,0.0,0.0,41.75331
2010-05-05,9.0,441.0,342606.0,796.0,738.0,796.0,796.0,785.14286,805.23377,798.07331,0.0,0.0,0.0,0.0,41.75331
2010-05-06,9.0,441.0,342606.0,796.0,738.0,796.0,796.0,781.57143,804.0026,797.75434,0.0,0.0,0.0,0.0,41.75331
2010-05-07,9.0,441.0,342606.0,796.0,738.0,796.0,796.0,778.0,802.93559,797.48444,0.0,0.0,0.0,0.0,41.75331
2010-05-08,9.0,441.0,342606.0,796.0,738.0,796.0,796.0,774.42857,802.01085,797.25606,0.0,0.0,0.0,0.0,41.75331
2010-05-09,9.0,441.0,342606.0,796.0,738.0,796.0,796.0,776.07143,801.2094,797.06282,0.0,0.0,0.0,0.0,41.75331
2010-05-10,17.0,517.0,429177.0,875.0,795.0,874.0,796.0,788.78571,810.91481,808.89931,812.53846,-3.63915,-0.72783,-2.91132,61.12526
2010-05-11,16.0,531.0,484294.0,930.0,874.0,928.0,874.0,805.85714,826.52617,827.2225,821.09117,6.13133,0.644,5.48733,68.69392
2010-05-12,19.0,495.0,465729.0,965.0,912.0,965.0,928.0,823.07143,844.98935,848.41903,831.75108,16.66795,3.84879,12.81916,72.54025
2010-05-13,21.0,725.0,702966.0,1006.0,951.0,1006.0,965.0,838.07143,866.45744,872.66226,844.65841,28.00385,8.6798,19.32405,75.9747
2010-05-14,21.0,725.0,702966.0,1006.0,951.0,1006.0,1006.0,853.07143,885.06311,893.17576,856.60964,36.56612,14.25707,22.30905,75.9747
2010-05-15,21.0,725.0,702966.0,1006.0,951.0,1006.0,1006.0,868.07143,901.18803,910.53333,867.67559,42.85774,19.9772,22.88054,75.9747
2010-05-16,11.0,225.0,222615.0,1025.0,961.0,1006.0,1006.0,883.07143,915.16296,925.22051,877.92184,47.29867,25.4415,21.85717,75.9747
2010-05-17,11.0,225.0,222615.0,1025.0,961.0,1006.0,1006.0,898.07143,927.27456,937.64813,887.40911,50.23901,30.401,19.83801,75.9747
2010-05-18,9.0,545.0,504522.0,1006.0,906.0,906.0,1006.0,905.92857,924.43796,932.77918,888.78622,43.99297,33.11939,10.87357,54.68422
2010-05-19,16.0,1361.0,1170282.0,906.0,842.0,861.0,906.0,910.57143,915.97956,921.73623,886.72798,35.00825,33.49717,1.51109,48.29016
2010-05-20,7.0,478.0,422160.0,890.0,861.0,880.0,861.0,916.57143,911.18229,915.31527,886.22961,29.08566,32.61486,-3.5292,50.83857
2010-05-21,7.0,478.0,422160.0,890.0,878.0,880.0,880.0,922.57143,907.02465,909.88215,885.76816,24.114,30.91469,-6.80069,50.83857
2010-05-22,7.0,478.0,422160.0,890.0,878.0,880.0,880.0,928.57143,903.42136,905.2849,885.34089,19.94401,28.72056,-8.77654,50.83857
2010-05-23,6.0,885.0,797574.0,910.0,880.0,910.0,880.0,936.71429,904.29851,906.0103,887.16749,18.84281,26.74501,-7.90219,54.90111
2010-05-24,7.0,314.0,279446.0,910.0,875.0,875.0,910.0,936.78571,900.39205,901.23948,886.26619,14.97329,24.39066,-9.41737,49.85436
2010-05-25,8.0,456.0,412093.0,924.0,875.0,924.0,875.0,936.5,903.53977,904.7411,889.06129,15.67981,22.64849,-6.96868,55.82384
2010-05-26,8.0,866.0,823786.0,960.0,924.0,955.0,924.0,935.78571,910.40114,912.47324,893.94564,18.5276,21.82432,-3.29671,59.06122
