Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-06-07,3.0,357720.0,35772020.0,101.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-08,3.0,357720.0,35772020.0,101.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-09,3.0,357720.0,35772020.0,101.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-10,3.0,357720.0,35772020.0,101.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-11,3.0,357720.0,35772020.0,101.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-12,3.0,357720.0,35772020.0,101.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-13,3.0,357720.0,35772020.0,101.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-14,3.0,357720.0,35772020.0,101.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-15,3.0,357720.0,35772020.0,101.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-16,3.0,357720.0,35772020.0,101.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-17,3.0,357720.0,35772020.0,101.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-18,3.0,357720.0,35772020.0,101.0,100.0,100.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2010-06-19,3.0,357720.0,35772020.0,101.0,100.0,100.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2010-06-20,3.0,357720.0,35772020.0,101.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0
2010-06-21,3.0,357720.0,35772020.0,101.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0
2010-06-22,3.0,357720.0,35772020.0,101.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0
2010-06-23,3.0,357720.0,35772020.0,101.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0
2010-06-24,3.0,357720.0,35772020.0,101.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0
2010-06-25,3.0,357720.0,35772020.0,101.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0
2010-06-26,3.0,357720.0,35772020.0,101.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0
2010-06-27,3.0,357720.0,35772020.0,101.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0
2010-06-28,3.0,357720.0,35772020.0,101.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0
2010-06-29,3.0,357720.0,35772020.0,101.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0
2010-06-30,3.0,357720.0,35772020.0,101.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0
2010-07-01,3.0,357720.0,35772020.0,101.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0
2010-07-02,3.0,357720.0,35772020.0,101.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2010-07-03,3.0,357720.0,35772020.0,101.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2010-07-04,3.0,357720.0,35772020.0,101.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2010-07-05,3.0,357720.0,35772020.0,101.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2010-07-06,3.0,357720.0,35772020.0,101.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2010-07-07,3.0,357720.0,35772020.0,101.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2010-07-08,3.0,357720.0,35772020.0,101.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2010-07-09,3.0,357720.0,35772020.0,101.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2010-07-10,3.0,357720.0,35772020.0,101.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2010-07-11,3.0,357720.0,35772020.0,101.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2010-07-12,3.0,357720.0,35772020.0,101.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2010-07-13,3.0,357720.0,35772020.0,101.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2010-07-14,3.0,357720.0,35772020.0,101.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2010-07-15,3.0,357720.0,35772020.0,101.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2010-07-16,3.0,357720.0,35772020.0,101.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2010-07-17,3.0,357720.0,35772020.0,101.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2010-07-18,3.0,357720.0,35772020.0,101.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2010-07-19,3.0,357720.0,35772020.0,101.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2010-07-20,3.0,357720.0,35772020.0,101.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2010-07-21,3.0,357720.0,35772020.0,101.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2010-07-22,3.0,357720.0,35772020.0,101.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2010-07-23,3.0,357720.0,35772020.0,101.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2010-07-24,3.0,357720.0,35772020.0,101.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2010-07-25,3.0,357720.0,35772020.0,101.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2010-07-26,3.0,357720.0,35772020.0,101.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
