Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2011-03-16,10.0,200.0,67000.0,335.0,335.0,335.0,335.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-17,10.0,200.0,67000.0,335.0,335.0,335.0,335.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-18,10.0,200.0,67000.0,335.0,335.0,335.0,335.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-19,10.0,200.0,67000.0,335.0,335.0,335.0,335.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-20,10.0,200.0,67000.0,335.0,335.0,335.0,335.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-21,6.0,60.0,18870.0,335.0,302.0,302.0,335.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-22,13.0,150.0,42620.0,302.0,272.0,272.0,302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-23,13.0,150.0,42620.0,295.0,272.0,272.0,272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-24,13.0,150.0,42620.0,295.0,272.0,272.0,272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-25,13.0,150.0,42620.0,295.0,272.0,272.0,272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-26,13.0,150.0,42620.0,295.0,272.0,272.0,272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-27,13.0,150.0,42620.0,295.0,272.0,272.0,272.0,0.0,0.0,300.75,0.0,0.0,0.0,0.0,0.0
2011-03-28,1.0,10.0,2670.0,272.0,267.0,267.0,272.0,0.0,0.0,295.55769,0.0,0.0,0.0,0.0,0.0
2011-03-29,1.0,10.0,2670.0,267.0,267.0,267.0,267.0,295.92857,295.92857,291.1642,0.0,0.0,0.0,0.0,0.0
2011-03-30,1.0,10.0,2670.0,267.0,267.0,267.0,267.0,291.07143,292.07143,287.44663,0.0,0.0,0.0,0.0,0.0
2011-03-31,1.0,10.0,2670.0,267.0,267.0,267.0,267.0,286.21429,288.72857,284.301,0.0,0.0,0.0,0.0,0.0
