Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-05-31,1.0,50.0,11500.0,230.0,230.0,230.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-01,1.0,50.0,11500.0,230.0,230.0,230.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-02,1.0,50.0,11500.0,230.0,230.0,230.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-03,1.0,100.0,23400.0,234.0,230.0,234.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-06-04,1.0,100.0,23400.0,234.0,234.0,234.0,234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-06-05,1.0,100.0,23400.0,234.0,234.0,234.0,234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-06-06,1.0,100.0,23400.0,234.0,234.0,234.0,234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-06-07,1.0,100.0,23400.0,234.0,234.0,234.0,234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-06-08,1.0,100.0,23400.0,234.0,234.0,234.0,234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-06-09,1.0,100.0,23400.0,234.0,234.0,234.0,234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-06-10,1.0,100.0,23400.0,234.0,234.0,234.0,234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-06-11,1.0,100.0,23400.0,234.0,234.0,234.0,234.0,0.0,0.0,233.0,0.0,0.0,0.0,0.0,100.0
2010-06-12,1.0,100.0,23400.0,234.0,234.0,234.0,234.0,0.0,0.0,233.15385,0.0,0.0,0.0,0.0,100.0
2010-06-13,1.0,100.0,23400.0,234.0,234.0,234.0,234.0,233.14286,233.14286,233.28402,0.0,0.0,0.0,0.0,100.0
2010-06-14,1.0,100.0,23400.0,234.0,234.0,234.0,234.0,233.42857,233.25714,233.39417,0.0,0.0,0.0,0.0,100.0
2010-06-15,1.0,100.0,23400.0,234.0,234.0,234.0,234.0,233.71429,233.35619,233.48738,0.0,0.0,0.0,0.0,100.0
2010-06-16,1.0,100.0,23400.0,234.0,234.0,234.0,234.0,234.0,233.44203,233.56624,0.0,0.0,0.0,0.0,100.0
2010-06-17,1.0,100.0,23400.0,234.0,234.0,234.0,234.0,234.0,233.51643,233.63297,0.0,0.0,0.0,0.0,100.0
2010-06-18,1.0,100.0,23400.0,234.0,234.0,234.0,234.0,234.0,233.5809,233.68944,0.0,0.0,0.0,0.0,100.0
2010-06-19,1.0,100.0,23400.0,234.0,234.0,234.0,234.0,234.0,233.63678,233.73722,0.0,0.0,0.0,0.0,100.0
2010-06-20,1.0,100.0,23400.0,234.0,234.0,234.0,234.0,234.0,233.68521,233.77765,0.0,0.0,0.0,0.0,100.0
2010-06-21,1.0,100.0,23400.0,234.0,234.0,234.0,234.0,234.0,233.72718,233.81185,0.0,0.0,0.0,0.0,100.0
2010-06-22,1.0,100.0,23400.0,234.0,234.0,234.0,234.0,234.0,233.76356,233.8408,0.0,0.0,0.0,0.0,100.0
2010-06-23,1.0,100.0,23400.0,234.0,234.0,234.0,234.0,234.0,233.79508,233.86529,0.0,0.0,0.0,0.0,100.0
2010-06-24,1.0,100.0,23400.0,234.0,234.0,234.0,234.0,234.0,233.82241,233.88602,0.0,0.0,0.0,0.0,100.0
2010-06-25,1.0,100.0,23400.0,234.0,234.0,234.0,234.0,234.0,233.84609,233.90355,233.53846,0.36509,0.07302,0.29207,100.0
2010-06-26,1.0,100.0,23400.0,234.0,234.0,234.0,234.0,234.0,233.86661,233.91839,233.57265,0.34574,0.12756,0.21818,100.0
2010-06-27,1.0,100.0,23400.0,234.0,234.0,234.0,234.0,234.0,233.88439,233.93095,233.60431,0.32664,0.16738,0.15926,100.0
2010-06-28,1.0,100.0,23400.0,234.0,234.0,234.0,234.0,234.0,233.89981,233.94157,233.63362,0.30795,0.19549,0.11246,100.0
2010-06-29,1.0,100.0,23400.0,234.0,234.0,234.0,234.0,234.0,233.91317,233.95056,233.66076,0.2898,0.21436,0.07545,100.0
2010-06-30,1.0,100.0,23400.0,234.0,234.0,234.0,234.0,234.0,233.92474,233.95817,233.68588,0.27228,0.22594,0.04634,100.0
2010-07-01,1.0,100.0,23400.0,234.0,234.0,234.0,234.0,234.0,233.93478,233.9646,233.70915,0.25545,0.23184,0.02361,100.0
