Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-04-15,3.0,396.0,89628.0,230.0,223.0,223.0,223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-16,3.0,396.0,89628.0,230.0,223.0,223.0,223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-17,3.0,396.0,89628.0,230.0,223.0,223.0,223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-18,3.0,396.0,89628.0,230.0,223.0,223.0,223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-19,2.0,460.0,104580.0,228.0,223.0,228.0,223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-04-20,2.0,460.0,104580.0,228.0,225.0,228.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-04-21,12.0,1370.0,307552.0,228.0,222.0,224.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.13496
2010-04-22,4.0,2042.0,455048.0,224.0,220.0,224.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.13496
2010-04-23,4.0,2042.0,455048.0,224.0,220.0,224.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.13496
2010-04-24,4.0,2042.0,455048.0,224.0,220.0,224.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.13496
2010-04-25,2.0,176.0,39248.0,224.0,223.0,223.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.51121
2010-04-26,1.0,90.0,20070.0,223.0,223.0,223.0,223.0,0.0,0.0,224.16667,0.0,0.0,0.0,0.0,46.51121
2010-04-27,3.0,954.0,209880.0,223.0,220.0,220.0,223.0,0.0,0.0,223.52564,0.0,0.0,0.0,0.0,32.93274
2010-04-28,3.0,954.0,209880.0,220.0,220.0,220.0,220.0,223.57143,223.57143,222.98323,0.0,0.0,0.0,0.0,32.93274
2010-04-29,3.0,954.0,209880.0,220.0,220.0,220.0,220.0,223.35714,223.09524,222.52428,0.0,0.0,0.0,0.0,32.93274
2010-04-30,3.0,954.0,209880.0,220.0,220.0,220.0,220.0,223.14286,222.68254,222.13593,0.0,0.0,0.0,0.0,32.93274
2010-05-01,3.0,954.0,209880.0,220.0,220.0,220.0,220.0,222.92857,222.32487,221.80732,0.0,0.0,0.0,0.0,32.93274
2010-05-02,3.0,954.0,209880.0,220.0,220.0,220.0,220.0,222.71429,222.01489,221.52927,0.0,0.0,0.0,0.0,32.93274
2010-05-03,3.0,954.0,209880.0,220.0,220.0,220.0,220.0,222.14286,221.74623,221.294,0.0,0.0,0.0,0.0,32.93274
2010-05-04,3.0,954.0,209880.0,220.0,220.0,220.0,220.0,221.57143,221.5134,221.09492,0.0,0.0,0.0,0.0,32.93274
2010-05-05,3.0,954.0,209880.0,220.0,220.0,220.0,220.0,221.28571,221.31162,220.92647,0.0,0.0,0.0,0.0,32.93274
2010-05-06,3.0,954.0,209880.0,220.0,220.0,220.0,220.0,221.0,221.13673,220.78394,0.0,0.0,0.0,0.0,32.93274
2010-05-07,3.0,954.0,209880.0,220.0,220.0,220.0,220.0,220.71429,220.98517,220.66333,0.0,0.0,0.0,0.0,32.93274
2010-05-08,3.0,954.0,209880.0,220.0,220.0,220.0,220.0,220.42857,220.85381,220.56128,0.0,0.0,0.0,0.0,32.93274
2010-05-09,3.0,954.0,209880.0,220.0,220.0,220.0,220.0,220.21429,220.73997,220.47493,0.0,0.0,0.0,0.0,32.93274
