Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-06-15,3.0,165.0,37455.0,227.0,227.0,227.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-16,3.0,165.0,37455.0,227.0,227.0,227.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-17,3.0,165.0,37455.0,227.0,227.0,227.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-18,3.0,165.0,37455.0,227.0,227.0,227.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-19,3.0,165.0,37455.0,227.0,227.0,227.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-20,3.0,165.0,37455.0,227.0,227.0,227.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-21,3.0,165.0,37455.0,227.0,227.0,227.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-22,3.0,165.0,37455.0,227.0,227.0,227.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-23,3.0,165.0,37455.0,227.0,227.0,227.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-24,3.0,165.0,37455.0,227.0,227.0,227.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-25,3.0,165.0,37455.0,227.0,227.0,227.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-26,3.0,165.0,37455.0,227.0,227.0,227.0,227.0,0.0,0.0,227.0,0.0,0.0,0.0,0.0,0.0
2010-06-27,3.0,165.0,37455.0,227.0,227.0,227.0,227.0,0.0,0.0,227.0,0.0,0.0,0.0,0.0,0.0
2010-06-28,3.0,165.0,37455.0,227.0,227.0,227.0,227.0,227.0,227.0,227.0,0.0,0.0,0.0,0.0,0.0
2010-06-29,3.0,165.0,37455.0,227.0,227.0,227.0,227.0,227.0,227.0,227.0,0.0,0.0,0.0,0.0,0.0
