Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2011-01-10,4.0,280.0,86040.0,315.0,303.0,303.0,303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-11,15.0,930.0,263340.0,303.0,283.0,283.0,303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-12,15.0,930.0,263340.0,288.0,283.0,283.0,283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-13,15.0,930.0,263340.0,288.0,283.0,283.0,283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-14,15.0,930.0,263340.0,288.0,283.0,283.0,283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-15,15.0,930.0,263340.0,288.0,283.0,283.0,283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-16,15.0,930.0,263340.0,288.0,283.0,283.0,283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-17,6.0,60.0,15950.0,283.0,255.0,255.0,283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-18,6.0,310.0,71960.0,255.0,230.0,230.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-19,15.0,600.0,126920.0,230.0,207.0,207.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-20,14.0,1160.0,221020.0,207.0,188.0,188.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-21,14.0,1160.0,221020.0,197.0,188.0,188.0,188.0,0.0,0.0,255.75,0.0,0.0,0.0,0.0,0.0
2011-01-22,14.0,1160.0,221020.0,197.0,188.0,188.0,188.0,0.0,0.0,245.32692,0.0,0.0,0.0,0.0,0.0
2011-01-23,9.0,670.0,115820.0,188.0,170.0,170.0,188.0,244.78571,244.78571,233.73817,0.0,0.0,0.0,0.0,0.0
2011-01-24,6.0,60.0,9580.0,170.0,153.0,153.0,170.0,234.07143,232.54762,221.31691,0.0,0.0,0.0,0.0,0.0
2011-01-25,6.0,60.0,9580.0,167.0,153.0,153.0,153.0,224.78571,221.94127,210.80662,0.0,0.0,0.0,0.0,0.0
