Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2012-07-15,8.0,641.0,88645.0,190.0,116.0,187.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-16,8.0,641.0,88645.0,190.0,116.0,187.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-17,6.0,230.0,40520.0,187.0,169.0,169.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-18,6.0,230.0,40520.0,184.0,169.0,169.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-19,5.0,50.0,8000.0,169.0,154.0,154.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-20,5.0,50.0,8000.0,166.0,154.0,154.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-21,5.0,50.0,8000.0,166.0,154.0,154.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-22,7.0,80.0,11490.0,154.0,139.0,139.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-23,274.0,51945.0,6950535.0,139.0,126.0,135.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-24,279.0,46765.0,6192404.0,137.0,130.0,135.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-25,208.0,26669.0,3612935.0,138.0,134.0,138.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.98291
2012-07-26,131.0,21788.0,2970876.0,138.0,134.0,137.0,138.0,0.0,0.0,154.83333,0.0,0.0,0.0,0.0,6.81632
2012-07-27,131.0,21788.0,2970876.0,138.0,134.0,137.0,137.0,0.0,0.0,152.08974,0.0,0.0,0.0,0.0,6.81632
2012-07-28,131.0,21788.0,2970876.0,138.0,134.0,137.0,137.0,152.28571,152.28571,149.76824,0.0,0.0,0.0,0.0,6.81632
2012-07-29,114.0,17089.0,2301667.0,137.0,132.0,133.0,137.0,148.42857,149.71429,147.18851,0.0,0.0,0.0,0.0,6.13823
2012-07-30,76.0,12361.0,1641667.0,135.0,131.0,134.0,133.0,144.64286,147.61905,145.15951,0.0,0.0,0.0,0.0,8.52693
