Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2013-10-08,1.0,100.0,11700.0,117.0,117.0,117.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-09,1.0,100.0,11700.0,117.0,117.0,117.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-10,1.0,100.0,11700.0,117.0,117.0,117.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-11,1.0,100.0,11700.0,117.0,117.0,117.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-12,1.0,100.0,11700.0,117.0,117.0,117.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-13,1.0,100.0,11700.0,117.0,117.0,117.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-14,1.0,100.0,11700.0,117.0,117.0,117.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-15,1.0,100.0,11700.0,117.0,117.0,117.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-16,1.0,100.0,11700.0,117.0,117.0,117.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-17,1.0,100.0,11700.0,117.0,117.0,117.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-18,1.0,100.0,11700.0,117.0,117.0,117.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-19,1.0,100.0,11700.0,117.0,117.0,117.0,117.0,0.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0
2013-10-20,1.0,100.0,11700.0,117.0,117.0,117.0,117.0,0.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0
2013-10-21,1.0,100.0,11700.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,0.0,0.0,0.0,0.0,0.0
2013-10-22,1.0,100.0,11700.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,0.0,0.0,0.0,0.0,0.0
2013-10-23,1.0,100.0,11700.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,0.0,0.0,0.0,0.0,0.0
2013-10-24,1.0,100.0,11700.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,0.0,0.0,0.0,0.0,0.0
2013-10-25,1.0,100.0,11700.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,0.0,0.0,0.0,0.0,0.0
