Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-05-12,3.0,250.0,80550.0,327.0,315.0,327.0,327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-13,5.0,670.0,223710.0,335.0,327.0,335.0,327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-05-14,5.0,670.0,223710.0,335.0,330.0,335.0,335.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-05-15,5.0,670.0,223710.0,335.0,330.0,335.0,335.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-05-16,2.0,100.0,33800.0,341.0,335.0,335.0,335.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-05-17,2.0,100.0,33800.0,341.0,335.0,335.0,335.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-05-18,2.0,100.0,33800.0,341.0,335.0,335.0,335.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-05-19,2.0,100.0,33800.0,341.0,335.0,335.0,335.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-05-20,4.0,130.0,42600.0,335.0,324.0,324.0,335.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.56406
2010-05-21,4.0,130.0,42600.0,330.0,324.0,324.0,324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.56406
2010-05-22,4.0,130.0,42600.0,330.0,324.0,324.0,324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.56406
2010-05-23,4.0,130.0,42600.0,330.0,324.0,324.0,324.0,0.0,0.0,330.66667,0.0,0.0,0.0,0.0,91.56406
2010-05-24,4.0,130.0,42600.0,330.0,324.0,324.0,324.0,0.0,0.0,329.64103,0.0,0.0,0.0,0.0,91.56406
2010-05-25,1.0,580.0,190820.0,329.0,324.0,329.0,324.0,330.07143,330.07143,329.54241,0.0,0.0,0.0,0.0,91.95765
2010-05-26,1.0,200.0,66000.0,330.0,329.0,330.0,329.0,330.28571,330.0619,329.61281,0.0,0.0,0.0,0.0,92.03568
2010-05-27,1.0,200.0,66000.0,330.0,330.0,330.0,330.0,329.92857,330.05365,329.67237,0.0,0.0,0.0,0.0,92.03568
2010-05-28,1.0,200.0,66000.0,330.0,330.0,330.0,330.0,329.57143,330.0465,329.72278,0.0,0.0,0.0,0.0,92.03568
2010-05-29,1.0,200.0,66000.0,330.0,330.0,330.0,330.0,329.21429,330.0403,329.76543,0.0,0.0,0.0,0.0,92.03568
2010-05-30,1.0,200.0,66000.0,330.0,330.0,330.0,330.0,328.85714,330.03492,329.80152,0.0,0.0,0.0,0.0,92.03568
2010-05-31,1.0,200.0,66000.0,330.0,330.0,330.0,330.0,328.5,330.03027,329.83205,0.0,0.0,0.0,0.0,92.03568
2010-06-01,1.0,200.0,66000.0,330.0,330.0,330.0,330.0,328.14286,330.02623,329.85789,0.0,0.0,0.0,0.0,92.03568
2010-06-02,1.0,200.0,66000.0,330.0,330.0,330.0,330.0,327.78571,330.02273,329.87975,0.0,0.0,0.0,0.0,92.03568
2010-06-03,1.0,200.0,66000.0,330.0,330.0,330.0,330.0,328.21429,330.0197,329.89825,0.0,0.0,0.0,0.0,92.03568
2010-06-04,1.0,200.0,66000.0,330.0,330.0,330.0,330.0,328.64286,330.01708,329.91391,0.0,0.0,0.0,0.0,92.03568
2010-06-05,1.0,200.0,66000.0,330.0,330.0,330.0,330.0,329.07143,330.0148,329.92715,0.0,0.0,0.0,0.0,92.03568
2010-06-06,1.0,200.0,66000.0,330.0,330.0,330.0,330.0,329.5,330.01283,329.93836,330.03846,-0.1001,-0.02002,-0.08008,92.03568
2010-06-07,1.0,200.0,66000.0,330.0,330.0,330.0,330.0,329.92857,330.01112,329.94784,330.03561,-0.08777,-0.03357,-0.0542,92.03568
2010-06-08,1.0,200.0,66000.0,330.0,330.0,330.0,330.0,330.0,330.00963,329.95587,330.03297,-0.07711,-0.04228,-0.03483,92.03568
2010-06-09,1.0,200.0,66000.0,330.0,330.0,330.0,330.0,330.0,330.00835,329.96266,330.03053,-0.06788,-0.0474,-0.02048,92.03568
2010-06-10,3.0,527.0,169221.0,330.0,318.0,323.0,330.0,329.5,329.0739,328.89148,329.50975,-0.61827,-0.16157,-0.4567,80.64828
2010-06-11,3.0,527.0,169221.0,324.0,318.0,323.0,323.0,329.0,328.26405,327.9851,329.02755,-1.04245,-0.33775,-0.7047,80.64828
2010-06-12,3.0,527.0,169221.0,324.0,318.0,323.0,323.0,328.5,327.56218,327.21816,328.58106,-1.3629,-0.54278,-0.82012,80.64828
2010-06-13,1.0,100.0,31700.0,323.0,317.0,317.0,323.0,327.57143,326.15389,325.64613,327.72321,-2.07707,-0.84964,-1.22743,71.82979
2010-06-14,1.0,100.0,31700.0,317.0,317.0,317.0,317.0,326.64286,324.93337,324.31596,326.92889,-2.61293,-1.2023,-1.41064,71.82979
2010-06-15,1.0,100.0,31700.0,317.0,317.0,317.0,317.0,325.71429,323.87559,323.19043,326.19342,-3.00299,-1.56244,-1.44056,71.82979
2010-06-16,1.0,100.0,31700.0,317.0,317.0,317.0,317.0,324.78571,322.95884,322.23805,325.51243,-3.27437,-1.90482,-1.36955,71.82979
2010-06-17,1.0,100.0,31700.0,317.0,317.0,317.0,317.0,323.85714,322.16433,321.4322,324.88188,-3.44968,-2.21379,-1.23588,71.82979
2010-06-18,1.0,100.0,31700.0,317.0,317.0,317.0,317.0,322.92857,321.47575,320.75032,324.29803,-3.54771,-2.48058,-1.06713,71.82979
2010-06-19,1.0,100.0,31700.0,317.0,317.0,317.0,317.0,322.0,320.87898,320.17335,323.75744,-3.58409,-2.70128,-0.88281,71.82979
2010-06-20,1.0,100.0,31700.0,317.0,317.0,317.0,317.0,321.07143,320.36179,319.68514,323.25689,-3.57175,-2.87537,-0.69637,71.82979
2010-06-21,1.0,100.0,31700.0,317.0,317.0,317.0,317.0,320.14286,319.91355,319.27204,322.79341,-3.52137,-3.00457,-0.5168,71.82979
2010-06-22,1.0,100.0,31700.0,317.0,317.0,317.0,317.0,319.21429,319.52508,318.9225,322.36427,-3.44177,-3.09201,-0.34976,71.82979
2010-06-23,1.0,100.0,31700.0,317.0,317.0,317.0,317.0,318.28571,319.1884,318.62673,321.96692,-3.34019,-3.14165,-0.19854,71.82979
2010-06-24,1.0,100.0,31700.0,317.0,317.0,317.0,317.0,317.85714,318.89661,318.37646,321.599,-3.22254,-3.15783,-0.06471,71.82979
2010-06-25,1.0,100.0,31700.0,317.0,317.0,317.0,317.0,317.42857,318.64373,318.1647,321.25833,-3.09363,-3.14499,0.05135,71.82979
2010-06-26,1.0,100.0,31700.0,317.0,317.0,317.0,317.0,317.0,318.42457,317.98552,320.9429,-2.95739,-3.10747,0.15008,71.82979
2010-06-27,1.0,100.0,31700.0,317.0,317.0,317.0,317.0,317.0,318.23462,317.8339,320.65083,-2.81694,-3.04936,0.23242,71.82979
2010-06-28,1.0,100.0,31700.0,317.0,317.0,317.0,317.0,317.0,318.07001,317.70561,320.3804,-2.6748,-2.97445,0.29965,71.82979
2010-06-29,1.0,100.0,31700.0,317.0,317.0,317.0,317.0,317.0,317.92734,317.59705,320.13,-2.53295,-2.88615,0.3532,71.82979
2010-06-30,1.0,100.0,31700.0,317.0,317.0,317.0,317.0,317.0,317.80369,317.5052,319.89815,-2.39295,-2.78751,0.39456,71.82979
2010-07-01,1.0,100.0,31700.0,317.0,317.0,317.0,317.0,317.0,317.69654,317.42747,319.68347,-2.256,-2.68121,0.42521,71.82979
2010-07-02,1.0,100.0,31700.0,317.0,317.0,317.0,317.0,317.0,317.60366,317.36171,319.4847,-2.12299,-2.56956,0.44658,71.82979
2010-07-03,1.0,100.0,31700.0,317.0,317.0,317.0,317.0,317.0,317.52318,317.30606,319.30064,-1.99458,-2.45457,0.45998,71.82979
2010-07-04,1.0,100.0,31700.0,317.0,317.0,317.0,317.0,317.0,317.45342,317.25898,319.13023,-1.87125,-2.3379,0.46665,71.82979
2010-07-05,1.0,100.0,31700.0,317.0,317.0,317.0,317.0,317.0,317.39296,317.21913,318.97243,-1.7533,-2.22098,0.46768,71.82979
2010-07-06,1.0,13.0,4095.0,317.0,315.0,315.0,317.0,316.85714,317.0739,316.87773,318.67818,-1.80045,-2.13688,0.33643,64.59793
2010-07-07,1.0,13.0,4095.0,315.0,315.0,315.0,315.0,316.71429,316.79738,316.58885,318.40572,-1.81687,-2.07288,0.256,64.59793
2010-07-08,1.0,13.0,4095.0,315.0,315.0,315.0,315.0,316.57143,316.55773,316.34441,318.15344,-1.80904,-2.02011,0.21107,64.59793
2010-07-09,1.0,13.0,4095.0,315.0,315.0,315.0,315.0,316.42857,316.35003,316.13758,317.91986,-1.78228,-1.97254,0.19026,64.59793
2010-07-10,1.0,13.0,4095.0,315.0,315.0,315.0,315.0,316.28571,316.17003,315.96256,317.70357,-1.74101,-1.92623,0.18523,64.59793
2010-07-11,1.0,13.0,4095.0,315.0,315.0,315.0,315.0,316.14286,316.01402,315.81448,317.50331,-1.68883,-1.87875,0.18993,64.59793
2010-07-12,1.0,13.0,4095.0,315.0,315.0,315.0,315.0,316.0,315.87882,315.68917,317.31788,-1.6287,-1.82874,0.20004,64.59793
2010-07-13,1.0,13.0,4095.0,315.0,315.0,315.0,315.0,315.85714,315.76165,315.58315,317.14618,-1.56303,-1.7756,0.21257,64.59793
2010-07-14,1.0,13.0,4095.0,315.0,315.0,315.0,315.0,315.71429,315.66009,315.49343,316.98721,-1.49377,-1.71924,0.22546,64.59793
2010-07-15,1.0,13.0,4095.0,315.0,315.0,315.0,315.0,315.57143,315.57208,315.41752,316.84,-1.42249,-1.65989,0.2374,64.59793
2010-07-16,1.0,13.0,4095.0,315.0,315.0,315.0,315.0,315.42857,315.4958,315.35329,316.70371,-1.35042,-1.59799,0.24757,64.59793
2010-07-17,1.0,13.0,4095.0,315.0,315.0,315.0,315.0,315.28571,315.4297,315.29893,316.57751,-1.27857,-1.53411,0.25554,64.59793
2010-07-18,1.0,13.0,4095.0,315.0,315.0,315.0,315.0,315.14286,315.3724,315.25294,316.46066,-1.20771,-1.46883,0.26112,64.59793
2010-07-19,1.0,13.0,4095.0,315.0,315.0,315.0,315.0,315.0,315.32275,315.21403,316.35246,-1.13843,-1.40275,0.26432,64.59793
2010-07-20,1.0,13.0,4095.0,315.0,315.0,315.0,315.0,315.0,315.27972,315.1811,316.25228,-1.07117,-1.33643,0.26526,64.59793
2010-07-21,1.0,13.0,4095.0,315.0,315.0,315.0,315.0,315.0,315.24242,315.15324,316.15952,-1.00627,-1.2704,0.26413,64.59793
2010-07-22,1.0,13.0,4095.0,315.0,315.0,315.0,315.0,315.0,315.2101,315.12966,316.07363,-0.94396,-1.20511,0.26115,64.59793
2010-07-23,1.0,13.0,4095.0,315.0,315.0,315.0,315.0,315.0,315.18208,315.10972,315.9941,-0.88438,-1.14097,0.25659,64.59793
2010-07-24,1.0,13.0,4095.0,315.0,315.0,315.0,315.0,315.0,315.15781,315.09284,315.92046,-0.82762,-1.0783,0.25068,64.59793
2010-07-25,1.0,13.0,4095.0,315.0,315.0,315.0,315.0,315.0,315.13677,315.07855,315.85228,-0.77372,-1.01738,0.24366,64.59793
2010-07-26,1.0,13.0,4095.0,315.0,315.0,315.0,315.0,315.0,315.11853,315.06647,315.78915,-0.72268,-0.95844,0.23576,64.59793
2010-07-27,1.0,13.0,4095.0,315.0,315.0,315.0,315.0,315.0,315.10273,315.05624,315.73069,-0.67445,-0.90164,0.2272,64.59793
2010-07-28,1.0,13.0,4095.0,315.0,315.0,315.0,315.0,315.0,315.08903,315.04759,315.67657,-0.62898,-0.84711,0.21813,64.59793
2010-07-29,1.0,13.0,4095.0,315.0,315.0,315.0,315.0,315.0,315.07716,315.04027,315.62645,-0.58618,-0.79492,0.20874,64.59793
2010-07-30,1.0,13.0,4095.0,315.0,315.0,315.0,315.0,315.0,315.06687,315.03407,315.58005,-0.54597,-0.74513,0.19916,64.59793
2010-07-31,1.0,13.0,4095.0,315.0,315.0,315.0,315.0,315.0,315.05795,315.02883,315.53708,-0.50825,-0.69776,0.18951,64.59793
2010-08-01,1.0,13.0,4095.0,315.0,315.0,315.0,315.0,315.0,315.05023,315.0244,315.4973,-0.4729,-0.65279,0.17989,64.59793
2010-08-02,1.0,13.0,4095.0,315.0,315.0,315.0,315.0,315.0,315.04353,315.02064,315.46046,-0.43982,-0.61019,0.17038,64.59793
2010-08-03,1.0,13.0,4095.0,315.0,315.0,315.0,315.0,315.0,315.03773,315.01747,315.42635,-0.40888,-0.56993,0.16105,64.59793
2010-08-04,1.0,13.0,4095.0,315.0,315.0,315.0,315.0,315.0,315.0327,315.01478,315.39477,-0.37999,-0.53194,0.15195,64.59793
2010-08-05,11.0,1001.0,334132.0,340.0,315.0,340.0,315.0,316.78571,318.36167,318.85866,317.21738,1.64128,-0.0973,1.73858,94.5021
2010-08-06,11.0,1001.0,334132.0,340.0,321.0,340.0,340.0,318.57143,321.24678,322.11117,318.90498,3.20619,0.5634,2.64279,94.5021
2010-08-07,11.0,1001.0,334132.0,340.0,321.0,340.0,340.0,320.35714,323.74721,324.8633,320.46757,4.39573,1.32987,3.06586,94.5021
2010-08-08,11.0,1001.0,334132.0,340.0,321.0,340.0,340.0,322.14286,325.91425,327.19202,321.91442,5.2776,2.11941,3.15819,94.5021
2010-08-09,1.0,27.0,9018.0,340.0,334.0,334.0,340.0,323.5,326.99235,328.2394,322.80965,5.42976,2.78148,2.64827,75.81898
2010-08-10,1.0,27.0,9018.0,334.0,334.0,334.0,334.0,324.85714,327.9267,329.12565,323.63856,5.48709,3.3226,2.16448,75.81898
2010-08-11,2.0,57.0,19002.0,336.0,331.0,336.0,334.0,326.35714,329.00314,330.18324,324.55423,5.62902,3.78389,1.84513,77.45685
2010-08-12,1.0,27.0,9207.0,341.0,336.0,341.0,336.0,328.21429,330.60272,331.84736,325.77243,6.07493,4.24209,1.83283,80.85997
2010-08-13,1.0,27.0,9207.0,341.0,341.0,341.0,341.0,330.07143,331.98903,333.25546,326.9004,6.35506,4.66469,1.69037,80.85997
2010-08-14,1.0,27.0,9207.0,341.0,341.0,341.0,341.0,331.92857,333.19049,334.44693,327.94481,6.50211,5.03217,1.46994,80.85997
2010-08-15,4.0,208.0,70990.0,342.0,340.0,340.0,341.0,333.71429,334.09842,335.30124,328.83779,6.46345,5.31843,1.14503,78.12927
2010-08-16,5.0,490.0,164170.0,340.0,334.0,334.0,340.0,335.07143,334.0853,335.10105,329.22018,5.88088,5.43092,0.44996,64.42292
2010-08-17,5.0,655.0,219610.0,340.0,333.0,340.0,334.0,336.85714,334.87393,335.85474,330.01868,5.83606,5.51195,0.32411,69.95695
2010-08-18,4.0,545.0,180375.0,340.0,330.0,331.0,340.0,338.0,334.3574,335.10785,330.09137,5.01648,5.41285,-0.39637,56.19069
2010-08-19,4.0,545.0,180375.0,335.0,330.0,331.0,331.0,337.35714,333.90975,334.47588,330.15868,4.3172,5.19372,-0.87652,56.19069
