Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2015-12-10,10.0,590.0,237510.0,419.0,381.0,419.0,419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-11,10.0,590.0,237510.0,419.0,381.0,419.0,419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-12,10.0,590.0,237510.0,419.0,381.0,419.0,419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-13,10.0,590.0,237510.0,419.0,381.0,419.0,419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-14,10.0,590.0,237510.0,419.0,381.0,419.0,419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-15,10.0,590.0,237510.0,419.0,381.0,419.0,419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-16,10.0,590.0,237510.0,419.0,381.0,419.0,419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-17,10.0,100.0,45070.0,460.0,419.0,460.0,419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-12-18,10.0,100.0,45070.0,460.0,427.0,460.0,460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-12-19,10.0,100.0,45070.0,460.0,427.0,460.0,460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-12-20,10.0,100.0,45070.0,460.0,427.0,460.0,460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-12-21,10.0,100.0,45070.0,460.0,427.0,460.0,460.0,0.0,0.0,436.08333,0.0,0.0,0.0,0.0,100.0
2015-12-22,10.0,100.0,45070.0,460.0,427.0,460.0,460.0,0.0,0.0,439.76282,0.0,0.0,0.0,0.0,100.0
2015-12-23,10.0,100.0,45070.0,460.0,427.0,460.0,460.0,439.5,439.5,442.87623,0.0,0.0,0.0,0.0,100.0
2015-12-24,10.0,100.0,45070.0,460.0,427.0,460.0,460.0,442.42857,442.23333,445.51066,0.0,0.0,0.0,0.0,100.0
2015-12-25,10.0,100.0,45070.0,460.0,427.0,460.0,460.0,445.35714,444.60222,447.73979,0.0,0.0,0.0,0.0,100.0
2015-12-26,10.0,100.0,45070.0,460.0,427.0,460.0,460.0,448.28571,446.65526,449.62597,0.0,0.0,0.0,0.0,100.0
2015-12-27,10.0,100.0,45070.0,460.0,427.0,460.0,460.0,451.21429,448.43456,451.22198,0.0,0.0,0.0,0.0,100.0
2015-12-28,10.0,100.0,45070.0,460.0,427.0,460.0,460.0,454.14286,449.97662,452.57244,0.0,0.0,0.0,0.0,100.0
2015-12-29,10.0,100.0,45070.0,460.0,427.0,460.0,460.0,457.07143,451.31307,453.71514,0.0,0.0,0.0,0.0,100.0
2015-12-30,10.0,100.0,45070.0,460.0,427.0,460.0,460.0,460.0,452.47133,454.68205,0.0,0.0,0.0,0.0,100.0
2015-12-31,10.0,100.0,45070.0,460.0,427.0,460.0,460.0,460.0,453.47515,455.50019,0.0,0.0,0.0,0.0,100.0
2016-01-01,10.0,100.0,45070.0,460.0,427.0,460.0,460.0,460.0,454.34513,456.19247,0.0,0.0,0.0,0.0,100.0
2016-01-02,10.0,100.0,45070.0,460.0,427.0,460.0,460.0,460.0,455.09911,456.77824,0.0,0.0,0.0,0.0,100.0
2016-01-03,10.0,100.0,45070.0,460.0,427.0,460.0,460.0,460.0,455.75256,457.2739,0.0,0.0,0.0,0.0,100.0
2016-01-04,10.0,100.0,45070.0,460.0,427.0,460.0,460.0,460.0,456.31889,457.6933,448.96154,8.73176,1.74635,6.98541,100.0
2016-01-05,10.0,100.0,45070.0,460.0,427.0,460.0,460.0,460.0,456.8097,458.04818,449.7792,8.26897,3.05088,5.2181,100.0
2016-01-06,10.0,100.0,45070.0,460.0,427.0,460.0,460.0,460.0,457.23508,458.34846,450.5363,7.81216,4.00313,3.80903,100.0
2016-01-07,10.0,100.0,45070.0,460.0,427.0,460.0,460.0,460.0,457.60373,458.60254,451.23731,7.36523,4.67555,2.68968,100.0
2016-01-08,10.0,100.0,45070.0,460.0,427.0,460.0,460.0,460.0,457.92324,458.81753,451.8864,6.93113,5.12667,1.80446,100.0
2016-01-09,10.0,100.0,45070.0,460.0,427.0,460.0,460.0,460.0,458.20014,458.99945,452.48741,6.51204,5.40374,1.1083,100.0
2016-01-10,10.0,100.0,45070.0,460.0,427.0,460.0,460.0,460.0,458.44012,459.15338,453.0439,6.10949,5.54489,0.56459,100.0
2016-01-11,10.0,100.0,45070.0,460.0,427.0,460.0,460.0,460.0,458.6481,459.28363,453.55916,5.72447,5.58081,0.14366,100.0
2016-01-12,10.0,100.0,45070.0,460.0,427.0,460.0,460.0,460.0,458.82836,459.39384,454.03626,5.35758,5.53616,-0.17858,100.0
2016-01-13,10.0,100.0,45070.0,460.0,427.0,460.0,460.0,460.0,458.98458,459.4871,454.47802,5.00908,5.43074,-0.42167,100.0
2016-01-14,10.0,100.0,45070.0,460.0,427.0,460.0,460.0,460.0,459.11997,459.56601,454.88706,4.67895,5.28039,-0.60144,100.0
2016-01-15,10.0,100.0,45070.0,460.0,427.0,460.0,460.0,460.0,459.2373,459.63277,455.26579,4.36698,5.0977,-0.73072,100.0
2016-01-16,10.0,100.0,45070.0,460.0,427.0,460.0,460.0,460.0,459.339,459.68927,455.61648,4.07279,4.89272,-0.81993,100.0
2016-01-17,10.0,100.0,45070.0,460.0,427.0,460.0,460.0,460.0,459.42713,459.73707,455.94118,3.79589,4.67336,-0.87746,100.0
2016-01-18,10.0,100.0,45070.0,460.0,427.0,460.0,460.0,460.0,459.50351,459.77752,456.24183,3.53569,4.44582,-0.91013,100.0
2016-01-19,10.0,100.0,45070.0,460.0,427.0,460.0,460.0,460.0,459.56971,459.81175,456.52022,3.29154,4.21497,-0.92343,100.0
2016-01-20,10.0,100.0,45070.0,460.0,427.0,460.0,460.0,460.0,459.62708,459.84071,456.77798,3.06273,3.98452,-0.92178,100.0
2016-01-21,10.0,100.0,45070.0,460.0,427.0,460.0,460.0,460.0,459.67681,459.86522,457.01665,2.84857,3.75733,-0.90876,100.0
2016-01-22,10.0,100.0,45070.0,460.0,427.0,460.0,460.0,460.0,459.7199,459.88595,457.23764,2.64832,3.53553,-0.88721,100.0
2016-01-23,10.0,100.0,45070.0,460.0,427.0,460.0,460.0,460.0,459.75724,459.9035,457.44226,2.46124,3.32067,-0.85943,100.0
2016-01-24,10.0,100.0,45070.0,460.0,427.0,460.0,460.0,460.0,459.78961,459.91835,457.63172,2.28663,3.11386,-0.82723,100.0
2016-01-25,10.0,100.0,45070.0,460.0,427.0,460.0,460.0,460.0,459.81766,459.93091,457.80715,2.12376,2.91584,-0.79208,100.0
2016-01-26,10.0,100.0,45070.0,460.0,427.0,460.0,460.0,460.0,459.84198,459.94154,457.96958,1.97196,2.72707,-0.75511,100.0
2016-01-27,10.0,100.0,45070.0,460.0,427.0,460.0,460.0,460.0,459.86305,459.95053,458.11998,1.83055,2.54776,-0.71721,100.0
2016-01-28,10.0,100.0,45070.0,460.0,427.0,460.0,460.0,460.0,459.88131,459.95814,458.25924,1.6989,2.37799,-0.67909,100.0
2016-01-29,10.0,100.0,45070.0,460.0,427.0,460.0,460.0,460.0,459.89713,459.96458,458.38819,1.57639,2.21767,-0.64128,100.0
2016-01-30,10.0,100.0,45070.0,460.0,427.0,460.0,460.0,460.0,459.91085,459.97003,458.50758,1.46245,2.06663,-0.60418,100.0
2016-01-31,10.0,100.0,45070.0,460.0,427.0,460.0,460.0,460.0,459.92273,459.97464,458.61813,1.35651,1.9246,-0.56809,100.0
2016-02-01,10.0,100.0,45070.0,460.0,427.0,460.0,460.0,460.0,459.93304,459.97854,458.72049,1.25805,1.79129,-0.53324,100.0
2016-02-02,10.0,100.0,45070.0,460.0,427.0,460.0,460.0,460.0,459.94197,459.98184,458.81527,1.16657,1.66635,-0.49978,100.0
2016-02-03,10.0,100.0,45070.0,460.0,427.0,460.0,460.0,460.0,459.9497,459.98464,458.90303,1.08161,1.5494,-0.46779,100.0
2016-02-04,10.0,100.0,45070.0,460.0,427.0,460.0,460.0,460.0,459.95641,459.987,458.98428,1.00272,1.44006,-0.43735,100.0
