Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2012-08-16,1.0,345.0,69000.0,200.0,200.0,200.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-17,1.0,345.0,69000.0,200.0,200.0,200.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-18,1.0,345.0,69000.0,200.0,200.0,200.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-19,1.0,345.0,69000.0,200.0,200.0,200.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-20,1.0,345.0,69000.0,200.0,200.0,200.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-21,2.0,690.0,135240.0,200.0,196.0,196.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-22,2.0,690.0,135240.0,196.0,196.0,196.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-23,2.0,690.0,135240.0,196.0,196.0,196.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-24,2.0,690.0,135240.0,196.0,196.0,196.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-25,2.0,690.0,135240.0,196.0,196.0,196.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-26,2.0,690.0,135240.0,196.0,196.0,196.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-27,2.0,690.0,135240.0,196.0,196.0,196.0,196.0,0.0,0.0,197.66667,0.0,0.0,0.0,0.0,0.0
2012-08-28,2.0,690.0,135240.0,196.0,196.0,196.0,196.0,0.0,0.0,197.41026,0.0,0.0,0.0,0.0,0.0
2012-08-29,2.0,690.0,135240.0,196.0,196.0,196.0,196.0,197.42857,197.42857,197.19329,0.0,0.0,0.0,0.0,0.0
2012-08-30,2.0,690.0,135240.0,196.0,196.0,196.0,196.0,197.14286,197.2381,197.00971,0.0,0.0,0.0,0.0,0.0
2012-08-31,2.0,690.0,135240.0,196.0,196.0,196.0,196.0,196.85714,197.07302,196.85437,0.0,0.0,0.0,0.0,0.0
2012-09-01,2.0,690.0,135240.0,196.0,196.0,196.0,196.0,196.57143,196.92995,196.72293,0.0,0.0,0.0,0.0,0.0
2012-09-02,2.0,690.0,135240.0,196.0,196.0,196.0,196.0,196.28571,196.80595,196.61171,0.0,0.0,0.0,0.0,0.0
2012-09-03,2.0,690.0,135240.0,196.0,196.0,196.0,196.0,196.0,196.69849,196.5176,0.0,0.0,0.0,0.0,0.0
2012-09-04,2.0,690.0,135240.0,196.0,196.0,196.0,196.0,196.0,196.60536,196.43797,0.0,0.0,0.0,0.0,0.0
2012-09-05,2.0,690.0,135240.0,196.0,196.0,196.0,196.0,196.0,196.52465,196.37059,0.0,0.0,0.0,0.0,0.0
2012-09-06,2.0,690.0,135240.0,196.0,196.0,196.0,196.0,196.0,196.45469,196.31358,0.0,0.0,0.0,0.0,0.0
2012-09-07,2.0,690.0,135240.0,196.0,196.0,196.0,196.0,196.0,196.39407,196.26533,0.0,0.0,0.0,0.0,0.0
2012-09-08,2.0,690.0,135240.0,196.0,196.0,196.0,196.0,196.0,196.34153,196.22451,0.0,0.0,0.0,0.0,0.0
2012-09-09,2.0,690.0,135240.0,196.0,196.0,196.0,196.0,196.0,196.29599,196.18997,0.0,0.0,0.0,0.0,0.0
2012-09-10,2.0,690.0,135240.0,196.0,196.0,196.0,196.0,196.0,196.25652,196.16075,196.76923,-0.60849,-0.1217,-0.48679,0.0
2012-09-11,2.0,690.0,135240.0,196.0,196.0,196.0,196.0,196.0,196.22232,196.13602,196.71225,-0.57624,-0.2126,-0.36363,0.0
2012-09-12,2.0,690.0,135240.0,196.0,196.0,196.0,196.0,196.0,196.19268,196.11509,196.65949,-0.5444,-0.27896,-0.26544,0.0
2012-09-13,2.0,690.0,135240.0,196.0,196.0,196.0,196.0,196.0,196.16699,196.09738,196.61064,-0.51326,-0.32582,-0.18743,0.0
2012-09-14,2.0,690.0,135240.0,196.0,196.0,196.0,196.0,196.0,196.14472,196.0824,196.56541,-0.48301,-0.35726,-0.12575,0.0
2012-09-15,2.0,690.0,135240.0,196.0,196.0,196.0,196.0,196.0,196.12543,196.06972,196.52353,-0.4538,-0.37657,-0.07723,0.0
2012-09-16,2.0,690.0,135240.0,196.0,196.0,196.0,196.0,196.0,196.1087,196.059,196.48475,-0.42575,-0.3864,-0.03934,0.0
2012-09-17,2.0,690.0,135240.0,196.0,196.0,196.0,196.0,196.0,196.09421,196.04992,196.44884,-0.39892,-0.38891,-0.01001,0.0
2012-09-18,2.0,690.0,135240.0,196.0,196.0,196.0,196.0,196.0,196.08165,196.04224,196.41559,-0.37335,-0.3858,0.01244,0.0
2012-09-19,2.0,690.0,135240.0,196.0,196.0,196.0,196.0,196.0,196.07076,196.03574,196.38481,-0.34906,-0.37845,0.02938,0.0
