Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-04-15,2.0,162.0,39730.0,249.0,245.0,249.0,249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-16,2.0,162.0,39730.0,249.0,245.0,249.0,249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-17,2.0,162.0,39730.0,249.0,245.0,249.0,249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-18,2.0,162.0,39730.0,249.0,245.0,249.0,249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-19,4.0,1502.0,366774.0,249.0,242.0,243.0,249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-20,22.0,5341.0,1313753.0,253.0,235.0,235.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-21,4.0,10485.0,2461465.0,235.0,229.0,229.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-22,18.0,6717.0,1481482.0,229.0,216.0,217.0,229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-23,18.0,6717.0,1481482.0,225.0,216.0,217.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-24,18.0,6717.0,1481482.0,225.0,216.0,217.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-25,18.0,6717.0,1481482.0,225.0,216.0,217.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-26,18.0,6717.0,1481482.0,225.0,216.0,217.0,217.0,0.0,0.0,232.33333,0.0,0.0,0.0,0.0,0.0
2010-04-27,18.0,6717.0,1481482.0,225.0,216.0,217.0,217.0,0.0,0.0,229.97436,0.0,0.0,0.0,0.0,0.0
2010-04-28,18.0,6717.0,1481482.0,225.0,216.0,217.0,217.0,230.14286,230.14286,227.9783,0.0,0.0,0.0,0.0,0.0
2010-04-29,18.0,6717.0,1481482.0,225.0,216.0,217.0,217.0,227.85714,228.39048,226.28933,0.0,0.0,0.0,0.0,0.0
2010-04-30,18.0,6717.0,1481482.0,225.0,216.0,217.0,217.0,225.57143,226.87175,224.86021,0.0,0.0,0.0,0.0,0.0
2010-05-01,18.0,6717.0,1481482.0,225.0,216.0,217.0,217.0,223.28571,225.55551,223.65094,0.0,0.0,0.0,0.0,0.0
2010-05-02,18.0,6717.0,1481482.0,225.0,216.0,217.0,217.0,221.0,224.41478,222.62772,0.0,0.0,0.0,0.0,0.0
2010-05-03,18.0,6717.0,1481482.0,225.0,216.0,217.0,217.0,219.14286,223.42614,221.76192,0.0,0.0,0.0,0.0,0.0
2010-05-04,18.0,6717.0,1481482.0,225.0,216.0,217.0,217.0,217.85714,222.56932,221.02932,0.0,0.0,0.0,0.0,0.0
2010-05-05,18.0,6717.0,1481482.0,225.0,216.0,217.0,217.0,217.0,221.82675,220.40942,0.0,0.0,0.0,0.0,0.0
2010-05-06,18.0,6717.0,1481482.0,225.0,216.0,217.0,217.0,217.0,221.18318,219.88489,0.0,0.0,0.0,0.0,0.0
2010-05-07,18.0,6717.0,1481482.0,225.0,216.0,217.0,217.0,217.0,220.62542,219.44106,0.0,0.0,0.0,0.0,0.0
2010-05-08,18.0,6717.0,1481482.0,225.0,216.0,217.0,217.0,217.0,220.14203,219.06552,0.0,0.0,0.0,0.0,0.0
2010-05-09,18.0,6717.0,1481482.0,225.0,216.0,217.0,217.0,217.0,219.7231,218.74774,0.0,0.0,0.0,0.0,0.0
2010-05-10,18.0,6717.0,1481482.0,225.0,216.0,217.0,217.0,217.0,219.36002,218.47886,224.07692,-5.59806,-1.11961,-4.47845,0.0
2010-05-11,18.0,6717.0,1481482.0,225.0,216.0,217.0,217.0,217.0,219.04535,218.25134,223.55271,-5.30136,-1.95596,-3.3454,0.0
2010-05-12,18.0,6717.0,1481482.0,225.0,216.0,217.0,217.0,217.0,218.77263,218.05883,223.06732,-5.00849,-2.56647,-2.44202,0.0
2010-05-13,18.0,6717.0,1481482.0,225.0,216.0,217.0,217.0,217.0,218.53628,217.89593,222.61789,-4.72196,-2.99757,-1.72439,0.0
2010-05-14,18.0,6717.0,1481482.0,225.0,216.0,217.0,217.0,217.0,218.33145,217.7581,222.20175,-4.44365,-3.28678,-1.15687,0.0
2010-05-15,18.0,6717.0,1481482.0,225.0,216.0,217.0,217.0,217.0,218.15392,217.64147,221.81643,-4.17497,-3.46442,-0.71055,0.0
2010-05-16,18.0,6717.0,1481482.0,225.0,216.0,217.0,217.0,217.0,218.00006,217.54278,221.45966,-3.91688,-3.55491,-0.36197,0.0
2010-05-17,18.0,6717.0,1481482.0,225.0,216.0,217.0,217.0,217.0,217.86672,217.45927,221.12932,-3.67004,-3.57794,-0.0921,0.0
2010-05-18,18.0,6717.0,1481482.0,225.0,216.0,217.0,217.0,217.0,217.75116,217.38862,220.82344,-3.43482,-3.54932,0.11449,0.0
2010-05-19,18.0,6717.0,1481482.0,225.0,216.0,217.0,217.0,217.0,217.651,217.32883,220.54022,-3.21139,-3.48173,0.27034,0.0
2010-05-20,18.0,6717.0,1481482.0,225.0,216.0,217.0,217.0,217.0,217.5642,217.27824,220.27798,-2.99974,-3.38533,0.38559,0.0
2010-05-21,18.0,6717.0,1481482.0,225.0,216.0,217.0,217.0,217.0,217.48898,217.23543,220.03517,-2.79974,-3.26821,0.46848,0.0
