Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-04-15,1.0,100.0,41700.0,417.0,417.0,417.0,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-16,1.0,100.0,41700.0,417.0,417.0,417.0,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-17,1.0,100.0,41700.0,417.0,417.0,417.0,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-18,1.0,100.0,41700.0,417.0,417.0,417.0,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-19,1.0,100.0,41700.0,417.0,417.0,417.0,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-20,1.0,100.0,41700.0,417.0,417.0,417.0,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-21,1.0,100.0,41700.0,417.0,417.0,417.0,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-22,1.0,100.0,41700.0,417.0,417.0,417.0,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-23,1.0,100.0,41700.0,417.0,417.0,417.0,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-24,1.0,100.0,41700.0,417.0,417.0,417.0,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-25,1.0,100.0,41700.0,417.0,417.0,417.0,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-26,14.0,1102.0,420797.0,417.0,376.0,376.0,417.0,0.0,0.0,413.58333,0.0,0.0,0.0,0.0,0.0
2010-04-27,2.0,200.0,73800.0,376.0,369.0,369.0,376.0,0.0,0.0,406.72436,0.0,0.0,0.0,0.0,0.0
2010-04-28,11.0,1323.0,478092.0,370.0,348.0,350.0,369.0,405.85714,405.85714,397.99753,0.0,0.0,0.0,0.0,0.0
2010-04-29,20.0,2026.0,753860.0,385.0,350.0,367.0,350.0,402.28571,400.67619,393.22868,0.0,0.0,0.0,0.0,22.11762
2010-04-30,20.0,2026.0,753860.0,385.0,357.0,367.0,367.0,398.71429,396.18603,389.1935,0.0,0.0,0.0,0.0,22.11762
2010-05-01,20.0,2026.0,753860.0,385.0,357.0,367.0,367.0,395.14286,392.29456,385.77912,0.0,0.0,0.0,0.0,22.11762
2010-05-02,20.0,2026.0,753860.0,385.0,357.0,367.0,367.0,391.57143,388.92195,382.89002,0.0,0.0,0.0,0.0,22.11762
2010-05-03,20.0,2026.0,753860.0,385.0,357.0,367.0,367.0,388.0,385.99903,380.4454,0.0,0.0,0.0,0.0,22.11762
2010-05-04,20.0,2026.0,753860.0,385.0,357.0,367.0,367.0,384.42857,383.46582,378.37688,0.0,0.0,0.0,0.0,22.11762
2010-05-05,20.0,2026.0,753860.0,385.0,357.0,367.0,367.0,380.85714,381.27038,376.62659,0.0,0.0,0.0,0.0,22.11762
2010-05-06,20.0,2026.0,753860.0,385.0,357.0,367.0,367.0,377.28571,379.36766,375.14558,0.0,0.0,0.0,0.0,22.11762
2010-05-07,20.0,2026.0,753860.0,385.0,357.0,367.0,367.0,373.71429,377.71864,373.89241,0.0,0.0,0.0,0.0,22.11762
2010-05-08,20.0,2026.0,753860.0,385.0,357.0,367.0,367.0,370.14286,376.28949,372.83204,0.0,0.0,0.0,0.0,22.11762
2010-05-09,3.0,51.0,18360.0,367.0,360.0,360.0,367.0,366.07143,374.11756,370.85788,0.0,0.0,0.0,0.0,19.26039
2010-05-10,10.0,828.0,298478.0,368.0,353.0,365.0,360.0,365.28571,372.90188,369.95667,387.57692,-17.62026,-3.52405,-14.0962,26.39209
2010-05-11,7.0,251.0,97440.0,397.0,365.0,390.0,365.0,366.78571,375.18163,373.04026,387.75641,-14.71615,-5.76247,-8.95368,49.71211
2010-05-12,20.0,3104.0,1269865.0,429.0,383.0,429.0,390.0,372.42857,382.35741,381.64945,390.81149,-9.16204,-6.44239,-2.71966,66.89281
2010-05-13,36.0,4978.0,2169207.0,469.0,410.0,423.0,429.0,376.42857,387.77643,388.01107,393.19582,-5.18475,-6.19086,1.00611,63.39414
2010-05-14,36.0,4978.0,2169207.0,469.0,410.0,423.0,423.0,380.42857,392.4729,393.39398,395.40354,-2.00956,-5.3546,3.34504,63.39414
2010-05-15,36.0,4978.0,2169207.0,469.0,410.0,423.0,423.0,384.42857,396.54318,397.94876,397.44772,0.50103,-4.18347,4.6845,63.39414
2010-05-16,15.0,1548.0,606967.0,423.0,387.0,387.0,423.0,385.85714,395.27076,396.26433,396.67382,-0.40949,-3.42868,3.01919,46.50117
2010-05-17,4.0,168.0,67102.0,406.0,387.0,406.0,387.0,388.64286,396.70132,397.76213,397.36465,0.39748,-2.66344,3.06092,53.3849
2010-05-18,22.0,2615.0,1052670.0,420.0,394.0,412.0,406.0,391.85714,398.74115,399.95257,398.44875,1.50382,-1.82999,3.33381,55.29233
2010-05-19,3.0,224.0,92720.0,418.0,410.0,418.0,412.0,395.5,401.30899,402.7291,399.89699,2.83211,-0.89757,3.72968,57.13405
2010-05-20,14.0,1033.0,444665.0,435.0,418.0,425.0,418.0,399.64286,404.46779,406.15539,401.75647,4.39892,0.16173,4.23719,59.1933
2010-05-21,14.0,1033.0,444665.0,435.0,418.0,425.0,425.0,403.78571,407.20542,409.05456,403.47821,5.57635,1.24465,4.3317,59.1933
2010-05-22,14.0,1033.0,444665.0,435.0,418.0,425.0,425.0,407.92857,409.57803,411.5077,405.07242,6.43529,2.28278,4.15251,59.1933
2010-05-23,15.0,1478.0,618248.0,433.0,408.0,408.0,425.0,411.35714,409.36763,410.96806,405.28928,5.67878,2.96198,2.7168,52.15009
2010-05-24,6.0,785.0,328984.0,422.0,408.0,420.0,408.0,415.28571,410.78528,412.35759,406.37896,5.97863,3.56531,2.41332,56.02799
2010-05-25,18.0,2340.0,1052388.0,460.0,420.0,455.0,420.0,419.92857,416.68057,418.91796,409.98052,8.93744,4.63973,4.29771,64.77149
2010-05-26,15.0,1599.0,730717.0,473.0,424.0,424.0,455.0,419.57143,417.6565,419.69981,411.019,8.68081,5.44795,3.23286,54.66302
2010-05-27,15.0,1599.0,730717.0,473.0,424.0,424.0,424.0,419.64286,418.5023,420.36138,411.98055,8.38082,6.03452,2.3463,54.66302
2010-05-28,15.0,1599.0,730717.0,473.0,424.0,424.0,424.0,419.71429,419.23532,420.92117,412.87088,8.05028,6.43768,1.61261,54.66302
2010-05-29,15.0,1599.0,730717.0,473.0,424.0,424.0,424.0,419.78571,419.87061,421.39483,413.69526,7.69957,6.69006,1.00952,54.66302
2010-05-30,5.0,179.0,79410.0,465.0,424.0,465.0,424.0,425.35714,425.88787,428.10332,417.49561,10.60771,7.47359,3.13412,63.75618
2010-05-31,39.0,3849.0,1755172.0,492.0,426.0,430.0,465.0,427.07143,426.43615,428.39512,418.42186,9.97325,7.97352,1.99973,54.04084
2010-06-01,10.0,1798.0,780682.0,445.0,420.0,445.0,430.0,429.42857,428.91133,430.94971,420.39062,10.5591,8.49063,2.06846,56.99012
2010-06-02,5.0,349.0,149546.0,445.0,425.0,441.0,445.0,431.07143,430.52315,432.49591,421.91724,10.57868,8.90824,1.67043,55.98419
2010-06-03,18.0,1746.0,790199.0,466.0,437.0,453.0,441.0,433.07143,433.52007,435.65039,424.21966,11.43072,9.41274,2.01798,58.30259
2010-06-04,18.0,1746.0,790199.0,466.0,437.0,453.0,453.0,435.07143,436.11739,438.31956,426.35154,11.96802,9.9238,2.04422,58.30259
2010-06-05,18.0,1746.0,790199.0,466.0,437.0,453.0,453.0,437.07143,438.36841,440.57809,428.3255,12.25259,10.38955,1.86303,58.30259
2010-06-06,18.0,1746.0,790199.0,466.0,437.0,453.0,453.0,440.28571,440.31928,442.48915,430.15324,12.33591,10.77883,1.55709,58.30259
2010-06-07,7.0,806.0,344576.0,453.0,421.0,421.0,453.0,440.35714,437.74338,439.18313,429.47522,9.70791,10.56464,-0.85674,49.80028
2010-06-08,9.0,936.0,418709.0,450.0,421.0,450.0,421.0,440.0,439.3776,440.84726,430.99558,9.85169,10.42205,-0.57036,55.91748
2010-06-09,13.0,1469.0,670335.0,463.0,450.0,460.0,450.0,442.57143,442.12725,443.79384,433.14405,10.64978,10.4676,0.18219,57.78025
2010-06-10,14.0,972.0,443224.0,460.0,453.0,457.0,460.0,444.92857,444.11028,445.82555,434.91116,10.91439,10.55696,0.35744,57.02125
2010-06-11,14.0,972.0,443224.0,460.0,453.0,457.0,457.0,447.28571,445.82891,447.5447,436.54737,10.99733,10.64503,0.3523,57.02125
2010-06-12,14.0,972.0,443224.0,460.0,453.0,457.0,457.0,449.64286,447.31839,448.99936,438.06238,10.93698,10.70342,0.23356,57.02125
2010-06-13,3.0,160.0,72567.0,457.0,450.0,450.0,457.0,448.57143,447.67594,449.15331,438.94665,10.20666,10.60407,-0.39741,55.06737
2010-06-14,11.0,1170.0,516530.0,450.0,436.0,440.0,450.0,449.28571,446.65248,447.74511,439.02467,8.72043,10.22734,-1.50691,52.37534
2010-06-15,11.0,992.0,437903.0,445.0,440.0,445.0,440.0,449.28571,446.43215,447.32278,439.46729,7.85549,9.75297,-1.89748,53.56705
