Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2011-02-08,4.0,40.0,8520.0,219.0,207.0,207.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-09,4.0,40.0,8720.0,224.0,207.0,224.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2011-02-10,4.0,40.0,8720.0,224.0,212.0,224.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2011-02-11,4.0,40.0,8720.0,224.0,212.0,224.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2011-02-12,4.0,40.0,8720.0,224.0,212.0,224.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2011-02-13,4.0,40.0,8720.0,224.0,212.0,224.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2011-02-14,4.0,40.0,8720.0,224.0,212.0,224.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2011-02-15,34.0,340.0,74800.0,224.0,220.0,220.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.5207
2011-02-16,16.0,160.0,38040.0,242.0,220.0,242.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.63713
2011-02-17,6.0,70.0,18080.0,266.0,242.0,266.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.74984
2011-02-18,6.0,70.0,18080.0,266.0,246.0,266.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.74984
2011-02-19,6.0,70.0,18080.0,266.0,246.0,266.0,266.0,0.0,0.0,234.25,0.0,0.0,0.0,0.0,98.74984
2011-02-20,46.0,620.0,176660.0,292.0,266.0,292.0,266.0,0.0,0.0,243.13462,0.0,0.0,0.0,0.0,98.86731
2011-02-21,30.0,610.0,187570.0,321.0,292.0,321.0,292.0,244.57143,244.57143,255.11391,0.0,0.0,0.0,0.0,98.9796
2011-02-22,23.0,260.0,90270.0,353.0,321.0,353.0,321.0,255.0,259.02857,270.1733,0.0,0.0,0.0,0.0,99.08474
2011-02-23,53.0,670.0,258510.0,388.0,353.0,388.0,353.0,266.71429,276.22476,288.30049,0.0,0.0,0.0,0.0,99.18157
2011-02-24,114.0,1740.0,697780.0,426.0,350.0,350.0,388.0,275.71429,286.06146,297.79272,0.0,0.0,0.0,0.0,88.50626
2011-02-25,114.0,1740.0,697780.0,426.0,350.0,350.0,350.0,284.71429,294.5866,305.82461,0.0,0.0,0.0,0.0,88.50626
2011-02-26,114.0,1740.0,697780.0,426.0,350.0,350.0,350.0,293.71429,301.97505,312.62082,0.0,0.0,0.0,0.0,88.50626
