Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2014-02-05,4.0,40.0,14700.0,378.0,357.0,378.0,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-06,3.0,30.0,11760.0,399.0,378.0,399.0,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-02-07,3.0,30.0,11760.0,399.0,385.0,399.0,399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-02-08,3.0,30.0,11760.0,399.0,385.0,399.0,399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-02-09,3.0,30.0,11760.0,399.0,385.0,399.0,399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-02-10,1.0,10.0,3990.0,399.0,399.0,399.0,399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-02-11,2.0,43.0,17722.0,414.0,399.0,414.0,399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-02-12,8.0,80.0,35550.0,455.0,414.0,455.0,414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-02-13,2.0,43.0,20249.0,473.0,455.0,473.0,455.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-02-14,2.0,43.0,20249.0,473.0,464.0,473.0,473.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-02-15,2.0,43.0,20249.0,473.0,464.0,473.0,473.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-02-16,6.0,276.0,140390.0,520.0,473.0,520.0,473.0,0.0,0.0,431.75,0.0,0.0,0.0,0.0,100.0
2014-02-17,7.0,70.0,38970.0,572.0,520.0,572.0,520.0,0.0,0.0,453.32692,0.0,0.0,0.0,0.0,100.0
2014-02-18,9.0,90.0,55440.0,629.0,572.0,629.0,572.0,455.85714,455.85714,480.35355,0.0,0.0,0.0,0.0,100.0
2014-02-19,9.0,90.0,55440.0,629.0,583.0,629.0,629.0,473.78571,478.94286,503.22223,0.0,0.0,0.0,0.0,100.0
2014-02-20,5.0,65.0,44105.0,691.0,629.0,691.0,629.0,494.64286,507.21714,532.11112,0.0,0.0,0.0,0.0,100.0
2014-02-21,5.0,65.0,44105.0,691.0,660.0,691.0,691.0,515.5,531.72152,556.55556,0.0,0.0,0.0,0.0,100.0
2014-02-22,5.0,65.0,44105.0,691.0,660.0,691.0,691.0,536.35714,552.95865,577.23932,0.0,0.0,0.0,0.0,100.0
2014-02-23,35.0,854.0,644616.0,760.0,691.0,760.0,691.0,562.14286,580.56417,605.35635,0.0,0.0,0.0,0.0,100.0
2014-02-24,60.0,2829.0,2224068.0,836.0,760.0,836.0,760.0,593.35714,614.62228,640.83999,0.0,0.0,0.0,0.0,100.0
2014-02-25,345.0,10245.0,8844204.0,919.0,770.0,918.0,836.0,629.35714,655.07264,683.47999,0.0,0.0,0.0,0.0,100.0
2014-02-26,167.0,3820.0,3374222.0,920.0,855.0,856.0,918.0,658.0,681.86296,710.02153,0.0,0.0,0.0,0.0,89.99242
2014-02-27,167.0,3820.0,3374222.0,920.0,855.0,856.0,856.0,685.35714,705.08123,732.47976,0.0,0.0,0.0,0.0,89.99242
2014-02-28,167.0,3820.0,3374222.0,920.0,855.0,856.0,856.0,712.71429,725.20373,751.48287,0.0,0.0,0.0,0.0,89.99242
2014-03-01,167.0,3820.0,3374222.0,920.0,855.0,856.0,856.0,740.07143,742.64323,767.56243,0.0,0.0,0.0,0.0,89.99242
2014-03-02,167.0,3820.0,3374222.0,920.0,855.0,856.0,856.0,764.07143,757.75747,781.16821,610.69231,170.4759,34.09518,136.38072,89.99242
2014-03-03,225.0,3330.0,2692271.0,856.0,780.0,813.0,856.0,781.28571,765.12314,786.06541,625.67806,160.38735,59.35361,101.03373,82.66929
2014-03-04,197.0,5326.0,4192335.0,813.0,780.0,797.0,813.0,793.28571,769.37339,787.74765,638.36858,149.37908,77.35871,72.02037,80.12197
2014-03-05,81.0,1518.0,1210104.0,806.0,785.0,795.0,797.0,805.14286,772.79027,788.8634,649.9709,138.89249,89.66546,49.22703,79.79924
2014-03-06,38.0,616.0,487217.0,800.0,775.0,775.0,795.0,811.14286,773.0849,786.73057,659.23232,127.49825,97.23202,30.26623,76.56119
2014-03-07,38.0,616.0,487217.0,800.0,775.0,775.0,775.0,817.14286,773.34025,784.92587,667.8077,117.11816,101.20925,15.90891,76.56119
2014-03-08,38.0,616.0,487217.0,800.0,775.0,775.0,775.0,823.14286,773.56155,783.39881,675.74787,107.65094,102.49759,5.15335,76.56119
2014-03-09,130.0,1834.0,1407213.0,780.0,756.0,780.0,775.0,824.57143,774.42001,782.87592,683.47025,99.40566,101.8792,-2.47354,76.83325
2014-03-10,216.0,2660.0,1989914.0,780.0,730.0,765.0,780.0,819.5,773.16401,780.12577,689.50949,90.61628,99.62662,-9.01034,74.12314
2014-03-11,106.0,1294.0,971642.0,765.0,740.0,750.0,765.0,807.5,770.07547,775.49104,693.99027,81.50077,96.00145,-14.50068,71.47594
2014-03-12,81.0,1136.0,835291.0,750.0,725.0,738.0,750.0,799.07143,765.79874,769.72319,697.25025,72.47294,91.29575,-18.82281,69.39416
2014-03-13,90.0,1177.0,873789.0,750.0,730.0,750.0,738.0,791.5,763.69224,766.68885,701.15764,65.53121,86.14284,-20.61163,70.30237
2014-03-14,90.0,1177.0,873789.0,750.0,730.0,750.0,750.0,783.92857,761.86661,764.12134,704.77559,59.34574,80.78342,-21.43768,70.30237
2014-03-15,90.0,1177.0,873789.0,750.0,730.0,750.0,750.0,776.35714,760.2844,761.94882,708.12555,53.82327,75.39139,-21.56812,70.30237
2014-03-16,90.0,1177.0,873789.0,750.0,730.0,750.0,750.0,768.78571,758.91314,760.11054,711.22736,48.88318,70.08975,-21.20657,70.30237
2014-03-17,115.0,1250.0,892798.0,750.0,701.0,705.0,750.0,761.07143,751.72472,751.632,710.76607,40.86592,64.24498,-23.37906,61.92621
2014-03-18,167.0,2024.0,1398314.0,709.0,681.0,681.0,705.0,752.78571,742.29476,740.76554,708.56118,32.20436,57.83686,-25.6325,58.05286
2014-03-19,86.0,1156.0,786664.0,690.0,667.0,681.0,681.0,744.64286,734.12213,731.57084,706.51961,25.05123,51.27973,-26.2285,58.05286
2014-03-20,44.0,800.0,541856.0,690.0,670.0,690.0,681.0,738.57143,728.23918,725.17532,705.29594,19.87939,44.99966,-25.12027,59.11025
2014-03-21,44.0,800.0,541856.0,690.0,670.0,690.0,690.0,732.5,723.14062,719.76374,704.1629,15.60083,39.1199,-23.51906,59.11025
2014-03-22,44.0,800.0,541856.0,690.0,670.0,690.0,690.0,726.42857,718.72187,715.1847,703.1138,12.0709,33.7101,-21.6392,59.11025
2014-03-23,80.0,896.0,605070.0,695.0,660.0,680.0,690.0,719.28571,713.55895,709.77167,701.40167,8.37,28.64208,-20.27208,57.25389
2014-03-24,23.0,392.0,260380.0,680.0,654.0,666.0,680.0,712.21429,707.21776,703.03757,698.77932,4.25825,23.76531,-19.50707,54.72736
2014-03-25,41.0,1075.0,717014.0,686.0,660.0,675.0,666.0,706.85714,702.92206,698.72409,697.01789,1.7062,19.35349,-17.64729,56.03688
2014-03-26,140.0,1839.0,1228449.0,689.0,650.0,679.0,675.0,702.64286,699.73245,695.68962,695.68323,0.00639,15.48407,-15.47768,56.6224
2014-03-27,194.0,2719.0,1846588.0,693.0,672.0,693.0,679.0,698.57143,698.83479,695.27583,695.48447,-0.20864,12.34553,-12.55417,58.64649
2014-03-28,194.0,2719.0,1846588.0,693.0,672.0,693.0,693.0,694.5,698.05682,694.9257,695.30044,-0.37474,9.80148,-10.17621,58.64649
2014-03-29,194.0,2719.0,1846588.0,693.0,672.0,693.0,693.0,690.42857,697.38258,694.62944,695.13004,-0.50059,7.74106,-8.24166,58.64649
2014-03-30,194.0,2719.0,1846588.0,693.0,672.0,693.0,693.0,686.35714,696.79823,694.37876,694.97225,-0.5935,6.07415,-6.66765,58.64649
2014-03-31,20.0,857.0,598286.0,710.0,686.0,710.0,693.0,686.71429,698.55847,696.78203,696.08542,0.6966,4.99864,-4.30204,61.31106
2014-04-01,52.0,756.0,539560.0,720.0,710.0,710.0,710.0,688.78571,700.08401,698.81556,697.11613,1.69943,4.3388,-2.63937,61.31106
2014-04-02,23.0,230.0,162650.0,720.0,700.0,701.0,710.0,690.21429,700.20614,699.15163,697.40382,1.7478,3.8206,-2.0728,59.08881
2014-04-03,42.0,492.0,340334.0,701.0,680.0,680.0,701.0,689.5,697.51199,696.20522,696.11465,0.09057,3.07459,-2.98402,54.26959
2014-04-04,42.0,492.0,340334.0,701.0,680.0,680.0,680.0,688.78571,695.17706,693.71211,694.92097,-1.20886,2.2179,-3.42676,54.26959
2014-04-05,42.0,492.0,340334.0,701.0,680.0,680.0,680.0,688.07143,693.15345,691.60256,693.81572,-2.21316,1.33169,-3.54485,54.26959
2014-04-06,21.0,249.0,169770.0,685.0,680.0,681.0,680.0,688.14286,691.53299,689.97139,692.8664,-2.89501,0.48635,-3.38136,54.47427
2014-04-07,96.0,2708.0,1894472.0,710.0,681.0,700.0,681.0,690.57143,692.66192,691.51426,693.39482,-1.88056,0.01297,-1.89353,58.20615
2014-04-08,96.0,2708.0,1894472.0,710.0,684.0,700.0,700.0,692.35714,693.64033,692.81976,693.88409,-1.06434,-0.20249,-0.86184,58.20615
2014-04-09,57.0,834.0,584384.0,705.0,687.0,705.0,700.0,694.21429,695.15496,694.69364,694.70749,-0.01385,-0.16477,0.15091,59.17704
