Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2015-12-08,5.0,50.0,16350.0,339.0,315.0,339.0,339.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-09,9.0,90.0,32790.0,372.0,339.0,372.0,339.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-12-10,9.0,90.0,32790.0,372.0,345.0,372.0,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-12-11,9.0,90.0,32790.0,372.0,345.0,372.0,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-12-12,9.0,90.0,32790.0,372.0,345.0,372.0,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-12-13,9.0,90.0,32790.0,372.0,345.0,372.0,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-12-14,2.0,20.0,7650.0,386.0,372.0,386.0,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-12-15,2.0,20.0,7650.0,386.0,379.0,386.0,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-12-16,2.0,20.0,7650.0,386.0,379.0,386.0,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-12-17,2.0,20.0,7650.0,386.0,379.0,386.0,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-12-18,2.0,20.0,7650.0,386.0,379.0,386.0,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-12-19,2.0,20.0,7650.0,386.0,379.0,386.0,386.0,0.0,0.0,376.25,0.0,0.0,0.0,0.0,100.0
2015-12-20,2.0,20.0,7650.0,386.0,379.0,386.0,386.0,0.0,0.0,377.75,0.0,0.0,0.0,0.0,100.0
2015-12-21,5.0,50.0,20410.0,424.0,386.0,424.0,386.0,380.35714,380.35714,384.86538,0.0,0.0,0.0,0.0,100.0
2015-12-22,5.0,50.0,20410.0,424.0,393.0,424.0,424.0,386.42857,386.17619,390.88609,0.0,0.0,0.0,0.0,100.0
2015-12-23,5.0,50.0,20410.0,424.0,393.0,424.0,424.0,390.14286,391.21937,395.98054,0.0,0.0,0.0,0.0,100.0
2015-12-24,5.0,50.0,20410.0,424.0,393.0,424.0,424.0,393.85714,395.59012,400.29123,0.0,0.0,0.0,0.0,100.0
2015-12-25,5.0,50.0,20410.0,424.0,393.0,424.0,424.0,397.57143,399.3781,403.93873,0.0,0.0,0.0,0.0,100.0
2015-12-26,5.0,50.0,20410.0,424.0,393.0,424.0,424.0,401.28571,402.66102,407.02508,0.0,0.0,0.0,0.0,100.0
2015-12-27,5.0,50.0,20410.0,424.0,393.0,424.0,424.0,405.0,405.50622,409.63661,0.0,0.0,0.0,0.0,100.0
2015-12-28,5.0,50.0,20410.0,424.0,393.0,424.0,424.0,407.71429,407.97206,411.84636,0.0,0.0,0.0,0.0,100.0
2015-12-29,5.0,50.0,20410.0,424.0,393.0,424.0,424.0,410.42857,410.10911,413.71615,0.0,0.0,0.0,0.0,100.0
2015-12-30,5.0,50.0,20410.0,424.0,393.0,424.0,424.0,413.14286,411.96123,415.29828,0.0,0.0,0.0,0.0,100.0
2015-12-31,5.0,50.0,20410.0,424.0,393.0,424.0,424.0,415.85714,413.5664,416.63701,0.0,0.0,0.0,0.0,100.0
2016-01-01,5.0,50.0,20410.0,424.0,393.0,424.0,424.0,418.57143,414.95755,417.76977,0.0,0.0,0.0,0.0,100.0
2016-01-02,5.0,50.0,20410.0,424.0,393.0,424.0,424.0,421.28571,416.16321,418.72827,400.5,18.22827,3.64565,14.58262,100.0
2016-01-03,5.0,50.0,20410.0,424.0,393.0,424.0,424.0,424.0,417.20811,419.53931,402.24074,17.29857,6.37624,10.92233,100.0
2016-01-04,5.0,50.0,20410.0,424.0,393.0,424.0,424.0,424.0,418.1137,420.22557,403.85254,16.37303,8.3756,7.99743,100.0
2016-01-05,5.0,50.0,20410.0,424.0,393.0,424.0,424.0,424.0,418.89854,420.80625,405.34494,15.46131,9.79274,5.66857,100.0
2016-01-06,5.0,50.0,20410.0,424.0,393.0,424.0,424.0,424.0,419.57873,421.2976,406.7268,14.5708,10.74835,3.82245,100.0
2016-01-07,5.0,50.0,20410.0,424.0,393.0,424.0,424.0,424.0,420.16824,421.71335,408.00629,13.70705,11.34009,2.36696,100.0
2016-01-08,5.0,50.0,20410.0,424.0,393.0,424.0,424.0,424.0,420.67914,422.06514,409.19101,12.87413,11.6469,1.22723,100.0
2016-01-09,5.0,50.0,20410.0,424.0,393.0,424.0,424.0,424.0,421.12192,422.36281,410.28798,12.07484,11.73249,0.34235,100.0
2016-01-10,44.0,440.0,204150.0,466.0,424.0,466.0,424.0,427.0,427.10566,429.07623,414.41479,14.66143,12.31828,2.34316,100.0
2016-01-11,6.0,60.0,29780.0,512.0,466.0,512.0,466.0,433.28571,438.42491,441.83373,421.64333,20.1904,13.8927,6.2977,100.0
2016-01-12,17.0,170.0,94670.0,563.0,512.0,563.0,512.0,443.21429,455.03492,460.47469,432.11419,28.3605,16.78626,11.57424,100.0
2016-01-13,6.0,60.0,36000.0,619.0,563.0,619.0,563.0,457.14286,476.89693,484.8632,445.95758,38.90562,21.21013,17.69549,100.0
2016-01-14,9.0,90.0,59970.0,680.0,619.0,680.0,619.0,475.42857,503.97734,514.88425,463.29406,51.59019,27.28614,24.30405,100.0
2016-01-15,9.0,90.0,59970.0,680.0,631.0,680.0,680.0,493.71429,527.44703,540.28667,479.34635,60.94032,34.01698,26.92334,100.0
2016-01-16,9.0,90.0,59970.0,680.0,631.0,680.0,680.0,512.0,547.78742,561.78103,494.20958,67.57145,40.72787,26.84357,100.0
2016-01-17,9.0,90.0,59970.0,680.0,631.0,680.0,680.0,530.28571,565.41577,579.96856,507.97184,71.99673,46.98164,25.01508,100.0
2016-01-18,9.0,90.0,59970.0,680.0,631.0,680.0,680.0,548.57143,580.69367,595.35802,520.71466,74.64335,52.51398,22.12937,100.0
2016-01-19,9.0,90.0,59970.0,680.0,631.0,680.0,680.0,566.85714,593.93451,608.37986,532.51358,75.86628,57.18444,18.68184,100.0
2016-01-20,9.0,90.0,59970.0,680.0,631.0,680.0,680.0,585.14286,605.40991,619.39834,543.4385,75.95984,60.93952,15.02032,100.0
2016-01-21,9.0,90.0,59970.0,680.0,631.0,680.0,680.0,603.42857,615.35525,628.72167,553.55417,75.16751,63.78512,11.38239,100.0
2016-01-22,9.0,90.0,59970.0,680.0,631.0,680.0,680.0,621.71429,623.97455,636.61065,562.92052,73.69012,65.76612,7.924,100.0
2016-01-23,9.0,90.0,59970.0,680.0,631.0,680.0,680.0,640.0,631.44461,643.28593,571.59308,71.69286,66.95147,4.74139,100.0
2016-01-24,9.0,90.0,59970.0,680.0,631.0,680.0,680.0,655.28571,637.91866,648.93425,579.62322,69.31103,67.42338,1.88765,100.0
2016-01-25,9.0,90.0,59970.0,680.0,631.0,680.0,680.0,667.28571,643.52951,653.7136,587.05854,66.65506,67.26972,-0.61466,100.0
2016-01-26,9.0,90.0,59970.0,680.0,631.0,680.0,680.0,675.64286,648.39224,657.75766,593.94309,63.81457,66.57869,-2.76412,100.0
2016-01-27,9.0,90.0,59970.0,680.0,631.0,680.0,680.0,680.0,652.60661,661.17956,600.31768,60.86188,65.43533,-4.57344,100.0
2016-01-28,9.0,90.0,59970.0,680.0,631.0,680.0,680.0,680.0,656.25906,664.07501,606.22007,57.85494,63.91925,-6.06431,100.0
2016-01-29,9.0,90.0,59970.0,680.0,631.0,680.0,680.0,680.0,659.42452,666.52501,611.68525,54.83976,62.10335,-7.26359,100.0
2016-01-30,9.0,90.0,59970.0,680.0,631.0,680.0,680.0,680.0,662.16792,668.59808,616.7456,51.85248,60.05318,-8.20069,100.0
2016-01-31,9.0,90.0,59970.0,680.0,631.0,680.0,680.0,680.0,664.54553,670.35223,621.43111,48.92111,57.82676,-8.90565,100.0
2016-02-01,9.0,90.0,59970.0,680.0,631.0,680.0,680.0,680.0,666.60612,671.8365,625.76955,46.06695,55.4748,-9.40785,100.0
2016-02-02,9.0,90.0,59970.0,680.0,631.0,680.0,680.0,680.0,668.39197,673.09242,629.78662,43.3058,53.041,-9.7352,100.0
2016-02-03,9.0,90.0,59970.0,680.0,631.0,680.0,680.0,680.0,669.93971,674.15513,633.50613,40.649,50.5626,-9.9136,100.0
2016-02-04,9.0,90.0,59970.0,680.0,631.0,680.0,680.0,680.0,671.28108,675.05434,636.95012,38.10422,48.07092,-9.96671,100.0
2016-02-05,9.0,90.0,59970.0,680.0,631.0,680.0,680.0,680.0,672.44361,675.81521,640.139,35.67621,45.59198,-9.91577,100.0
2016-02-06,9.0,90.0,59970.0,680.0,631.0,680.0,680.0,680.0,673.45112,676.45902,643.09167,33.36736,43.14706,-9.7797,100.0
2016-02-07,9.0,90.0,59970.0,680.0,631.0,680.0,680.0,680.0,674.32431,677.00379,645.82562,31.17817,40.75328,-9.57511,100.0
2016-02-08,9.0,90.0,59970.0,680.0,631.0,680.0,680.0,680.0,675.08107,677.46474,648.35705,29.10769,38.42416,-9.31647,100.0
