Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2011-02-10,8.0,160.0,56960.0,356.0,356.0,356.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-11,8.0,160.0,56960.0,356.0,356.0,356.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-12,8.0,160.0,56960.0,356.0,356.0,356.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-13,8.0,160.0,56960.0,356.0,356.0,356.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-14,4.0,40.0,13200.0,356.0,321.0,321.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-15,4.0,40.0,11870.0,321.0,289.0,289.0,321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-16,4.0,40.0,11870.0,305.0,289.0,289.0,289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-17,4.0,40.0,10710.0,289.0,261.0,261.0,289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-18,4.0,40.0,10710.0,275.0,261.0,261.0,261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-19,4.0,40.0,10710.0,275.0,261.0,261.0,261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-20,3.0,30.0,7530.0,261.0,246.0,246.0,261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-21,2.0,20.0,4800.0,246.0,238.0,238.0,246.0,0.0,0.0,299.16667,0.0,0.0,0.0,0.0,0.0
2011-02-22,1.0,10.0,2270.0,238.0,227.0,227.0,238.0,0.0,0.0,288.0641,0.0,0.0,0.0,0.0,0.0
2011-02-23,1.0,10.0,2270.0,227.0,227.0,227.0,227.0,288.85714,288.85714,278.66963,0.0,0.0,0.0,0.0,0.0
2011-02-24,1.0,10.0,2270.0,227.0,227.0,227.0,227.0,279.64286,280.60952,270.72045,0.0,0.0,0.0,0.0,0.0
2011-02-25,1.0,10.0,2270.0,227.0,227.0,227.0,227.0,270.42857,273.46159,263.99423,0.0,0.0,0.0,0.0,0.0
2011-02-26,1.0,10.0,2270.0,227.0,227.0,227.0,227.0,261.21429,267.26671,258.30281,0.0,0.0,0.0,0.0,0.0
2011-02-27,1.0,10.0,2270.0,227.0,227.0,227.0,227.0,252.0,261.89781,253.48699,0.0,0.0,0.0,0.0,0.0
2011-02-28,6.0,70.0,15010.0,227.0,205.0,205.0,227.0,243.71429,254.31144,246.02745,0.0,0.0,0.0,0.0,0.0
2011-03-01,6.0,70.0,15010.0,220.0,205.0,205.0,205.0,237.71429,247.73658,239.71554,0.0,0.0,0.0,0.0,0.0
2011-03-02,6.0,70.0,15010.0,220.0,205.0,205.0,205.0,231.71429,242.03837,234.37469,0.0,0.0,0.0,0.0,0.0
2011-03-03,1.0,10.0,1950.0,205.0,195.0,195.0,205.0,227.0,235.76659,228.31704,0.0,0.0,0.0,0.0,0.0
2011-03-04,1.0,10.0,1950.0,195.0,195.0,195.0,195.0,222.28571,230.33104,223.19134,0.0,0.0,0.0,0.0,0.0
2011-03-05,1.0,10.0,1950.0,195.0,195.0,195.0,195.0,217.57143,225.62024,218.85421,0.0,0.0,0.0,0.0,0.0
2011-03-06,1.0,10.0,1950.0,195.0,195.0,195.0,195.0,213.92857,221.53754,215.18433,0.0,0.0,0.0,0.0,0.0
2011-03-07,1.0,10.0,1950.0,195.0,195.0,195.0,195.0,210.85714,217.9992,212.07905,251.61538,-39.53633,-7.90727,-31.62907,0.0
2011-03-08,1.0,10.0,1950.0,195.0,195.0,195.0,195.0,208.57143,214.93264,209.45151,247.42165,-37.97015,-13.91984,-24.0503,0.0
2011-03-09,6.0,60.0,11130.0,195.0,180.0,180.0,195.0,205.21429,210.27495,204.92051,242.42746,-37.50695,-18.63726,-18.86969,0.0
2011-03-10,6.0,60.0,11130.0,192.0,180.0,180.0,180.0,201.85714,206.23829,201.08658,237.8032,-36.71662,-22.25314,-14.46348,0.0
2011-03-11,6.0,60.0,11130.0,192.0,180.0,180.0,180.0,198.5,202.73985,197.84249,233.52148,-35.67899,-24.93831,-10.74068,0.0
2011-03-12,6.0,60.0,11130.0,192.0,180.0,180.0,180.0,195.14286,199.70787,195.09749,229.55693,-34.45943,-26.84253,-7.6169,0.0
2011-03-13,4.0,60.0,10350.0,180.0,168.0,168.0,180.0,190.92857,195.48016,190.92865,224.99715,-34.06851,-28.28773,-5.78078,0.0
2011-03-14,4.0,60.0,10350.0,177.0,168.0,168.0,168.0,188.28571,191.81614,187.40116,220.77514,-33.37398,-29.30498,-4.069,0.0
2011-03-15,4.0,60.0,10350.0,177.0,168.0,168.0,168.0,185.64286,188.64065,184.41637,216.86587,-32.4495,-29.93388,-2.51562,0.0
2011-03-16,74.0,800.0,123290.0,168.0,152.0,152.0,168.0,181.85714,183.75523,179.42924,212.06099,-32.63176,-30.47346,-2.1583,0.0
2011-03-17,87.0,3290.0,458270.0,152.0,137.0,137.0,152.0,177.71429,177.5212,172.90166,206.50092,-33.59926,-31.09862,-2.50064,0.0
2011-03-18,87.0,3290.0,458270.0,151.0,137.0,137.0,137.0,173.57143,172.11837,167.37833,201.3527,-33.97438,-31.67377,-2.30061,0.0
2011-03-19,87.0,3290.0,458270.0,151.0,137.0,137.0,137.0,169.42857,167.43592,162.70474,196.58584,-33.8811,-32.11524,-1.76586,0.0
2011-03-20,14.0,230.0,29870.0,137.0,124.0,124.0,137.0,164.35714,161.64447,156.75016,191.20911,-34.45894,-32.58398,-1.87497,0.0
2011-03-21,54.0,710.0,83590.0,124.0,116.0,117.0,124.0,158.78571,155.69187,150.63475,185.71214,-35.07738,-33.08266,-1.99472,0.0
2011-03-22,63.0,670.0,78190.0,119.0,115.0,119.0,117.0,153.35714,150.79962,145.76787,180.7705,-35.00263,-33.46665,-1.53598,2.06229
2011-03-23,4.0,70.0,8430.0,121.0,119.0,121.0,119.0,149.14286,146.82634,141.95743,176.34305,-34.38563,-33.65045,-0.73518,4.13809
2011-03-24,6.0,80.0,9470.0,121.0,118.0,118.0,121.0,144.71429,142.98283,138.27167,172.02135,-33.74968,-33.67029,-0.07938,4.00441
2011-03-25,6.0,80.0,9470.0,119.0,118.0,118.0,118.0,140.28571,139.65178,135.15295,168.01976,-32.86681,-33.5096,0.64278,4.00441
2011-03-26,6.0,80.0,9470.0,119.0,118.0,118.0,118.0,135.85714,136.76488,132.51404,164.3146,-31.80056,-33.16779,1.36723,4.00441
2011-03-27,2.0,40.0,4640.0,118.0,116.0,116.0,118.0,132.14286,133.99623,129.97341,160.73574,-30.76232,-32.6867,1.92437,3.90701
2011-03-28,12.0,180.0,20590.0,116.0,112.0,112.0,116.0,128.14286,131.0634,127.20827,157.12568,-29.91741,-32.13284,2.21543,3.71714
2011-03-29,12.0,180.0,20590.0,116.0,112.0,112.0,112.0,124.14286,128.52161,124.86854,153.78304,-28.9145,-31.48917,2.57467,3.71714
2011-03-30,27.0,310.0,33200.0,112.0,106.0,106.0,112.0,120.85714,125.51873,121.96569,150.24356,-28.27787,-30.84691,2.56904,3.44062
2011-03-31,2.0,30.0,3160.0,106.0,104.0,106.0,106.0,118.64286,122.91623,119.50943,146.96626,-27.45683,-30.16889,2.71207,3.44062
2011-04-01,2.0,30.0,3160.0,106.0,104.0,106.0,106.0,116.42857,120.66074,117.43105,143.93172,-26.50066,-29.43525,2.93458,3.44062
2011-04-02,2.0,30.0,3160.0,106.0,104.0,106.0,106.0,114.21429,118.70597,115.67243,141.12196,-25.44953,-28.6381,3.18857,3.44062
2011-04-03,2.0,30.0,3160.0,106.0,104.0,106.0,106.0,112.92857,117.01184,114.18436,138.52033,-24.33597,-27.77768,3.44171,3.44062
2011-04-04,4.0,50.0,5340.0,108.0,106.0,108.0,106.0,112.28571,115.81026,113.23292,136.25957,-23.02664,-26.82747,3.80083,6.40276
2011-04-05,23.0,300.0,32680.0,112.0,106.0,112.0,108.0,111.78571,115.30223,113.04324,134.46256,-21.41932,-25.74584,4.32652,12.06751
2011-04-06,19.0,200.0,22860.0,116.0,112.0,115.0,112.0,111.35714,115.26193,113.34428,133.02089,-19.67661,-24.53199,4.85539,16.06784
2011-04-07,9.0,110.0,12930.0,119.0,115.0,119.0,115.0,111.42857,115.76034,114.21439,131.98231,-17.76791,-23.17918,5.41126,21.09344
2011-04-08,9.0,110.0,12930.0,119.0,117.0,119.0,119.0,111.5,116.19229,114.95064,131.02066,-16.07001,-21.75735,5.68733,21.09344
