Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2011-02-13,10.0,400.0,132400.0,331.0,331.0,331.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-14,10.0,400.0,132400.0,331.0,331.0,331.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-15,10.0,400.0,132400.0,331.0,331.0,331.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-16,10.0,400.0,132400.0,331.0,331.0,331.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-17,10.0,400.0,132400.0,331.0,331.0,331.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-18,10.0,400.0,132400.0,331.0,331.0,331.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-19,10.0,400.0,132400.0,331.0,331.0,331.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-20,10.0,400.0,132400.0,331.0,331.0,331.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-21,10.0,400.0,132400.0,331.0,331.0,331.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-22,10.0,400.0,132400.0,331.0,331.0,331.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-23,10.0,400.0,132400.0,331.0,331.0,331.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-24,10.0,400.0,132400.0,331.0,331.0,331.0,331.0,0.0,0.0,331.0,0.0,0.0,0.0,0.0,0.0
2011-02-25,10.0,400.0,132400.0,331.0,331.0,331.0,331.0,0.0,0.0,331.0,0.0,0.0,0.0,0.0,0.0
2011-02-26,10.0,400.0,132400.0,331.0,331.0,331.0,331.0,331.0,331.0,331.0,0.0,0.0,0.0,0.0,0.0
2011-02-27,10.0,400.0,132400.0,331.0,331.0,331.0,331.0,331.0,331.0,331.0,0.0,0.0,0.0,0.0,0.0
2011-02-28,10.0,400.0,132400.0,331.0,331.0,331.0,331.0,331.0,331.0,331.0,0.0,0.0,0.0,0.0,0.0
2011-03-01,10.0,400.0,132400.0,331.0,331.0,331.0,331.0,331.0,331.0,331.0,0.0,0.0,0.0,0.0,0.0
2011-03-02,10.0,400.0,132400.0,331.0,331.0,331.0,331.0,331.0,331.0,331.0,0.0,0.0,0.0,0.0,0.0
2011-03-03,10.0,400.0,132400.0,331.0,331.0,331.0,331.0,331.0,331.0,331.0,0.0,0.0,0.0,0.0,0.0
2011-03-04,10.0,400.0,132400.0,331.0,331.0,331.0,331.0,331.0,331.0,331.0,0.0,0.0,0.0,0.0,0.0
2011-03-05,10.0,400.0,132400.0,331.0,331.0,331.0,331.0,331.0,331.0,331.0,0.0,0.0,0.0,0.0,0.0
2011-03-06,10.0,400.0,132400.0,331.0,331.0,331.0,331.0,331.0,331.0,331.0,0.0,0.0,0.0,0.0,0.0
2011-03-07,10.0,400.0,132400.0,331.0,331.0,331.0,331.0,331.0,331.0,331.0,0.0,0.0,0.0,0.0,0.0
2011-03-08,10.0,400.0,132400.0,331.0,331.0,331.0,331.0,331.0,331.0,331.0,0.0,0.0,0.0,0.0,0.0
2011-03-09,10.0,400.0,132400.0,331.0,331.0,331.0,331.0,331.0,331.0,331.0,0.0,0.0,0.0,0.0,0.0
2011-03-10,10.0,400.0,132400.0,331.0,331.0,331.0,331.0,331.0,331.0,331.0,331.0,0.0,0.0,0.0,0.0
2011-03-11,10.0,400.0,132400.0,331.0,331.0,331.0,331.0,331.0,331.0,331.0,331.0,0.0,0.0,0.0,0.0
2011-03-12,10.0,400.0,132400.0,331.0,331.0,331.0,331.0,331.0,331.0,331.0,331.0,0.0,0.0,0.0,0.0
2011-03-13,10.0,400.0,132400.0,331.0,331.0,331.0,331.0,331.0,331.0,331.0,331.0,0.0,0.0,0.0,0.0
2011-03-14,10.0,400.0,132400.0,331.0,331.0,331.0,331.0,331.0,331.0,331.0,331.0,0.0,0.0,0.0,0.0
2011-03-15,4.0,40.0,12640.0,331.0,307.0,307.0,331.0,329.28571,327.8,327.30769,329.22222,-1.91453,-0.38291,-1.53162,0.0
2011-03-16,7.0,70.0,20050.0,307.0,277.0,277.0,307.0,325.42857,321.02667,319.56805,325.35391,-5.78586,-1.4635,-4.32236,0.0
2011-03-17,4.0,50.0,13250.0,277.0,257.0,257.0,277.0,320.14286,312.48978,309.94219,320.29066,-10.34846,-3.24049,-7.10797,0.0
2011-03-18,4.0,50.0,13250.0,272.0,257.0,257.0,257.0,314.85714,305.09114,301.79724,315.60246,-13.80522,-5.35344,-8.45178,0.0
2011-03-19,4.0,50.0,13250.0,272.0,257.0,257.0,257.0,309.57143,298.67899,294.90536,311.26154,-16.35618,-7.55398,-8.80219,0.0
2011-03-20,4.0,40.0,9810.0,257.0,239.0,239.0,257.0,303.0,290.72179,286.30453,305.90883,-19.6043,-9.96405,-9.64025,0.0
2011-03-21,6.0,60.0,13510.0,239.0,216.0,216.0,239.0,294.78571,280.75888,275.48845,299.24892,-23.76047,-12.72333,-11.03713,0.0
2011-03-22,11.0,110.0,22150.0,216.0,195.0,195.0,216.0,285.07143,269.32437,263.10561,291.52678,-28.42116,-15.8629,-12.55827,0.0
2011-03-23,8.0,80.0,14590.0,195.0,176.0,176.0,195.0,274.0,256.88112,249.70475,282.96924,-33.26449,-19.34322,-13.92127,0.0
