Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2011-08-07,2.0,30.0,10110.0,341.0,335.0,335.0,335.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-08,2.0,30.0,10110.0,341.0,335.0,335.0,335.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-09,2.0,40.0,13040.0,335.0,323.0,323.0,335.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-10,1.0,20.0,6340.0,323.0,317.0,317.0,323.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-11,3.0,50.0,15190.0,317.0,299.0,299.0,317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-12,3.0,50.0,15190.0,311.0,299.0,299.0,299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-13,3.0,50.0,15190.0,311.0,299.0,299.0,299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-14,3.0,50.0,15190.0,311.0,299.0,299.0,299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-15,4.0,60.0,17190.0,299.0,279.0,279.0,299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-16,4.0,40.0,10660.0,279.0,259.0,259.0,279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-17,4.0,50.0,11990.0,259.0,235.0,235.0,259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-18,4.0,70.0,15690.0,235.0,219.0,219.0,235.0,0.0,0.0,291.5,0.0,0.0,0.0,0.0,0.0
2011-08-19,4.0,70.0,15690.0,231.0,219.0,219.0,219.0,0.0,0.0,280.34615,0.0,0.0,0.0,0.0,0.0
