Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-04-15,70.0,2800.0,721560.0,263.0,254.0,257.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-16,70.0,2800.0,721560.0,263.0,254.0,257.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-17,70.0,2800.0,721560.0,263.0,254.0,257.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-18,70.0,2800.0,721560.0,263.0,254.0,257.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-19,147.0,7990.0,1968040.0,257.0,237.0,248.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-20,167.0,7430.0,1813360.0,248.0,238.0,245.0,248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-21,49.0,3170.0,782780.0,249.0,241.0,241.0,245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-22,79.0,3700.0,874910.0,244.0,225.0,230.0,241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-23,79.0,3700.0,874910.0,244.0,225.0,230.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-24,79.0,3700.0,874910.0,244.0,225.0,230.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-25,79.0,4510.0,1046750.0,236.0,226.0,233.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0678
2010-04-26,66.0,3310.0,772300.0,235.0,230.0,232.0,233.0,0.0,0.0,243.08333,0.0,0.0,0.0,0.0,11.57875
2010-04-27,85.0,4060.0,914850.0,235.0,213.0,217.0,232.0,0.0,0.0,239.07051,0.0,0.0,0.0,0.0,7.06763
2010-04-28,32.0,1470.0,307820.0,217.0,204.0,205.0,217.0,238.5,238.5,233.8289,0.0,0.0,0.0,0.0,5.32495
2010-04-29,17.0,910.0,194030.0,225.0,205.0,225.0,205.0,236.21429,236.7,232.4706,0.0,0.0,0.0,0.0,33.86308
2010-04-30,17.0,910.0,194030.0,225.0,205.0,225.0,225.0,233.92857,235.14,231.32128,0.0,0.0,0.0,0.0,33.86308
2010-05-01,17.0,910.0,194030.0,225.0,205.0,225.0,225.0,231.64286,233.788,230.34878,0.0,0.0,0.0,0.0,33.86308
2010-05-02,17.0,910.0,194030.0,225.0,205.0,225.0,225.0,229.35714,232.61627,229.52589,0.0,0.0,0.0,0.0,33.86308
2010-05-03,17.0,910.0,194030.0,225.0,205.0,225.0,225.0,227.71429,231.60076,228.8296,0.0,0.0,0.0,0.0,33.86308
2010-05-04,17.0,910.0,194030.0,225.0,205.0,225.0,225.0,226.28571,230.72066,228.24043,0.0,0.0,0.0,0.0,33.86308
2010-05-05,17.0,910.0,194030.0,225.0,205.0,225.0,225.0,225.14286,229.95791,227.7419,0.0,0.0,0.0,0.0,33.86308
2010-05-06,17.0,910.0,194030.0,225.0,205.0,225.0,225.0,224.78571,229.29685,227.32007,0.0,0.0,0.0,0.0,33.86308
2010-05-07,17.0,910.0,194030.0,225.0,205.0,225.0,225.0,224.42857,228.72394,226.96314,0.0,0.0,0.0,0.0,33.86308
2010-05-08,17.0,910.0,194030.0,225.0,205.0,225.0,225.0,224.07143,228.22741,226.66112,0.0,0.0,0.0,0.0,33.86308
2010-05-09,88.0,4650.0,1035240.0,229.0,220.0,227.0,225.0,223.64286,228.06376,226.71325,0.0,0.0,0.0,0.0,36.95844
2010-05-10,38.0,2190.0,500940.0,234.0,225.0,231.0,227.0,223.57143,228.45526,227.37275,232.57692,-5.20417,-1.04083,-4.16334,42.59997
2010-05-11,19.0,800.0,191370.0,242.0,231.0,242.0,231.0,225.35714,230.26122,229.6231,233.27493,-3.65183,-1.56303,-2.0888,54.3865
2010-05-12,18.0,1100.0,273700.0,265.0,242.0,265.0,242.0,229.64286,234.89306,235.0657,235.62493,-0.55924,-1.36227,0.80304,68.56008
2010-05-13,29.0,3250.0,936390.0,291.0,265.0,291.0,265.0,234.35714,242.37399,243.67097,239.72679,3.94418,-0.30098,4.24517,77.03146
2010-05-14,29.0,3250.0,936390.0,291.0,270.0,291.0,291.0,239.07143,248.85745,250.95236,243.52481,7.42756,1.24473,6.18283,77.03146
2010-05-15,29.0,3250.0,936390.0,291.0,270.0,291.0,291.0,243.78571,254.47646,257.11354,247.04149,10.07205,3.01019,7.06186,77.03146
2010-05-16,94.0,4410.0,1204900.0,305.0,262.0,267.0,291.0,246.78571,256.14627,258.63453,248.5199,10.11464,4.43108,5.68356,59.81054
2010-05-17,41.0,2020.0,515890.0,271.0,242.0,260.0,267.0,249.28571,256.6601,258.8446,249.37027,9.47433,5.43973,4.0346,55.97804
2010-05-18,37.0,1510.0,383930.0,276.0,245.0,276.0,260.0,252.92857,259.23875,261.4839,251.34285,10.14105,6.37999,3.76106,61.84563
