Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-04-26,6.0,88.0,54946.0,656.0,603.0,603.0,603.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-27,6.0,88.0,54946.0,656.0,603.0,603.0,603.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-28,6.0,60.0,33880.0,603.0,543.0,543.0,603.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-29,2.0,20.0,10560.0,543.0,523.0,523.0,543.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-30,2.0,20.0,10560.0,533.0,523.0,523.0,523.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-01,2.0,20.0,10560.0,533.0,523.0,523.0,523.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-02,2.0,20.0,10560.0,533.0,523.0,523.0,523.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-03,2.0,20.0,10560.0,533.0,523.0,523.0,523.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-04,2.0,20.0,10560.0,533.0,523.0,523.0,523.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-05,2.0,20.0,10560.0,533.0,523.0,523.0,523.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-06,2.0,20.0,10560.0,533.0,523.0,523.0,523.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-07,2.0,20.0,10560.0,533.0,523.0,523.0,523.0,0.0,0.0,538.0,0.0,0.0,0.0,0.0,0.0
2010-05-08,2.0,20.0,10560.0,533.0,523.0,523.0,523.0,0.0,0.0,535.69231,0.0,0.0,0.0,0.0,0.0
2010-05-09,3.0,105.0,53065.0,523.0,493.0,493.0,523.0,533.71429,533.71429,529.12426,0.0,0.0,0.0,0.0,0.0
2010-05-10,3.0,105.0,53065.0,513.0,493.0,493.0,493.0,525.85714,528.28571,523.56668,0.0,0.0,0.0,0.0,0.0
2010-05-11,3.0,105.0,53065.0,513.0,493.0,493.0,493.0,518.0,523.58095,518.86412,0.0,0.0,0.0,0.0,0.0
2010-05-12,3.0,44.0,20936.0,493.0,466.0,466.0,493.0,512.5,515.90349,510.73117,0.0,0.0,0.0,0.0,0.0
2010-05-13,57.0,3397.0,1465765.0,466.0,420.0,448.0,466.0,507.14286,506.84969,501.08022,0.0,0.0,0.0,0.0,0.0
2010-05-14,57.0,3397.0,1465765.0,466.0,420.0,448.0,448.0,501.78571,499.00307,492.91404,0.0,0.0,0.0,0.0,0.0
2010-05-15,57.0,3397.0,1465765.0,466.0,420.0,448.0,448.0,496.42857,492.20266,486.00418,0.0,0.0,0.0,0.0,0.0
2010-05-16,16.0,1019.0,419328.0,448.0,404.0,404.0,448.0,487.92857,480.4423,473.38816,0.0,0.0,0.0,0.0,0.0
2010-05-17,29.0,1760.0,654164.0,404.0,364.0,375.0,404.0,477.35714,466.38333,458.25152,0.0,0.0,0.0,0.0,0.0
2010-05-18,32.0,2701.0,1007103.0,412.0,361.0,412.0,375.0,469.42857,459.13222,451.1359,0.0,0.0,0.0,0.0,19.61346
2010-05-19,16.0,809.0,317927.0,412.0,385.0,393.0,412.0,460.14286,450.31459,442.19191,0.0,0.0,0.0,0.0,17.73764
2010-05-20,29.0,2600.0,1039146.0,428.0,386.0,428.0,393.0,453.35714,447.33931,440.00854,0.0,0.0,0.0,0.0,30.57952
2010-05-21,29.0,2600.0,1039146.0,428.0,386.0,428.0,428.0,446.57143,444.76074,438.16107,488.76923,-50.60816,-10.12163,-40.48652,30.57952
2010-05-22,29.0,2600.0,1039146.0,428.0,386.0,428.0,428.0,439.78571,442.52597,436.59783,484.26781,-47.66997,-17.6313,-30.03867,30.57952
2010-05-23,16.0,1089.0,448635.0,428.0,396.0,416.0,428.0,434.28571,438.98918,433.42894,479.21093,-45.782,-23.26144,-22.52056,28.79537
2010-05-24,14.0,1447.0,594374.0,420.0,408.0,420.0,416.0,429.07143,436.45729,431.36295,474.82494,-43.46199,-27.30155,-16.16044,30.22031
2010-05-25,13.0,677.0,286893.0,443.0,412.0,443.0,420.0,425.5,437.32965,433.15326,472.46753,-39.31427,-29.70409,-9.61018,37.7424
2010-05-26,15.0,2094.0,875130.0,443.0,408.0,431.0,443.0,423.0,436.48569,432.82199,469.39586,-36.57387,-31.07805,-5.49582,35.63783
2010-05-27,15.0,2094.0,875130.0,435.0,408.0,431.0,431.0,421.78571,435.75427,432.54168,466.55173,-34.01004,-31.66445,-2.34559,35.63783
2010-05-28,15.0,2094.0,875130.0,435.0,408.0,431.0,431.0,420.57143,435.12037,432.3045,463.91827,-31.61376,-31.65431,0.04055,35.63783
2010-05-29,15.0,2094.0,875130.0,435.0,408.0,431.0,431.0,419.35714,434.57098,432.10381,461.47988,-29.37607,-31.19866,1.8226,35.63783
2010-05-30,19.0,2103.0,915908.0,451.0,425.0,442.0,431.0,422.07143,435.56152,433.6263,460.03692,-26.41062,-30.24105,3.83043,39.40275
