Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-04-19,1.0,100.0,44000.0,440.0,440.0,440.0,440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-20,1.0,100.0,44000.0,440.0,440.0,440.0,440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-21,1.0,100.0,44000.0,440.0,440.0,440.0,440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-22,1.0,100.0,44000.0,440.0,440.0,440.0,440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-23,1.0,100.0,44000.0,440.0,440.0,440.0,440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-24,1.0,100.0,44000.0,440.0,440.0,440.0,440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-25,2.0,193.0,83190.0,440.0,430.0,430.0,440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-26,2.0,195.0,81530.0,430.0,414.0,414.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-27,3.0,150.0,60980.0,414.0,406.0,406.0,414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-28,4.0,372.0,147709.0,406.0,391.0,400.0,406.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-29,4.0,372.0,147709.0,400.0,391.0,400.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-30,4.0,372.0,147709.0,400.0,391.0,400.0,400.0,0.0,0.0,424.16667,0.0,0.0,0.0,0.0,0.0
2010-05-01,4.0,372.0,147709.0,400.0,391.0,400.0,400.0,0.0,0.0,420.44872,0.0,0.0,0.0,0.0,0.0
2010-05-02,4.0,372.0,147709.0,400.0,391.0,400.0,400.0,420.71429,420.71429,417.30276,0.0,0.0,0.0,0.0,0.0
2010-05-03,4.0,372.0,147709.0,400.0,391.0,400.0,400.0,417.85714,417.95238,414.6408,0.0,0.0,0.0,0.0,0.0
2010-05-04,4.0,372.0,147709.0,400.0,391.0,400.0,400.0,415.0,415.55873,412.38837,0.0,0.0,0.0,0.0,0.0
2010-05-05,4.0,372.0,147709.0,400.0,391.0,400.0,400.0,412.14286,413.48423,410.48246,0.0,0.0,0.0,0.0,0.0
2010-05-06,4.0,372.0,147709.0,400.0,391.0,400.0,400.0,409.28571,411.68634,408.86978,0.0,0.0,0.0,0.0,0.0
2010-05-07,4.0,372.0,147709.0,400.0,391.0,400.0,400.0,406.42857,410.12816,407.5052,0.0,0.0,0.0,0.0,0.0
2010-05-08,4.0,372.0,147709.0,400.0,391.0,400.0,400.0,403.57143,408.77774,406.35055,0.0,0.0,0.0,0.0,0.0
2010-05-09,4.0,372.0,147709.0,400.0,391.0,400.0,400.0,401.42857,407.60737,405.37354,0.0,0.0,0.0,0.0,0.0
2010-05-10,1.0,75.0,29400.0,400.0,392.0,392.0,400.0,399.85714,405.52639,403.31608,0.0,0.0,0.0,0.0,0.0
2010-05-11,1.0,50.0,19250.0,392.0,385.0,385.0,392.0,398.35714,402.78954,400.49822,0.0,0.0,0.0,0.0,0.0
2010-05-12,1.0,50.0,19250.0,385.0,385.0,385.0,385.0,397.28571,400.4176,398.11388,0.0,0.0,0.0,0.0,0.0
2010-05-13,1.0,50.0,19250.0,385.0,385.0,385.0,385.0,396.21429,398.36192,396.09636,0.0,0.0,0.0,0.0,0.0
2010-05-14,1.0,50.0,19250.0,385.0,385.0,385.0,385.0,395.14286,396.58033,394.38922,408.53846,-14.14924,-2.82985,-11.31939,0.0
2010-05-15,1.0,50.0,19250.0,385.0,385.0,385.0,385.0,394.07143,395.03629,392.94473,406.79487,-13.85014,-5.03391,-8.81624,0.0
2010-05-16,1.0,50.0,19250.0,385.0,385.0,385.0,385.0,393.0,393.69811,391.72246,405.18044,-13.45797,-6.71872,-6.73925,0.0
2010-05-17,1.0,50.0,19250.0,385.0,385.0,385.0,385.0,391.92857,392.53837,390.68824,403.68559,-12.99735,-7.97445,-5.02291,0.0
2010-05-18,1.0,50.0,19250.0,385.0,385.0,385.0,385.0,390.85714,391.53325,389.81312,402.30147,-12.48835,-8.87723,-3.61112,0.0
2010-05-19,2.0,118.0,45616.0,390.0,385.0,390.0,385.0,390.14286,391.32882,389.84187,401.39025,-11.54838,-9.41146,-2.13692,17.79802
