Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-04-15,64.0,640.0,101120.0,158.0,158.0,158.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-16,64.0,640.0,101120.0,158.0,158.0,158.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-17,64.0,640.0,101120.0,158.0,158.0,158.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-18,64.0,640.0,101120.0,158.0,158.0,158.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-19,42.0,420.0,64380.0,158.0,152.0,152.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-20,42.0,420.0,64380.0,158.0,152.0,152.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-21,42.0,420.0,64380.0,158.0,152.0,152.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-22,3.0,60.0,9000.0,152.0,150.0,150.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-23,3.0,60.0,9000.0,150.0,150.0,150.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-24,3.0,60.0,9000.0,150.0,150.0,150.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-25,3.0,60.0,9000.0,150.0,150.0,150.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-26,3.0,60.0,9000.0,150.0,150.0,150.0,150.0,0.0,0.0,153.16667,0.0,0.0,0.0,0.0,0.0
2010-04-27,3.0,60.0,9000.0,150.0,150.0,150.0,150.0,0.0,0.0,152.67949,0.0,0.0,0.0,0.0,0.0
2010-04-28,3.0,60.0,9000.0,150.0,150.0,150.0,150.0,152.71429,152.71429,152.26726,0.0,0.0,0.0,0.0,0.0
2010-04-29,3.0,60.0,9000.0,150.0,150.0,150.0,150.0,152.14286,152.35238,151.91845,0.0,0.0,0.0,0.0,0.0
2010-04-30,3.0,60.0,9000.0,150.0,150.0,150.0,150.0,151.57143,152.03873,151.6233,0.0,0.0,0.0,0.0,0.0
2010-05-01,3.0,60.0,9000.0,150.0,150.0,150.0,150.0,151.0,151.7669,151.37356,0.0,0.0,0.0,0.0,0.0
2010-05-02,3.0,60.0,9000.0,150.0,150.0,150.0,150.0,150.42857,151.53131,151.16225,0.0,0.0,0.0,0.0,0.0
2010-05-03,3.0,60.0,9000.0,150.0,150.0,150.0,150.0,150.28571,151.32714,150.98344,0.0,0.0,0.0,0.0,0.0
2010-05-04,3.0,60.0,9000.0,150.0,150.0,150.0,150.0,150.14286,151.15019,150.83214,0.0,0.0,0.0,0.0,0.0
2010-05-05,3.0,60.0,9000.0,150.0,150.0,150.0,150.0,150.0,150.99683,150.70412,0.0,0.0,0.0,0.0,0.0
2010-05-06,3.0,60.0,9000.0,150.0,150.0,150.0,150.0,150.0,150.86392,150.59579,0.0,0.0,0.0,0.0,0.0
2010-05-07,3.0,60.0,9000.0,150.0,150.0,150.0,150.0,150.0,150.74873,150.50413,0.0,0.0,0.0,0.0,0.0
2010-05-08,3.0,60.0,9000.0,150.0,150.0,150.0,150.0,150.0,150.6489,150.42657,0.0,0.0,0.0,0.0,0.0
